"No","FXY","ElementName_en","CodeFigure","EntryName_en","EntryName_sub1_en","EntryName_sub2_en","Note_en","Status"
37.00,"001031","Identification of originating/generating centre",,,,,,"Operational"
38.00,"001033","Identification of originating/generating centre",,,,,,"Operational"
39.00,"001034","Identification of originating/generating sub-centre",,,,,,"Operational"
40.00,"001036","Agency in charge of operating the observing platform","0-36000","Reserved",,,,"Operational"
41.00,"001036","Agency in charge of operating the observing platform","36001","Australia, Bureau of Meteorology (BoM)",,,,"Operational"
42.00,"001036","Agency in charge of operating the observing platform","36002","Australia, Joint Australian Facility for Ocean Observing Systems (JAFOOS)",,,,"Operational"
43.00,"001036","Agency in charge of operating the observing platform","36003","Australia, the Commonwealth Scientific and Industrial Research Organization (CSIRO)",,,,"Operational"
44.00,"001036","Agency in charge of operating the observing platform","36004-124000","Reserved",,,,"Operational"
45.00,"001036","Agency in charge of operating the observing platform","124001","Canada, Marine Environmental Data Service (MEDS)",,,,"Operational"
46.00,"001036","Agency in charge of operating the observing platform","124002","Canada, Institute of Ocean Sciences (IOS)",,,,"Operational"
47.00,"001036","Agency in charge of operating the observing platform","124003-124172","Reserved",,,,"Operational"
48.00,"001036","Agency in charge of operating the observing platform","124173","Canada, Environment Canada",,,,"Operational"
49.00,"001036","Agency in charge of operating the observing platform","124174","Canada, Department of National Defence",,,,"Operational"
50.00,"001036","Agency in charge of operating the observing platform","124175","Canada, Nav Canada",,,,"Operational"
51.00,"001036","Agency in charge of operating the observing platform","124176-156000","Reserved",,,,"Operational"
52.00,"001036","Agency in charge of operating the observing platform","156001","China, The State Oceanic Administration",,,,"Operational"
53.00,"001036","Agency in charge of operating the observing platform","156002","China, Second Institute of Oceanography, State Oceanic Administration",,,,"Operational"
54.00,"001036","Agency in charge of operating the observing platform","156003","China, Institute of Ocean Technology",,,,"Operational"
55.00,"001036","Agency in charge of operating the observing platform","156004-250000","Reserved",,,,"Operational"
56.00,"001036","Agency in charge of operating the observing platform","250001","France, Institut de Recherche pour le Développement (IRD)",,,,"Operational"
57.00,"001036","Agency in charge of operating the observing platform","250002","France, Institut Français de Recherche pour l'Exploitation de la mer (IFREMER)",,,,"Operational"
58.00,"001036","Agency in charge of operating the observing platform","250003-276000","Reserved",,,,"Operational"
59.00,"001036","Agency in charge of operating the observing platform","276001","Germany, Bundesamt fuer Seeschiffahrt und Hydrographie (BSH)",,,,"Operational"
60.00,"001036","Agency in charge of operating the observing platform","276002","Germany, Institut fuer Meereskunde, Kiel",,,,"Operational"
61.00,"001036","Agency in charge of operating the observing platform","276003-356000","Reserved",,,,"Operational"
62.00,"001036","Agency in charge of operating the observing platform","356001","India, National Institute of Oceanography (NIO)",,,,"Operational"
63.00,"001036","Agency in charge of operating the observing platform","356002","India, National Institute for Ocean Technology (NIOT)",,,,"Operational"
64.00,"001036","Agency in charge of operating the observing platform","356003","India, National Centre for Ocean Information Service",,,,"Operational"
65.00,"001036","Agency in charge of operating the observing platform","356004-392000","Reserved",,,,"Operational"
66.00,"001036","Agency in charge of operating the observing platform","392001","Japan, Japan Meteorological Agency (JMA)",,,,"Operational"
67.00,"001036","Agency in charge of operating the observing platform","392002","Japan, Frontier Observational Research System for Global Change",,,,"Operational"
68.00,"001036","Agency in charge of operating the observing platform","392003","Japan, Japan Marine Science and Technology Centre (JAMSTEC)",,,,"Operational"
69.00,"001036","Agency in charge of operating the observing platform","392004-410000","Reserved",,,,"Operational"
70.00,"001036","Agency in charge of operating the observing platform","410001","Republic of Korea, Seoul National University",,,,"Operational"
71.00,"001036","Agency in charge of operating the observing platform","410002","Republic of Korea, Korea Ocean Research and Development Institute  (KORDI)",,,,"Operational"
72.00,"001036","Agency in charge of operating the observing platform","410003","Republic of Korea, Meteorological Research Institute",,,,"Operational"
73.00,"001036","Agency in charge of operating the observing platform","410004-540000","Reserved",,,,"Operational"
74.00,"001036","Agency in charge of operating the observing platform","540001","New Caledonia, Institut de Recherche pour le Développement (IRD)",,,,"Operational"
75.00,"001036","Agency in charge of operating the observing platform","540002-554000","Reserved",,,,"Operational"
76.00,"001036","Agency in charge of operating the observing platform","554001","New Zealand, National Institute of Water and Atmospheric Research (NIWA)",,,,"Operational"
77.00,"001036","Agency in charge of operating the observing platform","554002-643000","Reserved",,,,"Operational"
78.00,"001036","Agency in charge of operating the observing platform","643001","Russian Federation, State Oceanographic Institute of Roshydromet",,,,"Operational"
79.00,"001036","Agency in charge of operating the observing platform","643002","Russian Federation, Federal Service for Hydrometeorology and Environmental Monitoring",,,,"Operational"
80.00,"001036","Agency in charge of operating the observing platform","643003-724000","Reserved",,,,"Operational"
81.00,"001036","Agency in charge of operating the observing platform","724001","Spain, Instituto Español de Oceanografia",,,,"Operational"
82.00,"001036","Agency in charge of operating the observing platform","724002-826000","Reserved",,,,"Operational"
83.00,"001036","Agency in charge of operating the observing platform","826001","United Kingdom, Hydrographic Office",,,,"Operational"
84.00,"001036","Agency in charge of operating the observing platform","826002","United Kingdom, Southampton Oceanography Centre (SOC)",,,,"Operational"
85.00,"001036","Agency in charge of operating the observing platform","826003-840000","Reserved",,,,"Operational"
86.00,"001036","Agency in charge of operating the observing platform","840001","USA, NOAA Atlantic Oceanographic and Meteorological Laboratories (AOML)",,,,"Operational"
87.00,"001036","Agency in charge of operating the observing platform","840002","USA, NOAA Pacific Marine Environmental Laboratories (PMEL)",,,,"Operational"
88.00,"001036","Agency in charge of operating the observing platform","840003","USA, Scripps Institution of Oceanography (SIO)",,,,"Operational"
89.00,"001036","Agency in charge of operating the observing platform","840004","USA, Woods Hole Oceanographic Institution (WHOI)",,,,"Operational"
90.00,"001036","Agency in charge of operating the observing platform","840005","USA, University of Washington",,,,"Operational"
91.00,"001036","Agency in charge of operating the observing platform","840006","USA, Naval Oceanographic Office",,,,"Operational"
92.00,"001036","Agency in charge of operating the observing platform","840007-1048574","Reserved",,,,"Operational"
93.00,"001036","Agency in charge of operating the observing platform","1048575","Missing value",,,,"Operational"
94.00,"001038","Source of sea ice fraction","0","No sea ice set",,,,"Operational"
95.00,"001038","Source of sea ice fraction","1","NSIDC SSM/I Cavalieri et al (1992)",,,,"Operational"
96.00,"001038","Source of sea ice fraction","2","AMSR-E",,,,"Operational"
97.00,"001038","Source of sea ice fraction","3","ECMWF",,,,"Operational"
98.00,"001038","Source of sea ice fraction","4","CMS (France) cloud mask used by Medspiration",,,,"Operational"
99.00,"001038","Source of sea ice fraction","5","EUMETSAT OSI-SAF",,,,"Operational"
100.00,"001038","Source of sea ice fraction","6-30","Reserved for future use",,,,"Operational"
101.00,"001038","Source of sea ice fraction","31","Missing value",,,,"Operational"
102.00,"001052","Platform transmitter ID","0","Primary",,,,"Operational"
103.00,"001052","Platform transmitter ID","1","Secondary",,,,"Operational"
104.00,"001052","Platform transmitter ID","2","Reserved",,,,"Operational"
105.00,"001052","Platform transmitter ID","3","Missing value",,,,"Operational"
106.00,"001090","Technique for making up initial perturbations","0","Lagged-average forecasting (LAF)",,,,"Operational"
107.00,"001090","Technique for making up initial perturbations","1","Breeding",,,,"Operational"
108.00,"001090","Technique for making up initial perturbations","2","Singular vectors",,,,"Operational"
109.00,"001090","Technique for making up initial perturbations","3","Multiple analysis cycles",,,,"Operational"
110.00,"001090","Technique for making up initial perturbations","4-191","Reserved",,,,"Operational"
111.00,"001090","Technique for making up initial perturbations","192-254","Reserved for local use",,,,"Operational"
112.00,"001090","Technique for making up initial perturbations","255","Missing value",,,,"Operational"
113.00,"001092","Type of ensemble forecast","0","Unperturbed high-resolution control forecast",,,,"Operational"
114.00,"001092","Type of ensemble forecast","1","Unperturbed low-resolution control forecast",,,,"Operational"
115.00,"001092","Type of ensemble forecast","2","Negatively perturbed forecast",,,,"Operational"
116.00,"001092","Type of ensemble forecast","3","Positively perturbed forecast",,,,"Operational"
117.00,"001092","Type of ensemble forecast","4-191","Reserved",,,,"Operational"
118.00,"001092","Type of ensemble forecast","192-254","Reserved for local use",,,,"Operational"
119.00,"001092","Type of ensemble forecast","255","Missing value",,,,"Operational"
120.00,"001101","State identifier","0-99","Reserved",,,,"Operational"
121.00,"001101","State identifier","100","Algeria",,,,"Operational"
122.00,"001101","State identifier","101","Angola",,,,"Operational"
123.00,"001101","State identifier","102","Benin",,,,"Operational"
124.00,"001101","State identifier","103","Botswana",,,,"Operational"
125.00,"001101","State identifier","104","Burkina Faso",,,,"Operational"
126.00,"001101","State identifier","105","Burundi",,,,"Operational"
127.00,"001101","State identifier","106","Cameroon",,,,"Operational"
128.00,"001101","State identifier","107","Cabo Verde",,,,"Operational"
129.00,"001101","State identifier","108","Central African Republic",,,,"Operational"
130.00,"001101","State identifier","109","Chad",,,,"Operational"
131.00,"001101","State identifier","110","Comoros",,,,"Operational"
132.00,"001101","State identifier","111","Congo",,,,"Operational"
133.00,"001101","State identifier","112","Côte d'Ivoire",,,,"Operational"
134.00,"001101","State identifier","113","Democratic Republic of the Congo",,,,"Operational"
135.00,"001101","State identifier","114","Djibouti",,,,"Operational"
136.00,"001101","State identifier","115","Egypt",,,,"Operational"
137.00,"001101","State identifier","116","Eritrea",,,,"Operational"
138.00,"001101","State identifier","117","Ethiopia",,,,"Operational"
139.00,"001101","State identifier","118","France (RA I)",,,,"Operational"
140.00,"001101","State identifier","119","Gabon",,,,"Operational"
141.00,"001101","State identifier","120","Gambia",,,,"Operational"
142.00,"001101","State identifier","121","Ghana",,,,"Operational"
143.00,"001101","State identifier","122","Guinea",,,,"Operational"
144.00,"001101","State identifier","123","Guinea-Bissau",,,,"Operational"
145.00,"001101","State identifier","124","Kenya",,,,"Operational"
146.00,"001101","State identifier","125","Lesotho",,,,"Operational"
147.00,"001101","State identifier","126","Liberia",,,,"Operational"
148.00,"001101","State identifier","127","Libya",,,,"Operational"
149.00,"001101","State identifier","128","Madagascar",,,,"Operational"
150.00,"001101","State identifier","129","Malawi",,,,"Operational"
151.00,"001101","State identifier","130","Mali",,,,"Operational"
152.00,"001101","State identifier","131","Mauritania",,,,"Operational"
153.00,"001101","State identifier","132","Mauritius",,,,"Operational"
154.00,"001101","State identifier","133","Morocco",,,,"Operational"
155.00,"001101","State identifier","134","Mozambique",,,,"Operational"
156.00,"001101","State identifier","135","Namibia",,,,"Operational"
157.00,"001101","State identifier","136","Niger",,,,"Operational"
158.00,"001101","State identifier","137","Nigeria",,,,"Operational"
159.00,"001101","State identifier","138","Portugal (RA I)",,,,"Operational"
160.00,"001101","State identifier","139","Rwanda",,,,"Operational"
161.00,"001101","State identifier","140","Sao Tome and Principe",,,,"Operational"
162.00,"001101","State identifier","141","Senegal",,,,"Operational"
163.00,"001101","State identifier","142","Seychelles",,,,"Operational"
164.00,"001101","State identifier","143","Sierra Leone",,,,"Operational"
165.00,"001101","State identifier","144","Somalia",,,,"Operational"
166.00,"001101","State identifier","145","South Africa",,,,"Operational"
167.00,"001101","State identifier","146","Spain (RA I)",,,,"Operational"
168.00,"001101","State identifier","147","Sudan",,,,"Operational"
169.00,"001101","State identifier","148","Swaziland",,,,"Operational"
170.00,"001101","State identifier","149","Togo",,,,"Operational"
171.00,"001101","State identifier","150","Tunisia",,,,"Operational"
172.00,"001101","State identifier","151","Uganda",,,,"Operational"
173.00,"001101","State identifier","152","United Kingdom of Great Britain and Northern Ireland (RA I)",,,,"Operational"
174.00,"001101","State identifier","153","United Republic of Tanzania",,,,"Operational"
175.00,"001101","State identifier","154","Zambia",,,,"Operational"
176.00,"001101","State identifier","155","Zimbabwe",,,,"Operational"
177.00,"001101","State identifier","156-199","Reserved for Region I (Africa)",,,,"Operational"
178.00,"001101","State identifier","200","Afghanistan",,,,"Operational"
179.00,"001101","State identifier","201","Bahrain",,,,"Operational"
180.00,"001101","State identifier","202","Bangladesh",,,,"Operational"
181.00,"001101","State identifier","203","Bhutan",,,,"Operational"
182.00,"001101","State identifier","204","Cambodia",,,,"Operational"
183.00,"001101","State identifier","205","China",,,,"Operational"
184.00,"001101","State identifier","206","Democratic People's Republic of Korea",,,,"Operational"
185.00,"001101","State identifier","207","Hong Kong, China",,,,"Operational"
186.00,"001101","State identifier","208","India",,,,"Operational"
187.00,"001101","State identifier","209","Iran, Islamic Republic of",,,,"Operational"
188.00,"001101","State identifier","210","Iraq",,,,"Operational"
189.00,"001101","State identifier","211","Japan",,,,"Operational"
190.00,"001101","State identifier","212","Kazakhstan",,,,"Operational"
191.00,"001101","State identifier","213","Kuwait",,,,"Operational"
192.00,"001101","State identifier","214","Kyrgyzstan",,,,"Operational"
193.00,"001101","State identifier","215","Lao People's Democratic Republic",,,,"Operational"
194.00,"001101","State identifier","216","Macao, China",,,,"Operational"
195.00,"001101","State identifier","217","Maldives",,,,"Operational"
196.00,"001101","State identifier","218","Mongolia",,,,"Operational"
197.00,"001101","State identifier","219","Myanmar",,,,"Operational"
198.00,"001101","State identifier","220","Nepal",,,,"Operational"
199.00,"001101","State identifier","221","Oman",,,,"Operational"
200.00,"001101","State identifier","222","Pakistan",,,,"Operational"
201.00,"001101","State identifier","223","Qatar",,,,"Operational"
202.00,"001101","State identifier","224","Republic of Korea",,,,"Operational"
203.00,"001101","State identifier","225","Yemen",,,,"Operational"
204.00,"001101","State identifier","226","Russian Federation (RA II)",,,,"Operational"
205.00,"001101","State identifier","227","Saudi Arabia",,,,"Operational"
206.00,"001101","State identifier","228","Sri Lanka",,,,"Operational"
207.00,"001101","State identifier","229","Tajikistan",,,,"Operational"
208.00,"001101","State identifier","230","Thailand",,,,"Operational"
209.00,"001101","State identifier","231","Turkmenistan",,,,"Operational"
210.00,"001101","State identifier","232","United Arab Emirates",,,,"Operational"
211.00,"001101","State identifier","233","Uzbekistan",,,,"Operational"
212.00,"001101","State identifier","234","Viet Nam",,,,"Operational"
213.00,"001101","State identifier","235-299","Reserved for Region II (Asia)",,,,"Operational"
214.00,"001101","State identifier","300","Argentina",,,,"Operational"
215.00,"001101","State identifier","301","Bolivia (Plurinational State of)",,,,"Operational"
216.00,"001101","State identifier","302","Brazil",,,,"Operational"
217.00,"001101","State identifier","303","Chile",,,,"Operational"
218.00,"001101","State identifier","304","Colombia",,,,"Operational"
219.00,"001101","State identifier","305","Ecuador",,,,"Operational"
220.00,"001101","State identifier","306","France (RA III)",,,,"Operational"
221.00,"001101","State identifier","307","Guyana",,,,"Operational"
222.00,"001101","State identifier","308","Paraguay",,,,"Operational"
223.00,"001101","State identifier","309","Peru",,,,"Operational"
224.00,"001101","State identifier","310","Suriname",,,,"Operational"
225.00,"001101","State identifier","311","Uruguay",,,,"Operational"
226.00,"001101","State identifier","312","Venezuela (Bolivarian Republic of)",,,,"Operational"
227.00,"001101","State identifier","313-399","Reserved for Region III (South America)",,,,"Operational"
228.00,"001101","State identifier","400","Antigua and Barbuda",,,,"Operational"
229.00,"001101","State identifier","401","Bahamas",,,,"Operational"
230.00,"001101","State identifier","402","Barbados",,,,"Operational"
231.00,"001101","State identifier","403","Belize",,,,"Operational"
232.00,"001101","State identifier","404","British Caribbean Territories",,,,"Operational"
233.00,"001101","State identifier","405","Canada",,,,"Operational"
234.00,"001101","State identifier","406","Colombia",,,,"Operational"
235.00,"001101","State identifier","407","Costa Rica",,,,"Operational"
236.00,"001101","State identifier","408","Cuba",,,,"Operational"
237.00,"001101","State identifier","409","Dominica",,,,"Operational"
238.00,"001101","State identifier","410","Dominican Republic",,,,"Operational"
239.00,"001101","State identifier","411","El Salvador",,,,"Operational"
240.00,"001101","State identifier","412","France (RA IV)",,,,"Operational"
241.00,"001101","State identifier","413","Guatemala",,,,"Operational"
242.00,"001101","State identifier","414","Haiti",,,,"Operational"
243.00,"001101","State identifier","415","Honduras",,,,"Operational"
244.00,"001101","State identifier","416","Jamaica",,,,"Operational"
245.00,"001101","State identifier","417","Mexico",,,,"Operational"
246.00,"001101","State identifier","418","Curaçao and Sint Maarten",,,,"Operational"
247.00,"001101","State identifier","419","Nicaragua",,,,"Operational"
248.00,"001101","State identifier","420","Panama",,,,"Operational"
249.00,"001101","State identifier","421","Saint Lucia",,,,"Operational"
250.00,"001101","State identifier","422","Trinidad and Tobago",,,,"Operational"
251.00,"001101","State identifier","423","United Kingdom of Great Britain and Northern Ireland (RA IV)",,,,"Operational"
252.00,"001101","State identifier","424","United States of America (RA IV)",,,,"Operational"
253.00,"001101","State identifier","425","Venezuela (Bolivarian Republic of)",,,,"Operational"
254.00,"001101","State identifier","426-499","Reserved for Region IV (North America, Central America and the Caribbean)",,,,"Operational"
255.00,"001101","State identifier","500","Australia",,,,"Operational"
256.00,"001101","State identifier","501","Brunei Darussalam",,,,"Operational"
257.00,"001101","State identifier","502","Cook Islands",,,,"Operational"
258.00,"001101","State identifier","503","Fiji",,,,"Operational"
259.00,"001101","State identifier","504","French Polynesia",,,,"Operational"
260.00,"001101","State identifier","505","Indonesia",,,,"Operational"
261.00,"001101","State identifier","506","Kiribati",,,,"Operational"
262.00,"001101","State identifier","507","Malaysia",,,,"Operational"
263.00,"001101","State identifier","508","Micronesia, Federated States of",,,,"Operational"
264.00,"001101","State identifier","509","New Caledonia",,,,"Operational"
265.00,"001101","State identifier","510","New Zealand",,,,"Operational"
266.00,"001101","State identifier","511","Niue",,,,"Operational"
267.00,"001101","State identifier","512","Papua New Guinea",,,,"Operational"
268.00,"001101","State identifier","513","Philippines",,,,"Operational"
269.00,"001101","State identifier","514","Samoa",,,,"Operational"
270.00,"001101","State identifier","515","Singapore",,,,"Operational"
271.00,"001101","State identifier","516","Solomon Islands",,,,"Operational"
272.00,"001101","State identifier","517","Tonga",,,,"Operational"
273.00,"001101","State identifier","518","United Kingdom of Great Britain and Northern Ireland (RA V)",,,,"Operational"
274.00,"001101","State identifier","519","United States of America (RA V)",,,,"Operational"
275.00,"001101","State identifier","520","Vanuatu",,,,"Operational"
276.00,"001101","State identifier","521-599","Reserved for Region V (South-West Pacific)",,,,"Operational"
277.00,"001101","State identifier","600","Albania",,,,"Operational"
278.00,"001101","State identifier","601","Armenia",,,,"Operational"
279.00,"001101","State identifier","602","Austria",,,,"Operational"
280.00,"001101","State identifier","603","Azerbaijan",,,,"Operational"
281.00,"001101","State identifier","604","Belarus",,,,"Operational"
282.00,"001101","State identifier","605","Belgium",,,,"Operational"
283.00,"001101","State identifier","606","Bosnia and Herzegovina",,,,"Operational"
284.00,"001101","State identifier","607","Bulgaria",,,,"Operational"
285.00,"001101","State identifier","608","Croatia",,,,"Operational"
286.00,"001101","State identifier","609","Cyprus",,,,"Operational"
287.00,"001101","State identifier","610","Czech Republic",,,,"Operational"
288.00,"001101","State identifier","611","Denmark",,,,"Operational"
289.00,"001101","State identifier","612","Estonia",,,,"Operational"
290.00,"001101","State identifier","613","Finland",,,,"Operational"
291.00,"001101","State identifier","614","France (RA VI)",,,,"Operational"
292.00,"001101","State identifier","615","Georgia",,,,"Operational"
293.00,"001101","State identifier","616","Germany",,,,"Operational"
294.00,"001101","State identifier","617","Greece",,,,"Operational"
295.00,"001101","State identifier","618","Hungary",,,,"Operational"
296.00,"001101","State identifier","619","Iceland",,,,"Operational"
297.00,"001101","State identifier","620","Ireland",,,,"Operational"
298.00,"001101","State identifier","621","Israel",,,,"Operational"
299.00,"001101","State identifier","622","Italy",,,,"Operational"
300.00,"001101","State identifier","623","Jordan",,,,"Operational"
301.00,"001101","State identifier","624","Kazakhstan",,,,"Operational"
302.00,"001101","State identifier","625","Latvia",,,,"Operational"
303.00,"001101","State identifier","626","Lebanon",,,,"Operational"
304.00,"001101","State identifier","627","Lithuania",,,,"Operational"
305.00,"001101","State identifier","628","Luxembourg",,,,"Operational"
306.00,"001101","State identifier","629","Malta",,,,"Operational"
307.00,"001101","State identifier","630","Monaco",,,,"Operational"
308.00,"001101","State identifier","631","Montenegro",,,,"Operational"
309.00,"001101","State identifier","632","Netherlands",,,,"Operational"
310.00,"001101","State identifier","633","Norway",,,,"Operational"
311.00,"001101","State identifier","634","Poland",,,,"Operational"
312.00,"001101","State identifier","635","Portugal (RA VI)",,,,"Operational"
313.00,"001101","State identifier","636","Republic of Moldova",,,,"Operational"
314.00,"001101","State identifier","637","Romania",,,,"Operational"
315.00,"001101","State identifier","638","Russian Federation (RA VI)",,,,"Operational"
316.00,"001101","State identifier","639","Serbia",,,,"Operational"
317.00,"001101","State identifier","640","Slovakia",,,,"Operational"
318.00,"001101","State identifier","641","Slovenia",,,,"Operational"
319.00,"001101","State identifier","642","Spain (RA VI)",,,,"Operational"
320.00,"001101","State identifier","643","Sweden",,,,"Operational"
321.00,"001101","State identifier","644","Switzerland",,,,"Operational"
322.00,"001101","State identifier","645","Syrian Arab Republic",,,,"Operational"
323.00,"001101","State identifier","646","The former Yugoslav Republic of Macedonia",,,,"Operational"
324.00,"001101","State identifier","647","Turkey",,,,"Operational"
325.00,"001101","State identifier","648","Ukraine",,,,"Operational"
326.00,"001101","State identifier","649","United Kingdom of Great Britain and Northern Ireland (RA VI)",,,,"Operational"
327.00,"001101","State identifier","650-699","Reserved for Region VI (Europe)",,,,"Operational"
328.00,"001101","State identifier","700-999","Reserved",,,,"Operational"
329.00,"001101","State identifier","1000-1022","Not used",,,,"Operational"
330.00,"001101","State identifier","1023","Missing value",,,,"Operational"
331.00,"001150","Coordinate reference system","0","WGS84, as used by ICAO since 1998",,,,"Operational"
332.00,"001150","Coordinate reference system","1","ETRS89, as defined by EPSG::4258",,,,"Operational"
333.00,"001150","Coordinate reference system","2","NAD83, as defined by EPSG::4269",,,,"Operational"
334.00,"001150","Coordinate reference system","3","DHDN, as defined by EPSG::4314",,,,"Operational"
335.00,"001150","Coordinate reference system","4","Ellipsoidal datum using the International Reference Meridian maintained by the International Earth Rotation and Reference Systems Service (IERS)",,,"(see Note 2)","Operational"
336.00,"001150","Coordinate reference system","5-65534","Reserved",,,,"Operational"
337.00,"001150","Coordinate reference system","65535","Missing value",,,,"Operational"
338.00,"001151","Fixed mean sea level reference datum","0","Earth Gravitational Model 1996",,,,"Operational"
339.00,"001151","Fixed mean sea level reference datum","1","Baltic height system 1977",,,,"Operational"
340.00,"001151","Fixed mean sea level reference datum","2-4094","Reserved",,,,"Operational"
341.00,"001151","Fixed mean sea level reference datum","4095","Missing value",,,,"Operational"
342.00,"002001","Type of station","0","Automatic",,,,"Operational"
343.00,"002001","Type of station","1","Manned",,,,"Operational"
344.00,"002001","Type of station","2","Hybrid: both manned and automatic",,,,"Operational"
345.00,"002001","Type of station","3","Missing value",,,,"Operational"
346.00,"002002","Type of instrumentation for wind measurement","1","Certified instruments",,,,"Operational"
347.00,"002002","Type of instrumentation for wind measurement","2","Originally measured in knots",,,,"Operational"
348.00,"002002","Type of instrumentation for wind measurement","3","Originally measured in km h-1",,,,"Operational"
349.00,"002002","Type of instrumentation for wind measurement","All 4","Missing value",,,,"Operational"
350.00,"002003","Type of measuring equipment used","0","Pressure instrument associated with wind measuring equipment",,,,"Operational"
351.00,"002003","Type of measuring equipment used","1","Optical theodolite",,,,"Operational"
352.00,"002003","Type of measuring equipment used","2","Radio theodolite",,,,"Operational"
353.00,"002003","Type of measuring equipment used","3","Radar",,,,"Operational"
354.00,"002003","Type of measuring equipment used","4","VLF-Omega",,,,"Operational"
355.00,"002003","Type of measuring equipment used","5","Loran C",,,,"Operational"
356.00,"002003","Type of measuring equipment used","6","Wind profiler",,,,"Operational"
357.00,"002003","Type of measuring equipment used","7","Satellite navigation",,,,"Operational"
358.00,"002003","Type of measuring equipment used","8","Radio-acoustic Sounding System (RASS)",,,,"Operational"
359.00,"002003","Type of measuring equipment used","9","Sodar",,,,"Operational"
360.00,"002003","Type of measuring equipment used","10-13","Reserved",,,,"Operational"
365.00,"002003","Type of measuring equipment used","14","Pressure instrument associated with wind measuring equipment but pressure element failed during ascent",,,,"Operational"
366.00,"002003","Type of measuring equipment used","15","Missing value",,,,"Operational"
367.00,"002004","Type of instrumentation for evaporation measurement or type of crop for which evapotranspiration is reported","0","USA open pan evaporimeter (without cover)","Evaporation",,,"Operational"
368.00,"002004","Type of instrumentation for evaporation measurement or type of crop for which evapotranspiration is reported","1","USA open pan evaporimeter (mesh covered)","Evaporation",,,"Operational"
369.00,"002004","Type of instrumentation for evaporation measurement or type of crop for which evapotranspiration is reported","2","GGI-3000 evaporimeter (sunken)","Evaporation",,,"Operational"
370.00,"002004","Type of instrumentation for evaporation measurement or type of crop for which evapotranspiration is reported","3","20 m2 tank","Evaporation",,,"Operational"
371.00,"002004","Type of instrumentation for evaporation measurement or type of crop for which evapotranspiration is reported","4","Others","Evaporation",,,"Operational"
372.00,"002004","Type of instrumentation for evaporation measurement or type of crop for which evapotranspiration is reported","5","Rice","Evapotranspiration",,,"Operational"
373.00,"002004","Type of instrumentation for evaporation measurement or type of crop for which evapotranspiration is reported","6","Wheat","Evapotranspiration",,,"Operational"
374.00,"002004","Type of instrumentation for evaporation measurement or type of crop for which evapotranspiration is reported","7","Maize","Evapotranspiration",,,"Operational"
375.00,"002004","Type of instrumentation for evaporation measurement or type of crop for which evapotranspiration is reported","8","Sorghum","Evapotranspiration",,,"Operational"
376.00,"002004","Type of instrumentation for evaporation measurement or type of crop for which evapotranspiration is reported","9","Other crops","Evapotranspiration",,,"Operational"
