Category,CategoryOfSequences_en,FXY1,Title_en,SubTitle_en,FXY2,ElementName_en,ElementDescription_en,Note_en,noteIDs,Status,
12,Single level report sequences (satellite data),312014,(HIRS satellite data),,312011,"Orbital information, Part II",,,,Operational,
12,Single level report sequences (satellite data),312014,(HIRS satellite data),,105056,Replicate 5 descriptors 56 times,,,,Operational,
12,Single level report sequences (satellite data),312014,(HIRS satellite data),,301023,Latitude/longitude (coarse accuracy),,,,Operational,
12,Single level report sequences (satellite data),312014,(HIRS satellite data),,005042,Channel number,,,,Operational,
12,Single level report sequences (satellite data),312014,(HIRS satellite data),,005052,Channel number increment,,,,Operational,
12,Single level report sequences (satellite data),312014,(HIRS satellite data),,312012,HIRS brightness temperatures - channels 1-19,,,,Operational,
12,Single level report sequences (satellite data),312014,(HIRS satellite data),,312013,HIRS brightness temperatures - channel 20,,,,Operational,
12,Single level report sequences (satellite data),312015,(MSU brightness temperatures - channels 1-4),,109011,Replicate 9 descriptors 11 times,,,,Operational,
12,Single level report sequences (satellite data),312015,(MSU brightness temperatures - channels 1-4),,301023,Latitude/longitude (coarse accuracy),,,,Operational,
12,Single level report sequences (satellite data),312015,(MSU brightness temperatures - channels 1-4),,005042,Channel number,,,,Operational,
12,Single level report sequences (satellite data),312015,(MSU brightness temperatures - channels 1-4),,005052,Channel number increment,,,,Operational,
12,Single level report sequences (satellite data),312015,(MSU brightness temperatures - channels 1-4),,202129,Change scale,,,,Operational,
12,Single level report sequences (satellite data),312015,(MSU brightness temperatures - channels 1-4),,201132,Change data width,,,,Operational,
12,Single level report sequences (satellite data),312015,(MSU brightness temperatures - channels 1-4),,101004,Replicate 1 descriptor 4 times,,,,Operational,
12,Single level report sequences (satellite data),312015,(MSU brightness temperatures - channels 1-4),,012063,Brightness temperature,,,,Operational,
12,Single level report sequences (satellite data),312015,(MSU brightness temperatures - channels 1-4),,202000,Change scale,,,,Operational,
12,Single level report sequences (satellite data),312015,(MSU brightness temperatures - channels 1-4),,201000,Change data width,,,,Operational,
12,Single level report sequences (satellite data),312016,(MSU satellite data),,312010,"Orbital information, Part I",,,,Operational,
12,Single level report sequences (satellite data),312016,(MSU satellite data),,312011,"Orbital information, Part II",,,,Operational,
12,Single level report sequences (satellite data),312016,(MSU satellite data),,312015,MSU brightness temperatures - channels 1-4,,,,Operational,
12,Single level report sequences (satellite data),312017,(SSU brightness temperatures - channels 1-3),,109008,Replicate 9 descriptors 8 times,,,,Operational,
12,Single level report sequences (satellite data),312017,(SSU brightness temperatures - channels 1-3),,301023,Latitude/longitude (coarse accuracy),,,,Operational,
12,Single level report sequences (satellite data),312017,(SSU brightness temperatures - channels 1-3),,005042,Channel number,,,,Operational,
12,Single level report sequences (satellite data),312017,(SSU brightness temperatures - channels 1-3),,005052,Channel number increment,,,,Operational,
12,Single level report sequences (satellite data),312017,(SSU brightness temperatures - channels 1-3),,202129,Change scale,,,,Operational,
12,Single level report sequences (satellite data),312017,(SSU brightness temperatures - channels 1-3),,201132,Change data width,,,,Operational,
12,Single level report sequences (satellite data),312017,(SSU brightness temperatures - channels 1-3),,101003,Replicate 1 descriptor 3 times,,,,Operational,
12,Single level report sequences (satellite data),312017,(SSU brightness temperatures - channels 1-3),,012063,Brightness temperature,,,,Operational,
12,Single level report sequences (satellite data),312017,(SSU brightness temperatures - channels 1-3),,202000,Change scale,,,,Operational,
12,Single level report sequences (satellite data),312017,(SSU brightness temperatures - channels 1-3),,201000,Change data width,,,,Operational,
12,Single level report sequences (satellite data),312018,(SSU satellite data),,312010,"Orbital information, Part I",,,,Operational,
12,Single level report sequences (satellite data),312018,(SSU satellite data),,312011,"Orbital information, Part II",,,,Operational,
12,Single level report sequences (satellite data),312018,(SSU satellite data),,312017,SSU brightness temperatures - channels 1-3,,,,Operational,
12,Single level report sequences (satellite data),312019,(Wave scatterometer product with width change for wave number (spectral)),,301047,ERS product header,,,,Operational,
12,Single level report sequences (satellite data),312019,(Wave scatterometer product with width change for wave number (spectral)),,301048,Radar parameters,,,,Operational,
12,Single level report sequences (satellite data),312019,(Wave scatterometer product with width change for wave number (spectral)),,015015,Maximum image spectral component before normalization,,,,Operational,
12,Single level report sequences (satellite data),312019,(Wave scatterometer product with width change for wave number (spectral)),,029002,Coordinate grid type,,,,Operational,
12,Single level report sequences (satellite data),312019,(Wave scatterometer product with width change for wave number (spectral)),,021076,Representation of intensities,,,,Operational,
12,Single level report sequences (satellite data),312019,(Wave scatterometer product with width change for wave number (spectral)),,106012,Replicate 6 descriptors 12 times,,,,Operational,
12,Single level report sequences (satellite data),312019,(Wave scatterometer product with width change for wave number (spectral)),,201129,Change data width,14 bits long,,,Operational,
12,Single level report sequences (satellite data),312019,(Wave scatterometer product with width change for wave number (spectral)),,006030,Wave number (spectral),,,,Operational,
12,Single level report sequences (satellite data),312019,(Wave scatterometer product with width change for wave number (spectral)),,201000,Change data width,Cancel,,,Operational,
12,Single level report sequences (satellite data),312019,(Wave scatterometer product with width change for wave number (spectral)),,102012,Replicate 2 descriptors 12 times,,,,Operational,
12,Single level report sequences (satellite data),312019,(Wave scatterometer product with width change for wave number (spectral)),,005030,Direction (spectral),,,,Operational,
12,Single level report sequences (satellite data),312019,(Wave scatterometer product with width change for wave number (spectral)),,021075,Image spectrum intensity,,,,Operational,
12,Single level report sequences (satellite data),312019,(Wave scatterometer product with width change for wave number (spectral)),,021066,Wave scatterometer product confidence data,,,,Operational,
12,Single level report sequences (satellite data),312020,(Wave scatterometer product),,301047,ERS product header,,,,Operational,
12,Single level report sequences (satellite data),312020,(Wave scatterometer product),,301048,Radar parameters,,,,Operational,
12,Single level report sequences (satellite data),312020,(Wave scatterometer product),,015015,Maximum image spectral component before normalization,,,,Operational,
12,Single level report sequences (satellite data),312020,(Wave scatterometer product),,029002,Coordinate grid type,,,,Operational,
12,Single level report sequences (satellite data),312020,(Wave scatterometer product),,021076,Representation of intensities,,,,Operational,
12,Single level report sequences (satellite data),312020,(Wave scatterometer product),,104012,Replicate 4 descriptors 12 times,,,,Operational,
12,Single level report sequences (satellite data),312020,(Wave scatterometer product),,006030,Wave number (spectral),,,,Operational,
12,Single level report sequences (satellite data),312020,(Wave scatterometer product),,102012,Replicate 2 descriptors 12 times,,,,Operational,
12,Single level report sequences (satellite data),312020,(Wave scatterometer product),,005030,Direction (spectral),,,,Operational,
12,Single level report sequences (satellite data),312020,(Wave scatterometer product),,021075,Image spectrum intensity,,,,Operational,
12,Single level report sequences (satellite data),312020,(Wave scatterometer product),,021066,Wave scatterometer product confidence data,,,,Operational,
12,Single level report sequences (satellite data),312021,(Wind scatterometer product),,301047,ERS product header,,,,Operational,
12,Single level report sequences (satellite data),312021,(Wind scatterometer product),,101003,Replicate 1 descriptor 3 times,,,,Operational,
12,Single level report sequences (satellite data),312021,(Wind scatterometer product),,301049,Radar beam data,,,,Operational,
12,Single level report sequences (satellite data),312021,(Wind scatterometer product),,011012,Wind speed at 10 m,,,,Operational,
12,Single level report sequences (satellite data),312021,(Wind scatterometer product),,011011,Wind direction at 10 m,,,,Operational,
12,Single level report sequences (satellite data),312021,(Wind scatterometer product),,021067,Wind product confidence data,,,,Operational,
12,Single level report sequences (satellite data),312022,(Radar altimeter product),,301047,ERS product header,,,,Operational,
12,Single level report sequences (satellite data),312022,(Radar altimeter product),,008022,Total number (with respect to accumulation or average),Number in average,,,Operational,
12,Single level report sequences (satellite data),312022,(Radar altimeter product),,011012,Wind speed at 10 m,,,,Operational,
12,Single level report sequences (satellite data),312022,(Radar altimeter product),,011050,Standard deviation of horizontal wind speed,,,,Operational,
12,Single level report sequences (satellite data),312022,(Radar altimeter product),,022070,Significant wave height,,,,Operational,
12,Single level report sequences (satellite data),312022,(Radar altimeter product),,022026,Standard deviation of significant wave height,,,,Operational,
12,Single level report sequences (satellite data),312022,(Radar altimeter product),,312041,Altitude,,,,Operational,
12,Single level report sequences (satellite data),312022,(Radar altimeter product),,010050,Standard deviation altitude,,,,Operational,
12,Single level report sequences (satellite data),312022,(Radar altimeter product),,021068,Radar altimeter product confidence data,,,,Operational,
12,Single level report sequences (satellite data),312022,(Radar altimeter product),,021071,Peakiness,,,,Operational,
12,Single level report sequences (satellite data),312022,(Radar altimeter product),,021072,Satellite altimeter calibration status,,,,Operational,
12,Single level report sequences (satellite data),312022,(Radar altimeter product),,021073,Satellite altimeter instrument mode,,,,Operational,
12,Single level report sequences (satellite data),312022,(Radar altimeter product),,312042,Altitude corrections,,,,Operational,
12,Single level report sequences (satellite data),312022,(Radar altimeter product),,021062,Backscatter,,,,Operational,
12,Single level report sequences (satellite data),312022,(Radar altimeter product),,015011,Log10 of integrated electron density,,,,Operational,
12,Single level report sequences (satellite data),312023,(ATSR sea-surface temperature product),,301047,ERS product header,,,,Operational,
12,Single level report sequences (satellite data),312023,(ATSR sea-surface temperature product),,103003,Replicate 3 descriptors 3 times,,,,Operational,
12,Single level report sequences (satellite data),312023,(ATSR sea-surface temperature product),,008022,Total number (with respect to accumulation or average),Number in average,,,Operational,
12,Single level report sequences (satellite data),312023,(ATSR sea-surface temperature product),,012061,Skin temperature,,,,Operational,
12,Single level report sequences (satellite data),312023,(ATSR sea-surface temperature product),,022050,Standard deviation sea-surface temperature,,,,Operational,
12,Single level report sequences (satellite data),312023,(ATSR sea-surface temperature product),,021069,SST product confidence data,,,,Operational,
12,Single level report sequences (satellite data),312023,(ATSR sea-surface temperature product),,021085,ATSR sea-surface temperature across-track band number,,,,Operational,
12,Single level report sequences (satellite data),312024,(Wave scatterometer product enhanced),,312020,Wave scatterometer product,,,,Operational,
12,Single level report sequences (satellite data),312024,(Wave scatterometer product enhanced),,008060,Sample scanning mode significance,Range,,,Operational,
12,Single level report sequences (satellite data),312024,(Wave scatterometer product enhanced),,008022,Total number (with respect to accumulation or average),Number in sample,,,Operational,
12,Single level report sequences (satellite data),312024,(Wave scatterometer product enhanced),,008060,Sample scanning mode significance,Horizontal,,,Operational,
12,Single level report sequences (satellite data),312024,(Wave scatterometer product enhanced),,008022,Total number (with respect to accumulation or average),Number in sample,,,Operational,
12,Single level report sequences (satellite data),312024,(Wave scatterometer product enhanced),,025014,Azimuth clutter cut-off,,,,Operational,
12,Single level report sequences (satellite data),312024,(Wave scatterometer product enhanced),,022101,Total energy (wavelength > 731m) at low wave numbers,,,,Operational,
12,Single level report sequences (satellite data),312024,(Wave scatterometer product enhanced),,022097,Mean wavelength > 731 m of image spectrum at low wave numbers,,,,Operational,
12,Single level report sequences (satellite data),312024,(Wave scatterometer product enhanced),,022098,Wavelength spread (wavelength > 731 m) at low wave numbers,,,,Operational,
12,Single level report sequences (satellite data),312024,(Wave scatterometer product enhanced),,022099,Mean direction at low wave numbers (wavelength > 731 m),,,,Operational,
12,Single level report sequences (satellite data),312024,(Wave scatterometer product enhanced),,022100,Direction spread at low wave numbers (wavelength > 731 m),,,,Operational,
12,Single level report sequences (satellite data),312025,(Wave scatterometer enhanced product (with change of width for wave number (spectral)),,312019,Wave scatterometer product with width change for wave number (spectral),,,,Operational,
12,Single level report sequences (satellite data),312025,(Wave scatterometer enhanced product (with change of width for wave number (spectral)),,008060,Sample scanning mode significance,Range,,,Operational,
12,Single level report sequences (satellite data),312025,(Wave scatterometer enhanced product (with change of width for wave number (spectral)),,008022,Total number (with respect to accumulation or average),Number in sample,,,Operational,
12,Single level report sequences (satellite data),312025,(Wave scatterometer enhanced product (with change of width for wave number (spectral)),,008060,Sample scanning mode significance,Horizontal,,,Operational,
12,Single level report sequences (satellite data),312025,(Wave scatterometer enhanced product (with change of width for wave number (spectral)),,008022,Total number (with respect to accumulation or average),Number in sample,,,Operational,
12,Single level report sequences (satellite data),312025,(Wave scatterometer enhanced product (with change of width for wave number (spectral)),,025014,Azimuth clutter cut-off,,,,Operational,
12,Single level report sequences (satellite data),312025,(Wave scatterometer enhanced product (with change of width for wave number (spectral)),,022101,Total energy (wavelength > 731m) at low wave numbers,,,,Operational,
12,Single level report sequences (satellite data),312025,(Wave scatterometer enhanced product (with change of width for wave number (spectral)),,022097,Mean wavelength > 731 m of image spectrum at low wave numbers,,,,Operational,
12,Single level report sequences (satellite data),312025,(Wave scatterometer enhanced product (with change of width for wave number (spectral)),,022098,Wavelength spread (wavelength > 731 m) at low wave numbers,,,,Operational,
12,Single level report sequences (satellite data),312025,(Wave scatterometer enhanced product (with change of width for wave number (spectral)),,022099,Mean direction at low wave numbers (wavelength > 731 m),,,,Operational,
12,Single level report sequences (satellite data),312025,(Wave scatterometer enhanced product (with change of width for wave number (spectral)),,022100,Direction spread at low wave numbers (wavelength > 731 m),,,,Operational,
12,Single level report sequences (satellite data),312026,(QUIKSCAT data),,301046,"Satellite identifier, direction of motion, sensor, model function, software, resolution",,,,Operational,
12,Single level report sequences (satellite data),312026,(QUIKSCAT data),,301011,"Year, month, day",,,,Operational,
12,Single level report sequences (satellite data),312026,(QUIKSCAT data),,301013,"Hour, minute, second",,,,Operational,
12,Single level report sequences (satellite data),312026,(QUIKSCAT data),,301023,Latitude/longitude (coarse accuracy),,,,Operational,
12,Single level report sequences (satellite data),312026,(QUIKSCAT data),,312031,SEAWINDS wind,,,,Operational,
12,Single level report sequences (satellite data),312026,(QUIKSCAT data),,101004,Replicate 1 descriptor 4 times,,,,Operational,
12,Single level report sequences (satellite data),312026,(QUIKSCAT data),,312030,"Wind, formal uncertainty, likelihood",,,,Operational,
12,Single level report sequences (satellite data),312026,(QUIKSCAT data),,021110,Number of inner-beam sigma-0 (forward of satellite),,,,Operational,
12,Single level report sequences (satellite data),312026,(QUIKSCAT data),,301023,Latitude/longitude (coarse accuracy),,,,Operational,
12,Single level report sequences (satellite data),312026,(QUIKSCAT data),,321027,"Radar specification, normalized radar cross-section, Kp variance coefficient",,,,Operational,
12,Single level report sequences (satellite data),312026,(QUIKSCAT data),,021111,Number of outer-beam sigma-0 (forward of satellite),,,,Operational,
12,Single level report sequences (satellite data),312026,(QUIKSCAT data),,301023,Latitude/longitude (coarse accuracy),,,,Operational,
12,Single level report sequences (satellite data),312026,(QUIKSCAT data),,321027,"Radar specification, normalized radar cross-section, Kp variance coefficient",,,,Operational,
12,Single level report sequences (satellite data),312026,(QUIKSCAT data),,021112,Number of inner-beam sigma-0 (aft of satellite),,,,Operational,
12,Single level report sequences (satellite data),312026,(QUIKSCAT data),,301023,Latitude/longitude (coarse accuracy),,,,Operational,
12,Single level report sequences (satellite data),312026,(QUIKSCAT data),,321027,"Radar specification, normalized radar cross-section, Kp variance coefficient",,,,Operational,
12,Single level report sequences (satellite data),312026,(QUIKSCAT data),,021113,Number of outer-beam sigma-0 (aft of satellite),,,,Operational,
12,Single level report sequences (satellite data),312026,(QUIKSCAT data),,301023,Latitude/longitude (coarse accuracy),,,,Operational,
12,Single level report sequences (satellite data),312026,(QUIKSCAT data),,321027,"Radar specification, normalized radar cross-section, Kp variance coefficient",,,,Operational,
12,Single level report sequences (satellite data),312027,(ATSR SST product (SADIST-2)),,301047,ERS product header,,,,Operational,
12,Single level report sequences (satellite data),312027,(ATSR SST product (SADIST-2)),,105009,Replicate 5 descriptors 9 times,,,,Operational,
12,Single level report sequences (satellite data),312027,(ATSR SST product (SADIST-2)),,301023,Latitude/longitude (coarse accuracy),10-arcmin cell,,,Operational,
12,Single level report sequences (satellite data),312027,(ATSR SST product (SADIST-2)),,007021,Elevation,Incidence angle nadir view | Set to zero,,,Operational,
12,Single level report sequences (satellite data),312027,(ATSR SST product (SADIST-2)),,012061,Skin temperature,SST (nadir-only view),,,Operational,
12,Single level report sequences (satellite data),312027,(ATSR SST product (SADIST-2)),,007021,Elevation,Incidence angle dual view | Set to missing,,,Operational,
12,Single level report sequences (satellite data),312027,(ATSR SST product (SADIST-2)),,012061,Skin temperature,SST (dual view),,,Operational,
12,Single level report sequences (satellite data),312027,(ATSR SST product (SADIST-2)),,021085,ATSR sea-surface temperature across-track band number,0-9,,,Operational,
12,Single level report sequences (satellite data),312027,(ATSR SST product (SADIST-2)),,021070,SST product confidence data (SADIST-2),23-bit flag,,,Operational,
12,Single level report sequences (satellite data),312028,(SEAWINDS QUIKSCAT data),,301046,"Satellite identifier, direction of motion, sensor, model function, software, resolution",,,,Operational,
12,Single level report sequences (satellite data),312028,(SEAWINDS QUIKSCAT data),,301011,"Year, month, day",,,,Operational,
12,Single level report sequences (satellite data),312028,(SEAWINDS QUIKSCAT data),,301013,"Hour, minute, second",,,,Operational,
12,Single level report sequences (satellite data),312028,(SEAWINDS QUIKSCAT data),,301023,Latitude/longitude (coarse accuracy),,,,Operational,
12,Single level report sequences (satellite data),312028,(SEAWINDS QUIKSCAT data),,008025,Time difference qualifier,,,,Operational,
12,Single level report sequences (satellite data),312028,(SEAWINDS QUIKSCAT data),,201136,Change data width,,,,Operational,
12,Single level report sequences (satellite data),312028,(SEAWINDS QUIKSCAT data),,004006,Second,,,,Operational,
12,Single level report sequences (satellite data),312028,(SEAWINDS QUIKSCAT data),,201000,Change data width,Cancel,,,Operational,
12,Single level report sequences (satellite data),312028,(SEAWINDS QUIKSCAT data),,312031,SEAWINDS wind,,,,Operational,
12,Single level report sequences (satellite data),312028,(SEAWINDS QUIKSCAT data),,312032,SEAWINDS precipitation,,,,Operational,
12,Single level report sequences (satellite data),312028,(SEAWINDS QUIKSCAT data),,101004,Replicate 1 descriptor 4 times,,,,Operational,
12,Single level report sequences (satellite data),312028,(SEAWINDS QUIKSCAT data),,312030,"Wind, formal uncertainty, likelihood",,,,Operational,
12,Single level report sequences (satellite data),312028,(SEAWINDS QUIKSCAT data),,101002,Replicate 1 descriptor 2 times,,,,Operational,
12,Single level report sequences (satellite data),312028,(SEAWINDS QUIKSCAT data),,312033,"Antenna polarization, brightness temperature",,,,Operational,
12,Single level report sequences (satellite data),312028,(SEAWINDS QUIKSCAT data),,021110,Number of inner-beam sigma-0 (forward of satellite),,,,Operational,
12,Single level report sequences (satellite data),312028,(SEAWINDS QUIKSCAT data),,301023,Latitude/longitude (coarse accuracy),,,,Operational,
12,Single level report sequences (satellite data),312028,(SEAWINDS QUIKSCAT data),,321028,"Radar specification, SEAWINDS normalized radar cross-section, Kp variance coefficient",,,,Operational,
12,Single level report sequences (satellite data),312028,(SEAWINDS QUIKSCAT data),,021111,Number of outer-beam sigma-0 (forward of satellite),,,,Operational,
12,Single level report sequences (satellite data),312028,(SEAWINDS QUIKSCAT data),,301023,Latitude/longitude (coarse accuracy),,,,Operational,
12,Single level report sequences (satellite data),312028,(SEAWINDS QUIKSCAT data),,321028,"Radar specification, SEAWINDS normalized radar cross-section, Kp variance coefficient",,,,Operational,
12,Single level report sequences (satellite data),312028,(SEAWINDS QUIKSCAT data),,021112,Number of inner-beam sigma-0 (aft of satellite),,,,Operational,
12,Single level report sequences (satellite data),312028,(SEAWINDS QUIKSCAT data),,301023,Latitude/longitude (coarse accuracy),,,,Operational,
12,Single level report sequences (satellite data),312028,(SEAWINDS QUIKSCAT data),,321028,"Radar specification, SEAWINDS normalized radar cross-section, Kp variance coefficient",,,,Operational,
12,Single level report sequences (satellite data),312028,(SEAWINDS QUIKSCAT data),,021113,Number of outer-beam sigma-0 (aft of satellite),,,,Operational,
12,Single level report sequences (satellite data),312028,(SEAWINDS QUIKSCAT data),,301023,Latitude/longitude (coarse accuracy),,,,Operational,
12,Single level report sequences (satellite data),312028,(SEAWINDS QUIKSCAT data),,321028,"Radar specification, SEAWINDS normalized radar cross-section, Kp variance coefficient",,,,Operational,
12,Single level report sequences (satellite data),312029,(Scatterometer level 2b data),,301046,"Satellite identifier, direction of motion, sensor, model function, software, resolution",,,,Operational,
12,Single level report sequences (satellite data),312029,(Scatterometer level 2b data),,301011,"Year, month, day",,,,Operational,
12,Single level report sequences (satellite data),312029,(Scatterometer level 2b data),,301013,"Hour, minute, second",,,,Operational,
12,Single level report sequences (satellite data),312029,(Scatterometer level 2b data),,301023,Latitude/longitude (coarse accuracy),,,,Operational,
12,Single level report sequences (satellite data),312029,(Scatterometer level 2b data),,008025,Time difference qualifier,,,,Operational,
12,Single level report sequences (satellite data),312029,(Scatterometer level 2b data),,201136,Change data width,,,,Operational,
12,Single level report sequences (satellite data),312029,(Scatterometer level 2b data),,004006,Second,,,,Operational,
12,Single level report sequences (satellite data),312029,(Scatterometer level 2b data),,201000,Cancel change data width,,,,Operational,
12,Single level report sequences (satellite data),312029,(Scatterometer level 2b data),,005034,Along-track row number,,,,Operational,
12,Single level report sequences (satellite data),312029,(Scatterometer level 2b data),,201129,Change data width,,,,Operational,
12,Single level report sequences (satellite data),312029,(Scatterometer level 2b data),,006034,Cross-track cell number,,,,Operational,
12,Single level report sequences (satellite data),312029,(Scatterometer level 2b data),,201000,Cancel change data width,,,,Operational,
12,Single level report sequences (satellite data),312029,(Scatterometer level 2b data),,033055,Wind vector quality flag,,,,Operational,
12,Single level report sequences (satellite data),312029,(Scatterometer level 2b data),,011081,Model wind direction at 10 m,,,,Operational,
12,Single level report sequences (satellite data),312029,(Scatterometer level 2b data),,011082,Model wind speed at 10 m,,,,Operational,
12,Single level report sequences (satellite data),312029,(Scatterometer level 2b data),,021101,Number of vector ambiguities,,,,Operational,
12,Single level report sequences (satellite data),312029,(Scatterometer level 2b data),,021102,Index of selected wind vector,,,,Operational,
12,Single level report sequences (satellite data),312029,(Scatterometer level 2b data),,021103,Total number of sigma-0 measurements,,,,Operational,
12,Single level report sequences (satellite data),312029,(Scatterometer level 2b data),,312032,SEAWINDS precipitation,,,,Operational,
12,Single level report sequences (satellite data),312029,(Scatterometer level 2b data),,101004,Replicate 1 descriptor 4 times,,,,Operational,
12,Single level report sequences (satellite data),312029,(Scatterometer level 2b data),,312030,"Wind, formal uncertainty, likelihood",,,,Operational,
12,Single level report sequences (satellite data),312029,(Scatterometer level 2b data),,101002,Replicate 1 descriptor 2 times,,,,Operational,
12,Single level report sequences (satellite data),312029,(Scatterometer level 2b data),,312033,"Antenna polarization, brightness temperature",,,,Operational,
12,Single level report sequences (satellite data),312029,(Scatterometer level 2b data),,021110,Number of inner-beam sigma-0 (forward of satellite),,,,Operational,
12,Single level report sequences (satellite data),312029,(Scatterometer level 2b data),,301023,Latitude/longitude (coarse accuracy),,,,Operational,
12,Single level report sequences (satellite data),312029,(Scatterometer level 2b data),,321028,"Radar specification, SEAWINDS normalized radar cross-section, Kp variance coefficient",,,,Operational,
12,Single level report sequences (satellite data),312029,(Scatterometer level 2b data),,021111,Number of outer-beam sigma-0 (forward of satellite),,,,Operational,
12,Single level report sequences (satellite data),312029,(Scatterometer level 2b data),,301023,Latitude/longitude (coarse accuracy),,,,Operational,
12,Single level report sequences (satellite data),312029,(Scatterometer level 2b data),,321028,"Radar specification, SEAWINDS normalized radar cross-section, Kp variance coefficient",,,,Operational,
12,Single level report sequences (satellite data),312029,(Scatterometer level 2b data),,021112,Number of inner-beam sigma-0 (aft of satellite),,,,Operational,
12,Single level report sequences (satellite data),312029,(Scatterometer level 2b data),,301023,Latitude/longitude (coarse accuracy),,,,Operational,
12,Single level report sequences (satellite data),312029,(Scatterometer level 2b data),,321028,"Radar specification, SEAWINDS normalized radar cross-section, Kp variance coefficient",,,,Operational,
12,Single level report sequences (satellite data),312029,(Scatterometer level 2b data),,021113,Number of outer-beam sigma-0 (aft of satellite),,,,Operational,
12,Single level report sequences (satellite data),312029,(Scatterometer level 2b data),,301023,Latitude/longitude (coarse accuracy),,,,Operational,
