Category,CategoryOfSequences_en,FXY1,Title_en,SubTitle_en,FXY2,ElementName_en,ElementDescription_en,Note_en,noteIDs,Status
06,Meteorological or oceanographic sequences common to oceanographic observations,306004,"(Depth, temperature, salinity)",,022043,Sea/water temperature,,,,Operational
06,Meteorological or oceanographic sequences common to oceanographic observations,306004,"(Depth, temperature, salinity)",,022062,Salinity,,,,Operational
06,Meteorological or oceanographic sequences common to oceanographic observations,306005,,,002031,Duration and time of current measurement,,,,Operational
06,Meteorological or oceanographic sequences common to oceanographic observations,306005,,,103000,Delayed replication of 3 descriptors,,,,Operational
06,Meteorological or oceanographic sequences common to oceanographic observations,306005,,,031001,Delayed descriptor replication factor,,,,Operational
06,Meteorological or oceanographic sequences common to oceanographic observations,306005,,,007062,Depth below sea/water surface,,,,Operational
06,Meteorological or oceanographic sequences common to oceanographic observations,306005,,,022004,Direction of current,,,,Operational
06,Meteorological or oceanographic sequences common to oceanographic observations,306005,,,022031,Speed of current,,,,Operational
06,Meteorological or oceanographic sequences common to oceanographic observations,306006,(Under water sounding (optional) parameters),,306003,Surface wind and temperature,,,,Operational
06,Meteorological or oceanographic sequences common to oceanographic observations,306006,(Under water sounding (optional) parameters),,306002,Current,,,,Operational
06,Meteorological or oceanographic sequences common to oceanographic observations,306006,(Under water sounding (optional) parameters),,022063,Total water depth,,,,Operational
06,Meteorological or oceanographic sequences common to oceanographic observations,306007,(Buoy spare block parameters),,001012,Direction of motion of moving observing platform,,,,Operational
06,Meteorological or oceanographic sequences common to oceanographic observations,306007,(Buoy spare block parameters),,001014,Platform drift speed (high precision),,,,Operational
06,Meteorological or oceanographic sequences common to oceanographic observations,306007,(Buoy spare block parameters),,306008,Buoy instrumentation parameters,,,,Operational
06,Meteorological or oceanographic sequences common to oceanographic observations,306007,(Buoy spare block parameters),,004024,Time period or displacement,,,,Operational
06,Meteorological or oceanographic sequences common to oceanographic observations,306007,(Buoy spare block parameters),,027003,Alternate latitude (coarse accuracy),,,,Operational
06,Meteorological or oceanographic sequences common to oceanographic observations,306007,(Buoy spare block parameters),,028003,Alternate longitude (coarse accuracy),,,,Operational
06,Meteorological or oceanographic sequences common to oceanographic observations,306008,(Buoy instrumentation parameters),,002034,Drogue type,,,,Operational
06,Meteorological or oceanographic sequences common to oceanographic observations,306008,(Buoy instrumentation parameters),,002035,Cable length,,,,Operational
06,Meteorological or oceanographic sequences common to oceanographic observations,306008,(Buoy instrumentation parameters),,002036,Buoy type,,,,Operational
06,Meteorological or oceanographic sequences common to oceanographic observations,306011,"(Sequence for representation of tide station identification, method of transmission, time the message is transmitted and reference time for reports in a time series)",,301021,Latitude/longitude (high accuracy),,,,Operational
06,Meteorological or oceanographic sequences common to oceanographic observations,306011,"(Sequence for representation of tide station identification, method of transmission, time the message is transmitted and reference time for reports in a time series)",,001075,Tide station identification,Alphanumeric ID (5 characters),,,Operational
06,Meteorological or oceanographic sequences common to oceanographic observations,306011,"(Sequence for representation of tide station identification, method of transmission, time the message is transmitted and reference time for reports in a time series)",,002147,Method of transmission to collection centre,,,,Operational
06,Meteorological or oceanographic sequences common to oceanographic observations,306011,"(Sequence for representation of tide station identification, method of transmission, time the message is transmitted and reference time for reports in a time series)",,301011,"Year, month, day",,,,Operational
06,Meteorological or oceanographic sequences common to oceanographic observations,306011,"(Sequence for representation of tide station identification, method of transmission, time the message is transmitted and reference time for reports in a time series)",,301013,"Hour, minute, second",,,,Operational
06,Meteorological or oceanographic sequences common to oceanographic observations,306012,"(Sequence for representation of sensor type, significant qualifier for sensor and status of operation)",,002007,Type of sensor for water level measuring instrument,,,,Operational
06,Meteorological or oceanographic sequences common to oceanographic observations,306012,"(Sequence for representation of sensor type, significant qualifier for sensor and status of operation)",,008015,Significant qualifier for sensor,,,,Operational
06,Meteorological or oceanographic sequences common to oceanographic observations,306012,"(Sequence for representation of sensor type, significant qualifier for sensor and status of operation)",,008032,Status of operation,,,,Operational
06,Meteorological or oceanographic sequences common to oceanographic observations,306012,"(Sequence for representation of sensor type, significant qualifier for sensor and status of operation)",,306029,Sequence for representation of tsunameter sampling information for water column heights in the time series report,,,,Operational
06,Meteorological or oceanographic sequences common to oceanographic observations,306013,(Sequence for representation of water level and residual in the time series),,306012,"Sequence for representation of sensor type, significant qualifier for sensor and status of operation",,,,Operational
06,Meteorological or oceanographic sequences common to oceanographic observations,306013,(Sequence for representation of water level and residual in the time series),,301011,"Year, month, day ",Reference date for the time series,,,Operational
06,Meteorological or oceanographic sequences common to oceanographic observations,306013,(Sequence for representation of water level and residual in the time series),,301013,"Hour, minute, second",Reference time for the time series,,,Operational
06,Meteorological or oceanographic sequences common to oceanographic observations,306013,(Sequence for representation of water level and residual in the time series),,022120,Tide station automated water level check,,,,Operational
06,Meteorological or oceanographic sequences common to oceanographic observations,306013,(Sequence for representation of water level and residual in the time series),,022121,Tide station manual water level check,,,,Operational
06,Meteorological or oceanographic sequences common to oceanographic observations,306013,(Sequence for representation of water level and residual in the time series),,004015,Time increment,Added to reset the reference time,,,Operational
06,Meteorological or oceanographic sequences common to oceanographic observations,306013,(Sequence for representation of water level and residual in the time series),,004065,Short time increment,Added to each data value in the time series,,,Operational
06,Meteorological or oceanographic sequences common to oceanographic observations,306013,(Sequence for representation of water level and residual in the time series),,102000,Delayed replication of 2 descriptors,,,,Operational
06,Meteorological or oceanographic sequences common to oceanographic observations,306013,(Sequence for representation of water level and residual in the time series),,031001,Delayed descriptor replication factor,,,,Operational
06,Meteorological or oceanographic sequences common to oceanographic observations,306013,(Sequence for representation of water level and residual in the time series),,022038,Tidal elevation with respect to local chart datum,,,,Operational
06,Meteorological or oceanographic sequences common to oceanographic observations,306013,(Sequence for representation of water level and residual in the time series),,022040,Meteorological residual tidal elevation (surge or offset),,,,Operational
06,Meteorological or oceanographic sequences common to oceanographic observations,306014,"(Sequence for representation of water level in the time series, similar to 3 06 013 but with no residual)",,306012,"Sequence for representation of sensor type, significant qualifier for sensor and status of operation",,,,Operational
06,Meteorological or oceanographic sequences common to oceanographic observations,306014,"(Sequence for representation of water level in the time series, similar to 3 06 013 but with no residual)",,301011,"Year, month, day ",Reference date for the time series,,,Operational
06,Meteorological or oceanographic sequences common to oceanographic observations,306014,"(Sequence for representation of water level in the time series, similar to 3 06 013 but with no residual)",,301013,"Hour, minute, second",Reference time for the time series,,,Operational
06,Meteorological or oceanographic sequences common to oceanographic observations,306014,"(Sequence for representation of water level in the time series, similar to 3 06 013 but with no residual)",,022120,Tide station automated water level check,,,,Operational
06,Meteorological or oceanographic sequences common to oceanographic observations,306014,"(Sequence for representation of water level in the time series, similar to 3 06 013 but with no residual)",,022121,Tide station manual water level check,,,,Operational
06,Meteorological or oceanographic sequences common to oceanographic observations,306014,"(Sequence for representation of water level in the time series, similar to 3 06 013 but with no residual)",,004015,Time increment,Added to reset the reference time,,,Operational
06,Meteorological or oceanographic sequences common to oceanographic observations,306014,"(Sequence for representation of water level in the time series, similar to 3 06 013 but with no residual)",,004065,Short time increment,Added to each data value in the time series,,,Operational
06,Meteorological or oceanographic sequences common to oceanographic observations,306014,"(Sequence for representation of water level in the time series, similar to 3 06 013 but with no residual)",,101000,Delayed replication of 1 descriptor,,,,Operational
06,Meteorological or oceanographic sequences common to oceanographic observations,306014,"(Sequence for representation of water level in the time series, similar to 3 06 013 but with no residual)",,031001,Delayed descriptor replication factor,,,,Operational
06,Meteorological or oceanographic sequences common to oceanographic observations,306014,"(Sequence for representation of water level in the time series, similar to 3 06 013 but with no residual)",,022038,Tidal elevation with respect to local chart datum,,,,Operational
06,Meteorological or oceanographic sequences common to oceanographic observations,306016,(Sequence for representation of ancillary meteorological data associated with water level data),,301011,"Year, month, day",Reference date for the time series,,,Operational
06,Meteorological or oceanographic sequences common to oceanographic observations,306016,(Sequence for representation of ancillary meteorological data associated with water level data),,301013,"Hour, minute, second",Reference time for the time series,,,Operational
06,Meteorological or oceanographic sequences common to oceanographic observations,306016,(Sequence for representation of ancillary meteorological data associated with water level data),,010004,Pressure,Station level,,,Operational
06,Meteorological or oceanographic sequences common to oceanographic observations,306016,(Sequence for representation of ancillary meteorological data associated with water level data),,010051,Pressure reduced to mean sea level,,,,Operational
06,Meteorological or oceanographic sequences common to oceanographic observations,306016,(Sequence for representation of ancillary meteorological data associated with water level data),,302032,Temperature and humidity data,,,,Operational
06,Meteorological or oceanographic sequences common to oceanographic observations,306016,(Sequence for representation of ancillary meteorological data associated with water level data),,007032,Height of sensor above local ground (or deck of marine platform),,,,Operational
06,Meteorological or oceanographic sequences common to oceanographic observations,306016,(Sequence for representation of ancillary meteorological data associated with water level data),,002002,Type of instrumentation for wind measurement,,,,Operational
06,Meteorological or oceanographic sequences common to oceanographic observations,306016,(Sequence for representation of ancillary meteorological data associated with water level data),,008021,Time significance,= 2 Time averaged,,,Operational
06,Meteorological or oceanographic sequences common to oceanographic observations,306016,(Sequence for representation of ancillary meteorological data associated with water level data),,004025,Time period or displacement,"E.g. = 1 for 1 minute, = 10 for 10 minutes",,,Operational
06,Meteorological or oceanographic sequences common to oceanographic observations,306016,(Sequence for representation of ancillary meteorological data associated with water level data),,011001,Wind direction,,,,Operational
06,Meteorological or oceanographic sequences common to oceanographic observations,306016,(Sequence for representation of ancillary meteorological data associated with water level data),,011002,Wind speed,,,,Operational
06,Meteorological or oceanographic sequences common to oceanographic observations,306016,(Sequence for representation of ancillary meteorological data associated with water level data),,004025,Time period or displacement,In minutes,,,Operational
06,Meteorological or oceanographic sequences common to oceanographic observations,306016,(Sequence for representation of ancillary meteorological data associated with water level data),,011043,Maximum wind gust direction,,,,Operational
06,Meteorological or oceanographic sequences common to oceanographic observations,306016,(Sequence for representation of ancillary meteorological data associated with water level data),,011041,Maximum wind gust speed,,,,Operational
06,Meteorological or oceanographic sequences common to oceanographic observations,306016,(Sequence for representation of ancillary meteorological data associated with water level data),,025026,Battery voltage (large range),AWS battery voltage,,,Operational
06,Meteorological or oceanographic sequences common to oceanographic observations,306016,(Sequence for representation of ancillary meteorological data associated with water level data),,012060,AWS enclosure internal temperature,,,,Operational
06,Meteorological or oceanographic sequences common to oceanographic observations,306017,(Subsurface temperature profile (high accuracy/precision) with quality flags),,002032,Indicator for digitization,= 0 Fixed sensor depths,,,Operational
06,Meteorological or oceanographic sequences common to oceanographic observations,306017,(Subsurface temperature profile (high accuracy/precision) with quality flags),,008034,Temperature/salinity measurement qualifier,,,,Operational
06,Meteorological or oceanographic sequences common to oceanographic observations,306017,(Subsurface temperature profile (high accuracy/precision) with quality flags),,106000,Delayed replication of 6 descriptors,,,,Operational
06,Meteorological or oceanographic sequences common to oceanographic observations,306017,(Subsurface temperature profile (high accuracy/precision) with quality flags),,031002,Extended delayed descriptor replication factor,Number of depths,,,Operational
06,Meteorological or oceanographic sequences common to oceanographic observations,306017,(Subsurface temperature profile (high accuracy/precision) with quality flags),,007065,Water pressure,In Pa,,,Operational
06,Meteorological or oceanographic sequences common to oceanographic observations,306017,(Subsurface temperature profile (high accuracy/precision) with quality flags),,008080,Qualifier for GTSPP quality flag,,,,Operational
06,Meteorological or oceanographic sequences common to oceanographic observations,306017,(Subsurface temperature profile (high accuracy/precision) with quality flags),,033050,Global GTSPP quality flag,,,,Operational
06,Meteorological or oceanographic sequences common to oceanographic observations,306017,(Subsurface temperature profile (high accuracy/precision) with quality flags),,022045,Sea/water temperature,In K to 3 decimal places,,,Operational
06,Meteorological or oceanographic sequences common to oceanographic observations,306017,(Subsurface temperature profile (high accuracy/precision) with quality flags),,008080,Qualifier for GTSPP quality flag,,,,Operational
06,Meteorological or oceanographic sequences common to oceanographic observations,306017,(Subsurface temperature profile (high accuracy/precision) with quality flags),,033050,Global GTSPP quality flag,,,,Operational
06,Meteorological or oceanographic sequences common to oceanographic observations,306017,(Subsurface temperature profile (high accuracy/precision) with quality flags),,008034,Temperature/salinity measurement qualifier,Set to missing (cancel),,,Operational
06,Meteorological or oceanographic sequences common to oceanographic observations,306018,(Subsurface temperature profile (high accuracy/precision) with quality flags),,002032,Indicator for digitization,= 0 Fixed sensor depths,,,Operational
06,Meteorological or oceanographic sequences common to oceanographic observations,306018,(Subsurface temperature profile (high accuracy/precision) with quality flags),,008034,Temperature/salinity measurement qualifier,,,,Operational
06,Meteorological or oceanographic sequences common to oceanographic observations,306018,(Subsurface temperature profile (high accuracy/precision) with quality flags),,109000,Delayed replication of 9 descriptors,,,,Operational
06,Meteorological or oceanographic sequences common to oceanographic observations,306018,(Subsurface temperature profile (high accuracy/precision) with quality flags),,031002,Extended delayed descriptor replication factor,Number of depths,,,Operational
06,Meteorological or oceanographic sequences common to oceanographic observations,306018,(Subsurface temperature profile (high accuracy/precision) with quality flags),,007065,Water pressure,In Pa,,,Operational
06,Meteorological or oceanographic sequences common to oceanographic observations,306018,(Subsurface temperature profile (high accuracy/precision) with quality flags),,008080,Qualifier for GTSPP quality flag,,,,Operational
06,Meteorological or oceanographic sequences common to oceanographic observations,306018,(Subsurface temperature profile (high accuracy/precision) with quality flags),,033050,Global GTSPP quality flag,,,,Operational
06,Meteorological or oceanographic sequences common to oceanographic observations,306018,(Subsurface temperature profile (high accuracy/precision) with quality flags),,022045,Sea/water temperature,In K to 3 decimal places,,,Operational
06,Meteorological or oceanographic sequences common to oceanographic observations,306018,(Subsurface temperature profile (high accuracy/precision) with quality flags),,008080,Qualifier for GTSPP quality flag,,,,Operational
06,Meteorological or oceanographic sequences common to oceanographic observations,306018,(Subsurface temperature profile (high accuracy/precision) with quality flags),,033050,Global GTSPP quality flag,,,,Operational
06,Meteorological or oceanographic sequences common to oceanographic observations,306018,(Subsurface temperature profile (high accuracy/precision) with quality flags),,022064,Salinity,,,,Operational
06,Meteorological or oceanographic sequences common to oceanographic observations,306018,(Subsurface temperature profile (high accuracy/precision) with quality flags),,008080,Qualifier for GTSPP quality flag,,,,Operational
06,Meteorological or oceanographic sequences common to oceanographic observations,306018,(Subsurface temperature profile (high accuracy/precision) with quality flags),,033050,Global GTSPP quality flag,,,,Operational
06,Meteorological or oceanographic sequences common to oceanographic observations,306018,(Subsurface temperature profile (high accuracy/precision) with quality flags),,008034,Temperature/salinity measurement qualifier,Set to missing (cancel),,,Operational
06,Meteorological or oceanographic sequences common to oceanographic observations,306019,"(Tide report identification, water level checks, time increments)",,001075,Tide station identification,Alphanumeric,,,Operational
06,Meteorological or oceanographic sequences common to oceanographic observations,306019,"(Tide report identification, water level checks, time increments)",,301011,"Year, month, day",,,,Operational
06,Meteorological or oceanographic sequences common to oceanographic observations,306019,"(Tide report identification, water level checks, time increments)",,301012,"Hour, minute",,,,Operational
06,Meteorological or oceanographic sequences common to oceanographic observations,306019,"(Tide report identification, water level checks, time increments)",,022042,Sea/water temperature,,,,Operational
06,Meteorological or oceanographic sequences common to oceanographic observations,306019,"(Tide report identification, water level checks, time increments)",,022120,Tide station automated water level check,,,,Operational
06,Meteorological or oceanographic sequences common to oceanographic observations,306019,"(Tide report identification, water level checks, time increments)",,022121,Tide station manual water level check,,,,Operational
06,Meteorological or oceanographic sequences common to oceanographic observations,306019,"(Tide report identification, water level checks, time increments)",,004015,Time increment,Minutes,(see Note 1),42,Operational
06,Meteorological or oceanographic sequences common to oceanographic observations,306019,"(Tide report identification, water level checks, time increments)",,004065,Short time increment,,,,Operational
06,Meteorological or oceanographic sequences common to oceanographic observations,306020,"(Tide report identification, water level checks, time period or displacement, time increment)",,001075,Tide station identification,Alphanumeric,(see Note 2),69,Deprecated
06,Meteorological or oceanographic sequences common to oceanographic observations,306020,"(Tide report identification, water level checks, time period or displacement, time increment)",,301011,"Year, month, day",,(see Note 2),69,Deprecated
06,Meteorological or oceanographic sequences common to oceanographic observations,306020,"(Tide report identification, water level checks, time period or displacement, time increment)",,301012,"Hour, minute",,(see Note 2),69,Deprecated
06,Meteorological or oceanographic sequences common to oceanographic observations,306020,"(Tide report identification, water level checks, time period or displacement, time increment)",,022042,Sea/water temperature,,(see Note 2),69,Deprecated
06,Meteorological or oceanographic sequences common to oceanographic observations,306020,"(Tide report identification, water level checks, time period or displacement, time increment)",,022120,Tide station automated water level check,,(see Note 2),69,Deprecated
06,Meteorological or oceanographic sequences common to oceanographic observations,306020,"(Tide report identification, water level checks, time period or displacement, time increment)",,022121,Tide station manual water level check,,(see Note 2),69,Deprecated
06,Meteorological or oceanographic sequences common to oceanographic observations,306020,"(Tide report identification, water level checks, time period or displacement, time increment)",,004075,Short time period or displacement,,(see Note 2),69,Deprecated
06,Meteorological or oceanographic sequences common to oceanographic observations,306020,"(Tide report identification, water level checks, time period or displacement, time increment)",,004065,Short time increment,,(see Note 2),69,Deprecated
06,Meteorological or oceanographic sequences common to oceanographic observations,306021,(Meteorological parameters in tide station),,001075,Tide station identification,Alphanumeric,,,Operational
06,Meteorological or oceanographic sequences common to oceanographic observations,306021,(Meteorological parameters in tide station),,301011,"Year, month, day",,,,Operational
06,Meteorological or oceanographic sequences common to oceanographic observations,306021,(Meteorological parameters in tide station),,301012,"Hour, minute",,,,Operational
06,Meteorological or oceanographic sequences common to oceanographic observations,306021,(Meteorological parameters in tide station),,022122,Tide station automated meteorological data check,,,,Operational
06,Meteorological or oceanographic sequences common to oceanographic observations,306021,(Meteorological parameters in tide station),,022123,Tide station manual meteorological data check,,,,Operational
06,Meteorological or oceanographic sequences common to oceanographic observations,306021,(Meteorological parameters in tide station),,012001,Temperature/air temperature,,,,Operational
06,Meteorological or oceanographic sequences common to oceanographic observations,306021,(Meteorological parameters in tide station),,303002,Wind at pressure level,,,,Operational
06,Meteorological or oceanographic sequences common to oceanographic observations,306022,(Tidal elevation),,001075,Tide station identification,,,,Operational
06,Meteorological or oceanographic sequences common to oceanographic observations,306022,(Tidal elevation),,301011,"Year, month, day",,,,Operational
06,Meteorological or oceanographic sequences common to oceanographic observations,306022,(Tidal elevation),,301012,"Hour, minute",,,,Operational
06,Meteorological or oceanographic sequences common to oceanographic observations,306022,(Tidal elevation),,022038,Tidal elevation with respect to local chart datum,,,,Operational
06,Meteorological or oceanographic sequences common to oceanographic observations,306022,(Tidal elevation),,022039,Meteorological residual tidal elevation (surge or offset),,,,Operational
06,Meteorological or oceanographic sequences common to oceanographic observations,306023,,,001015,Station or site name,,,,Operational
06,Meteorological or oceanographic sequences common to oceanographic observations,306023,,,301023,Latitude/longitude (coarse accuracy),,,,Operational
06,Meteorological or oceanographic sequences common to oceanographic observations,306023,,,301011,"Year, month, day",,,,Operational
06,Meteorological or oceanographic sequences common to oceanographic observations,306023,,,301012,"Hour, minute",,,,Operational
06,Meteorological or oceanographic sequences common to oceanographic observations,306023,,,022038,Tidal elevation with respect to local chart datum,,,,Operational
06,Meteorological or oceanographic sequences common to oceanographic observations,306023,,,022039,Meteorological residual tidal elevation (surge or offset),,,,Operational
06,Meteorological or oceanographic sequences common to oceanographic observations,306023,,,022120,Tide station automated water level check,,,,Operational
06,Meteorological or oceanographic sequences common to oceanographic observations,306023,,,022121,Tide station manual water level check,,,,Operational
06,Meteorological or oceanographic sequences common to oceanographic observations,306024,(Tide elevation series),,306020,"Tide report identification, water level checks, time period or displacement, time increment",,(see Note 3),68,Deprecated
06,Meteorological or oceanographic sequences common to oceanographic observations,306024,(Tide elevation series),,102006,Replicate 2 descriptors 6 times,,(see Note 3),68,Deprecated
06,Meteorological or oceanographic sequences common to oceanographic observations,306024,(Tide elevation series),,022038,Tidal elevation with respect to local chart datum,,(see Note 3),68,Deprecated
06,Meteorological or oceanographic sequences common to oceanographic observations,306024,(Tide elevation series),,022039,Meteorological residual tidal elevation (surge or offset),,(see Note 3),68,Deprecated
06,Meteorological or oceanographic sequences common to oceanographic observations,306025,(Tide elevation series),,306019,"Tide report identification, water level checks, time increments",,,,Operational
06,Meteorological or oceanographic sequences common to oceanographic observations,306025,(Tide elevation series),,102006,Replicate 2 descriptors 6 times,,,,Operational
06,Meteorological or oceanographic sequences common to oceanographic observations,306025,(Tide elevation series),,022038,Tidal elevation with respect to local chart datum,,,,Operational
06,Meteorological or oceanographic sequences common to oceanographic observations,306025,(Tide elevation series),,022039,Meteorological residual tidal elevation (surge or offset),,,,Operational
06,Meteorological or oceanographic sequences common to oceanographic observations,306027,"(Sequence for representation of DART buoy identification, transmitter ID, type of tsunameter and the time the message is transmitted to the ground system)",,001005,Buoy/platform identifier,,,,Operational
06,Meteorological or oceanographic sequences common to oceanographic observations,306027,"(Sequence for representation of DART buoy identification, transmitter ID, type of tsunameter and the time the message is transmitted to the ground system)",,001052,Platform transmitter ID,,,,Operational
06,Meteorological or oceanographic sequences common to oceanographic observations,306027,"(Sequence for representation of DART buoy identification, transmitter ID, type of tsunameter and the time the message is transmitted to the ground system)",,002047,Deep-ocean tsunameter type,,,,Operational
06,Meteorological or oceanographic sequences common to oceanographic observations,306027,"(Sequence for representation of DART buoy identification, transmitter ID, type of tsunameter and the time the message is transmitted to the ground system)",,301011,"Year, month, day",Time the message is transmitted to the ground system,,,Operational
06,Meteorological or oceanographic sequences common to oceanographic observations,306027,"(Sequence for representation of DART buoy identification, transmitter ID, type of tsunameter and the time the message is transmitted to the ground system)",,301013,"Hour, minute, second",,,,Operational
06,Meteorological or oceanographic sequences common to oceanographic observations,306028,(Sequence for representation of time of observation and DART buoy position daily report),,306027,"Sequence for representation of DART buoy identification, transmitter ID, type of tsunameter and the time the message is transmitted to the ground system",,,,Operational
06,Meteorological or oceanographic sequences common to oceanographic observations,306028,(Sequence for representation of time of observation and DART buoy position daily report),,301011,"Year, month, day",Observation time,,,Operational
06,Meteorological or oceanographic sequences common to oceanographic observations,306028,(Sequence for representation of time of observation and DART buoy position daily report),,301013,"Hour, minute, second",,,,Operational
06,Meteorological or oceanographic sequences common to oceanographic observations,306028,(Sequence for representation of time of observation and DART buoy position daily report),,301021,Latitude/longitude (high accuracy),,,,Operational
06,Meteorological or oceanographic sequences common to oceanographic observations,306029,(Sequence for representation of tsunameter sampling information for water column heights in the time series report),,025170,Sampling interval (time),Seconds,,,Operational
06,Meteorological or oceanographic sequences common to oceanographic observations,306029,(Sequence for representation of tsunameter sampling information for water column heights in the time series report),,025171,Sample averaging period,Seconds,,,Operational
06,Meteorological or oceanographic sequences common to oceanographic observations,306029,(Sequence for representation of tsunameter sampling information for water column heights in the time series report),,025172,Number of samples,,,,Operational
06,Meteorological or oceanographic sequences common to oceanographic observations,306030,(Sequence for representation of DART buoy standard hourly report),,306027,"Sequence for representation of DART buoy identification, transmitter ID, type of tsunameter and the time the message is transmitted to the ground system",,,,Operational
06,Meteorological or oceanographic sequences common to oceanographic observations,306030,(Sequence for representation of DART buoy standard hourly report),,306029,Sequence for representation of tsunameter sampling information for water column heights in the time series report,,,,Operational
06,Meteorological or oceanographic sequences common to oceanographic observations,306030,(Sequence for representation of DART buoy standard hourly report),,111000,Delayed replication of 11 descriptors,,,,Operational
06,Meteorological or oceanographic sequences common to oceanographic observations,306030,(Sequence for representation of DART buoy standard hourly report),,031001,Delayed descriptor replication factor,,,,Operational
06,Meteorological or oceanographic sequences common to oceanographic observations,306030,(Sequence for representation of DART buoy standard hourly report),,033002,Quality information,Message status,,,Operational
06,Meteorological or oceanographic sequences common to oceanographic observations,306030,(Sequence for representation of DART buoy standard hourly report),,301011,"Year, month, day",Reference date/time for the time series,,,Operational
06,Meteorological or oceanographic sequences common to oceanographic observations,306030,(Sequence for representation of DART buoy standard hourly report),,301013,"Hour, minute, second",,,,Operational
06,Meteorological or oceanographic sequences common to oceanographic observations,306030,(Sequence for representation of DART buoy standard hourly report),,025025,Battery voltage,BPR CPU,,,Operational
06,Meteorological or oceanographic sequences common to oceanographic observations,306030,(Sequence for representation of DART buoy standard hourly report),,025025,Battery voltage,Acoustic modem DSP,,,Operational
06,Meteorological or oceanographic sequences common to oceanographic observations,306030,(Sequence for representation of DART buoy standard hourly report),,025026,Battery voltage (large range),Acoustic modem,,,Operational
06,Meteorological or oceanographic sequences common to oceanographic observations,306030,(Sequence for representation of DART buoy standard hourly report),,022185,BPR transmission count,,,,Operational
06,Meteorological or oceanographic sequences common to oceanographic observations,306030,(Sequence for representation of DART buoy standard hourly report),,004015,Time increment,Added to reset the reference time,,,Operational
06,Meteorological or oceanographic sequences common to oceanographic observations,306030,(Sequence for representation of DART buoy standard hourly report),,004065,Short time increment,Added to each data value in the time series,,,Operational
06,Meteorological or oceanographic sequences common to oceanographic observations,306030,(Sequence for representation of DART buoy standard hourly report),,101004,Replicate 1 descriptor 4 times,,,,Operational
06,Meteorological or oceanographic sequences common to oceanographic observations,306030,(Sequence for representation of DART buoy standard hourly report),,022182,Water column height,,,,Operational
06,Meteorological or oceanographic sequences common to oceanographic observations,306031,(Sequence for representation of DART buoy tsunami event reports and extended tsunami event reports),,306027,"Sequence for representation of DART buoy identification, transmitter ID, type of tsunameter and the time the message is transmitted to the ground system",,,,Operational
06,Meteorological or oceanographic sequences common to oceanographic observations,306031,(Sequence for representation of DART buoy tsunami event reports and extended tsunami event reports),,306029,Sequence for representation of tsunameter sampling information for water column heights in the time series report,,,,Operational
06,Meteorological or oceanographic sequences common to oceanographic observations,306031,(Sequence for representation of DART buoy tsunami event reports and extended tsunami event reports),,001053,Tsunameter report sequence number triggered by a tsunami event,,,,Operational
06,Meteorological or oceanographic sequences common to oceanographic observations,306031,(Sequence for representation of DART buoy tsunami event reports and extended tsunami event reports),,033002,Quality information,Message status,,,Operational
06,Meteorological or oceanographic sequences common to oceanographic observations,306031,(Sequence for representation of DART buoy tsunami event reports and extended tsunami event reports),,301011,"Year, month, day",Time when tsunami is detected,,,Operational
