"No","Categry","CategoryOfSequences_en","FXY1","Title_en","SubTitle_en","FXY2","ElementName_en","ExistingElementName_en","Note_en","Status"
101.00,"05","Meteorological or hydrological sequences common to hydrological observations","D05018","(MEDHYCOS report with meteorology and water quality data)",,"D05017","(Water quality measurement)","Water quality measurement",,"Operational"
102.00,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06001",,,"B02032","Indicator for digitization","Indicator for digitization",,"Operational"
103.00,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06001",,,"R02000","Delayed replication descriptor","Delayed replication of 2 descriptors",,"Operational"
104.00,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06001",,,"B07062","Depth below sea/water surface","Depth below sea surface",,"Operational"
105.00,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06001",,,"B22042","Sea/water temperature","Subsurface sea temperature",,"Operational"
106.00,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06004",,,"B02032","Indicator for digitization","Indicator for digitization",,"Operational"
107.00,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06004",,,"B02033","Method of salinity/depth measurement","Method of salinity/depth measurement",,"Operational"
108.00,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06004",,,"R03000","Delayed replication descriptor","Delayed replication of 3 descriptors",,"Operational"
109.00,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06004",,,"B07062","Depth below sea/water surface","Depth below sea surface",,"Operational"
110.00,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06004",,,"B22043","Sea/water temperature","Subsurface sea temperature",,"Operational"
111.00,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06004",,,"B22062","Salinity","Salinity",,"Operational"
112.00,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06005",,,"B02031","Duration and time of current measurement","Method of current measurement",,"Operational"
113.00,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06005",,,"R03000","Delayed replication descriptor","Delayed replication of 3 descriptors",,"Operational"
114.00,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06005",,,"B07062","Depth below sea/water surface","Depth below sea surface",,"Operational"
115.00,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06005",,,"B22004","Direction of current","Direction of current",,"Operational"
116.00,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06005",,,"B22031","Speed of current","Speed of current",,"Operational"
117.00,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06019","(Tide report identification, water level checks, time increments)",,"B01075","Tide station identification","Tide station alphanumeric identification",,"Operational"
118.00,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06019","(Tide report identification, water level checks, time increments)",,"D01011",,"Year, month, day",,"Operational"
119.00,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06019","(Tide report identification, water level checks, time increments)",,"D01012",,"Hour, minute",,"Operational"
120.00,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06019","(Tide report identification, water level checks, time increments)",,"B22042","Sea/water temperature","Sea/water temperature",,"Operational"
121.00,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06019","(Tide report identification, water level checks, time increments)",,"B22120","Tide station automated water level check","Tide station automated water level check",,"Operational"
122.00,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06019","(Tide report identification, water level checks, time increments)",,"B22121","Tide station manual water level check","Tide station manual water level check",,"Operational"
123.00,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06019","(Tide report identification, water level checks, time increments)",,"C01002","Data width replacement","Change data width to 2 characters",,"Operational"
124.00,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06019","(Tide report identification, water level checks, time increments)",,"B04015","Time increment","Time increment",,"Operational"
125.00,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06019","(Tide report identification, water level checks, time increments)",,"B04065","Short time increment","Short time increment",,"Operational"
126.00,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06020","(Tide report identification, water level checks, time period or displacement, time increment)",,"B01075","Tide station identification","Tide station alphanumeric identification","(see Note 1)","Operational"
127.00,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06020","(Tide report identification, water level checks, time period or displacement, time increment)",,"D01011",,"Year, month, day",,"Operational"
128.00,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06020","(Tide report identification, water level checks, time period or displacement, time increment)",,"D01012",,"Hour, minute",,"Operational"
129.00,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06020","(Tide report identification, water level checks, time period or displacement, time increment)",,"B22042","Sea/water temperature","Sea/water temperature",,"Operational"
130.00,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06020","(Tide report identification, water level checks, time period or displacement, time increment)",,"B22120","Tide station automated water level check","Tide station automated water level check",,"Operational"
131.00,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06020","(Tide report identification, water level checks, time period or displacement, time increment)",,"B22121","Tide station manual water level check","Tide station manual water level check",,"Operational"
132.00,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06020","(Tide report identification, water level checks, time period or displacement, time increment)",,"B04075","Short time period or displacement","Short time period or displacement",,"Operational"
133.00,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06020","(Tide report identification, water level checks, time period or displacement, time increment)",,"B04065","Short time increment","Short time increment",,"Operational"
134.00,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06021","(Meteorological parameters in tide station)",,"B01075","Tide station identification","Tide station alphanumeric identification",,"Operational"
135.00,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06021","(Meteorological parameters in tide station)",,"D01011",,"Year, month, day",,"Operational"
136.00,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06021","(Meteorological parameters in tide station)",,"D01012",,"Hour, minute",,"Operational"
137.00,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06021","(Meteorological parameters in tide station)",,"B22122","Tide station automated meteorological data check","Tide station automated meteorological data check",,"Operational"
138.00,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06021","(Meteorological parameters in tide station)",,"B22123","Tide station manual meteorological data check","Tide station manual meteorological data check",,"Operational"
139.00,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06021","(Meteorological parameters in tide station)",,"B12001","Temperature/air temperature","Air temperature",,"Operational"
140.00,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06021","(Meteorological parameters in tide station)",,"D03002",,"Pressure, wind direction, wind speed",,"Operational"
141.00,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06022","(Tidal elevation)",,"B01075","Tide station identification","Tide station identification",,"Operational"
142.00,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06022","(Tidal elevation)",,"D01011",,"Year, month, day",,"Operational"
143.00,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06022","(Tidal elevation)",,"D01012",,"Hour, minute",,"Operational"
144.00,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06022","(Tidal elevation)",,"B22038","Tidal elevation with respect to local chart datum","Tidal elevation with respect to local chart datum",,"Operational"
145.00,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06022","(Tidal elevation)",,"B22039","Meteorological residual tidal elevation (surge or offset)","Meteorological residual tidal elevation (surge or offset)",,"Operational"
146.00,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06024","(Tide elevation series)",,"D06020","(Tide report identification, water level checks, time period or displacement, time increment) (see Note 1)","Tide report identification, water level checks, time period or displacement, time increment","(see Note 2)","Operational"
147.00,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06024","(Tide elevation series)",,"R02006","Replication descriptor","Replicate 2 descriptors 6 times",,"Operational"
148.00,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06024","(Tide elevation series)",,"B22038","Tidal elevation with respect to local chart datum","Tidal elevation with respect to local chart datum",,"Operational"
149.00,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06024","(Tide elevation series)",,"B22039","Meteorological residual tidal elevation (surge or offset)","Meteorological residual tidal elevation (surge or offset)",,"Operational"
150.00,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06025","(Tide elevation series)",,"D06019","(Tide report identification, water level checks, time increments)","Tide report identification, water level checks, time increments",,"Operational"
151.00,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06025","(Tide elevation series)",,"R02006","Replication descriptor","Replicate 2 descriptors 6 times",,"Operational"
152.00,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06025","(Tide elevation series)",,"B22038","Tidal elevation with respect to local chart datum","Tidal elevation with respect to local chart datum",,"Operational"
153.00,"06","Meteorological or oceanographic sequences common to oceanographic observations","D06025","(Tide elevation series)",,"B22039","Meteorological residual tidal elevation (surge or offset)","Meteorological residual tidal elevation (surge or offset)",,"Operational"
175.00,"07","Surface report sequences (land)","D07003","(Low altitude station)",,"D07001",,"Location (high accuracy) and basic report",,"Operational"
176.00,"07","Surface report sequences (land)","D07003","(Low altitude station)",,"R01000","Delayed replication descriptor","Delayed replication of 1 descriptor",,"Operational"
177.00,"07","Surface report sequences (land)","D07003","(Low altitude station)",,"D02005",,"Cloud layer information",,"Operational"
178.00,"07","Surface report sequences (land)","D07004","(Low altitude station)",,"D07002",,"Location (coarse accuracy) and basic report",,"Operational"
179.00,"07","Surface report sequences (land)","D07004","(Low altitude station)",,"R01000","Delayed replication descriptor","Delayed replication of 1 descriptor",,"Operational"
180.00,"07","Surface report sequences (land)","D07004","(Low altitude station)",,"D02005",,"Cloud layer information",,"Operational"
181.00,"07","Surface report sequences (land)","D07012","(DvVVVV)",,"R03000","Delayed replication descriptor","Delayed replication of 3 descriptors (up to 3)",,"Operational"
182.00,"07","Surface report sequences (land)","D07012","(DvVVVV)",,"B08023","First-order statistics","First-order statistics",,"Operational"
183.00,"07","Surface report sequences (land)","D07012","(DvVVVV)",,"B05021","Bearing or azimuth","Direction of visibility observed - Dv",,"Operational"
184.00,"07","Surface report sequences (land)","D07012","(DvVVVV)",,"B20001","Horizontal visibility","Horizontal visibility - VVVV",,"Operational"
185.00,"07","Surface report sequences (land)","D07013","(DRDRVRVRVRVR)",,"R06000","Delayed replication descriptor","Delayed replication of 6 descriptors (up to 4)",,"Operational"
186.00,"07","Surface report sequences (land)","D07013","(DRDRVRVRVRVR)",,"B01064","Runway designator","Runway designator - DRDR",,"Operational"
187.00,"07","Surface report sequences (land)","D07013","(DRDRVRVRVRVR)",,"B08014","Qualifier for runway visual range","Qualification for runway visual range",,"Operational"
188.00,"07","Surface report sequences (land)","D07013","(DRDRVRVRVRVR)",,"B20061","Runway visual range (RVR)","Runway visual range - VRVRVRVR",,"Operational"
189.00,"07","Surface report sequences (land)","D07013","(DRDRVRVRVRVR)",,"B08014","Qualifier for runway visual range","Qualification for runway visual range",,"Operational"
190.00,"07","Surface report sequences (land)","D07013","(DRDRVRVRVRVR)",,"B20061","Runway visual range (RVR)","Runway visual range - VRVRVRVR",,"Operational"
191.00,"07","Surface report sequences (land)","D07013","(DRDRVRVRVRVR)",,"B20018","Tendency of runway visual range","Tendency of runway visual range - i",,"Operational"
192.00,"07","Surface report sequences (land)","D07014","(w´w´)",,"R01000","Delayed replication descriptor","Delayed replication of 1 descriptor (up to 3)",,"Operational"
193.00,"07","Surface report sequences (land)","D07014","(w´w´)",,"B20019","Significant present or forecast weather","Significant present weather - w´w´",,"Operational"
194.00,"07","Surface report sequences (land)","D07015","(Clouds group(s))",,"R01000","Delayed replication descriptor","Delayed replication of 1 descriptor",,"Operational"
195.00,"07","Surface report sequences (land)","D07015","(Clouds group(s))",,"D02005",,"(NsNsNs, CC, hshshs)",,"Operational"
196.00,"07","Surface report sequences (land)","D07015","(Clouds group(s))",,"B20002","Vertical visibility","Vertical visibility - VVhshshs",,"Operational"
197.00,"07","Surface report sequences (land)","D07016","(REw´w´)",,"R01000","Delayed replication descriptor","Delayed replication of 1 descriptor (up to 3)",,"Operational"
198.00,"07","Surface report sequences (land)","D07016","(REw´w´)",,"B20020","Significant recent weather phenomena","Significant recent weather phenomena - REw´w´",,"Operational"
199.00,"07","Surface report sequences (land)","D07017","(Wind shear on runway(s))",,"R01000","Delayed replication descriptor","Delayed replication of 1 descriptor",,"Operational"
200.00,"07","Surface report sequences (land)","D07017","(Wind shear on runway(s))",,"B11070","Designator of the runway affected by wind shear (including ALL)","Runway designator of the runway affected by wind shear (including ALL) - WS RWYDRDR",,"Operational"
201.00,"07","Surface report sequences (land)","D07018","(Trend-type landing forecast)",,"B08016","Change qualifier of a trend-type forecast or an aerodrome forecast","Change qualifier of a trend-type forecast or an aerodrome forecast - TTTTT",,"Operational"
