Category,CategoryOfSequences_es,FXY1,Title_es,,FXY2,ElementName_es,ElementDescription_es,Note_es,noteIDs,Status
02,Secuencias meteorológicas comunes a los datos de superficie,302031,(Información sobre la presión),,010009,Altura geopotencial,Nivel estándar,,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302032,(Datos de temperatura y humedad),,007032,Altura del sensor sobre el suelo local (o la cubierta de la plataforma marina),Medición de la temperatura y la humedad,,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302032,(Datos de temperatura y humedad),,012101,Temperatura/temperatura del aire,Escala: 2,,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302032,(Datos de temperatura y humedad),,012103,Temperatura del punto de rocío,Escala: 2,,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302032,(Datos de temperatura y humedad),,013003,Humedad relativa,,,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302033,(Datos de visibilidad),,007032,Altura del sensor sobre el suelo local (o la cubierta de la plataforma marina),Medición de la visibilidad,,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302033,(Datos de visibilidad),,020001,Visibilidad horizontal,,,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302034,(Precipitación en las 24 horas anteriores),,007032,Altura del sensor sobre el suelo local (o la cubierta de la plataforma marina),Medición de la precipitación,,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302034,(Precipitación en las 24 horas anteriores),,013023,Precipitación total en las 24 horas anteriores,,,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302035,(Datos sinópticos básicos “instantáneos”),,302032,Datos de temperatura y humedad,,,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302035,(Datos sinópticos básicos “instantáneos”),,302033,Datos de visibilidad,,,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302035,(Datos sinópticos básicos “instantáneos”),,302034,Precipitación en las 24 horas anteriores,,,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302035,(Datos sinópticos básicos “instantáneos”),,007032,Altura del sensor sobre el suelo local (o la cubierta de la plataforma marina),Fijar en faltante (anular),,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302035,(Datos sinópticos básicos “instantáneos”),,302004,Información general sobre nubes,,,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302035,(Datos sinópticos básicos “instantáneos”),,101000,Repetición diferida de 1 descriptor,,,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302035,(Datos sinópticos básicos “instantáneos”),,031001,Factor de repetición diferida del descriptor,,,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302035,(Datos sinópticos básicos “instantáneos”),,302005,Capa de nubes,Capa o masa nubosa individual,,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302036,(Nubes con bases por debajo del nivel de la estación),,105000,Repetición diferida de 5 descriptores,,,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302036,(Nubes con bases por debajo del nivel de la estación),,031001,Factor de repetición diferida del descriptor,,,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302036,(Nubes con bases por debajo del nivel de la estación),,008002,Significación vertical (observaciones en superficie),,,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302036,(Nubes con bases por debajo del nivel de la estación),,020011,Nubosidad,,,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302036,(Nubes con bases por debajo del nivel de la estación),,020012,Tipo de nubes,,,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302036,(Nubes con bases por debajo del nivel de la estación),,020014,Altura de la cima de las nubes,,,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302036,(Nubes con bases por debajo del nivel de la estación),,020017,Descripción de la cima de las nubes,,,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302037,"(Estado del suelo, espesor de la nieve, temperatura mínima del suelo)",,020062,Estado del suelo (con o sin nieve),,,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302037,"(Estado del suelo, espesor de la nieve, temperatura mínima del suelo)",,013013,Espesor total de la nieve,,,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302037,"(Estado del suelo, espesor de la nieve, temperatura mínima del suelo)",,012113,Temperatura mínima del suelo en las 12 horas anteriores,Escala: 2,,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302038,(Tiempo presente y pasado),,020003,Tiempo presente,,,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302038,(Tiempo presente y pasado),,004024,Período o desplazamiento de tiempo,Horas,,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302038,(Tiempo presente y pasado),,020004,Tiempo pasado (1),,,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302038,(Tiempo presente y pasado),,020005,Tiempo pasado (2),,,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302039,(Tiempo presente y pasado),,004024,(Datos de insolación (de 1 hora a períodos de 24 horas)) Período o desplazamiento de tiempo,Horas,,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302039,(Tiempo presente y pasado),,014031,Insolación total,,,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302040,(Medición de la precipitación),,007032,Altura del sensor sobre el suelo local (o la cubierta de la plataforma marina),Medición de la precipitación,,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302040,(Medición de la precipitación),,102002,Repetir 2 descriptores 2 veces,,,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302040,(Medición de la precipitación),,004024,Período o desplazamiento de tiempo,Horas,,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302040,(Medición de la precipitación),,013011,Precipitación total/equivalente total en agua,,,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302041,(Datos de temperaturas extremas),,007032,Altura del sensor sobre el suelo local (o la cubierta de la plataforma marina),Medición de la temperatura,,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302041,(Datos de temperaturas extremas),,004024,Período o desplazamiento de tiempo,,,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302041,(Datos de temperaturas extremas),,004024,Período o desplazamiento de tiempo,,,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302041,(véanse las notas 1) y 2),,012111,Temperatura máxima en altura y en un período,Escala: 2,,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302041,(véanse las notas 1) y 2),,004024,Período o desplazamiento de tiempo,,,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302041,(véanse las notas 1) y 2),,004024,Período o desplazamiento de tiempo,,,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302041,(véase la nota 2),,012112,Temperatura mínima en altura y en un período especificado,Escala: 2,,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302042,(Datos de viento),,007032,Altura del sensor sobre el suelo local (o la cubierta de la plataforma marina),Medición del viento,,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302042,(Datos de viento),,002002,Tipo de instrumentos para la medición del viento,,,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302042,(Datos de viento),,008021,Significación temporal,= 2 promediado en el tiempo,,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302042,(Datos de viento),,004025,Período o desplazamiento de tiempo,"= 10 minutos, o número de minutos tras un cambio significativo del viento",,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302042,(Datos de viento),,011001,Dirección del viento,,,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302042,(Datos de viento),,011002,Velocidad del viento,,,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302042,(Datos de viento),,008021,Significación temporal,Valor faltante,,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302042,(Datos de viento),,103002,Repetir 3 descriptores 2 veces,,,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302042,(Datos de viento),,004025,Período o desplazamiento de tiempo,Minutos,,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302042,(Datos de viento),,011043,Dirección de las ráfagas máximas de viento,,,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302042,(Datos de viento),,011041,Velocidad de las ráfagas máximas de viento,,,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302043,(Datos sinópticos básicos del “período”),,302038,Tiempo presente y pasado,,,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302043,(Datos sinópticos básicos del “período”),,101002,Replicar 1 descriptor 2 veces,,,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302043,(Datos sinópticos básicos del “período”),,302039,Datos de insolación (de 1 hora a períodos de 24 horas),,,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302043,(Datos sinópticos básicos del “período”),,302040,Medición de la precipitación,,,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302043,(Datos sinópticos básicos del “período”),,302041,Datos de temperaturas extremas,,,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302043,(Datos sinópticos básicos del “período”),,302042,Datos del viento,,,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302043,(Datos sinópticos básicos del “período”),,007032,Altura del sensor sobre el suelo local (o la cubierta de la plataforma marina),Fijar en faltante (anular),,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302044,(Datos de evaporación),,004024,Período o desplazamiento de tiempo,Horas,,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302044,(Datos de evaporación),,002004,Tipo de instrumento utilizado para medir la evaporación o tipo de cultivo para el que se notifica la evapotranspiración,,,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302044,(Datos de evaporación),,013033,Evaporación/evapotranspiración,,,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302045,(Datos de radiación (de 1 hora a períodos de 24 horas)),,004024,Período o desplazamiento de tiempo,Horas,,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302045,(Datos de radiación (de 1 hora a períodos de 24 horas)),,014002,"Radiación de onda larga, integrada en un período especificado",,,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302045,(Datos de radiación (de 1 hora a períodos de 24 horas)),,014004,"Radiación de onda corta, integrada en un período especificado",,,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302045,(Datos de radiación (de 1 hora a períodos de 24 horas)),,014016,Radiación neta integrada en un período especificado,,,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302045,(Datos de radiación (de 1 hora a períodos de 24 horas)),,014028,"Radiación solar global (gran exactitud), integrada en un período especificado",,,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302045,(Datos de radiación (de 1 hora a períodos de 24 horas)),,014029,"Radiación solar difusa (gran exactitud), integrada en un período especificado",,,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302045,(Datos de radiación (de 1 hora a períodos de 24 horas)),,014030,"Radiación solar directa (gran exactitud), integrada en un período especificado",,,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302046,(Cambio de temperatura),,004024,Período o desplazamiento de tiempo,,,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302046,(Cambio de temperatura),,004024,Período o desplazamiento de tiempo (véase la nota 3),,,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302046,(Cambio de temperatura),,012049,Cambio de temperatura en un período especificado,,,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302047,(Dirección de la deriva de las nubes),,102003,Replicar 2 descriptores 3 veces,,,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302047,(Dirección de la deriva de las nubes),,008002,Significación vertical (observaciones en superficie),,,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302047,(Dirección de la deriva de las nubes),,020054,Dirección verdadera desde donde se desplaza un fenómeno o nubes o en la cual se observan,,,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302048,(Dirección y elevación de las nubes),,005021,Rumbo o azimut,,,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302048,(Dirección y elevación de las nubes),,007021,Elevación,Ángulo de elevación,,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302048,(Dirección y elevación de las nubes),,020012,Tipo de nube,,,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302048,(Dirección y elevación de las nubes),,005021,Rumbo o azimut,Fijar en faltante (anular),,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302048,(Dirección y elevación de las nubes),,007021,Elevación,Fijar en faltante (anular),,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302049,(Información sobre nubes notificada con sondeos verticales),,008002,Significación vertical (observaciones en superficie),,,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302049,(Información sobre nubes notificada con sondeos verticales),,020011,Nubosidad,Nubes bajas o medias,,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302049,(Información sobre nubes notificada con sondeos verticales),,020013,Altura de la base de las nubes,h,,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302049,(Información sobre nubes notificada con sondeos verticales),,020012,Tipo de nubes,Nubes bajas CL,,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302049,(Información sobre nubes notificada con sondeos verticales),,020012,Tipo de nubes,Nubes medias CM,,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302049,(Información sobre nubes notificada con sondeos verticales),,020012,Tipo de nubes,Nubes altas CH,,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302049,(Información sobre nubes notificada con sondeos verticales),,008002,Significación vertical (observaciones en superficie),Fijar en faltante,,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302050,(Observación de radiosonda en superficie),,008041,Significación de datos,= 5 desplazamiento de observación de superficie con respecto al punto de lanzamiento,,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302050,(Observación de radiosonda en superficie),,005021,Rumbo o azimut,,,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302050,(Observación de radiosonda en superficie),,007005,Incremento de altura,,,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302050,(Observación de radiosonda en superficie),,202130,Cambio escala,,,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302050,(Observación de radiosonda en superficie),,006021,Distancia,,,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302050,(Observación de radiosonda en superficie),,202000,Cambio de escala,Anular,,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302050,(Observación de radiosonda en superficie),,008041,Significación de datos,= 4 observación en superficie,,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302050,(Observación de radiosonda en superficie),,201131,Cambio de anchura de datos,,,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302050,(Observación de radiosonda en superficie),,202129,Cambio de escala,,,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302050,(Observación de radiosonda en superficie),,002115,Tipo de equipo de observación en superficie,,,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302050,(Observación de radiosonda en superficie),,010004,Presión,,,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302050,(Observación de radiosonda en superficie),,002115,Tipo de equipo de observación en superficie,,,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302050,(Observación de radiosonda en superficie),,013003,Humedad relativa,,,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302050,(Observación de radiosonda en superficie),,202000,Cambio de escala,Anular,,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302050,(Observación de radiosonda en superficie),,201000,Cambio de anchura de datos,Anular,,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302050,(Observación de radiosonda en superficie),,002115,Tipo de equipo de observación en superficie,,,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302050,(Observación de radiosonda en superficie),,011001,Dirección del viento,,,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302050,(Observación de radiosonda en superficie),,011002,Velocidad del viento,,,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302050,(Observación de radiosonda en superficie),,002115,Tipo de equipo de observación en superficie,,,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302050,(Observación de radiosonda en superficie),,102002,Repetir 2 descriptores 2 veces,,,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302050,(Observación de radiosonda en superficie),,012101,Temperatura/temperatura del aire,,,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302050,(Observación de radiosonda en superficie),,004024,Período o desplazamiento de tiempo,Horas,,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302050,(Observación de radiosonda en superficie),,002115,Tipo de equipo de observación en superficie,,,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302050,(Observación de radiosonda en superficie),,012103,Temperatura del punto de rocío,,,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302050,(Observación de radiosonda en superficie),,012102,Temperatura de bulbo húmedo,,,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302050,(Observación de radiosonda en superficie),,101003,Repetir 1 descriptor 3 veces,,,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302050,(Observación de radiosonda en superficie),,020012,Tipo de nubes,,,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302050,(Observación de radiosonda en superficie),,020011,Nubosidad,,,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302050,(Observación de radiosonda en superficie),,020013,Altura de la base de las nubes,,,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302050,(Observación de radiosonda en superficie),,101002,Repetir 1 descriptor 2 veces,,,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302050,(Observación de radiosonda en superficie),,020003,Tiempo presente,,,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302051,(Observación de radiosonda en superficie),,010004,Presión,,,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302051,(Observación de radiosonda en superficie),,010051,Presión reducida al nivel medio del mar,,,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302051,(Observación de radiosonda en superficie),,007004,Presión,Posición vertical,,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302051,(Observación de radiosonda en superficie),,010003,Geopotencial,,,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302051,(Observación de radiosonda en superficie),,012004,Temperatura del aire a 2 m,,,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302051,(Observación de radiosonda en superficie),,012051,Desviación típica de la temperatura,,,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302051,(Observación de radiosonda en superficie),,012016,"Temperatura máxima a 2 m, en el curso de las 24 horas anteriores",,,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302051,(Observación de radiosonda en superficie),,012017,"Temperatura mínima a 2 m, en el curso de las 24 horas anteriores",,,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302051,(Observación de radiosonda en superficie),,013004,Presión del vapor,,,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302051,(Observación de radiosonda en superficie),,102004,Repetir 2 descriptores 4 veces,,,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302051,(Observación de radiosonda en superficie),,008051,Calificador del número de valores faltantes en el cálculo de estadísticas,,,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302051,(Observación de radiosonda en superficie),,008020,Número total de valores faltantes (con relación a la acumulación o el promedio),,,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302052,(Datos de temperatura y humedad desde buques),,007032,Altura del sensor sobre el suelo local (o la cubierta de la plataforma marina),Medición de la temperatura y la humedad,,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302052,(Datos de temperatura y humedad desde buques),,007033,Altura del sensor sobre la superficie del agua,Medición de la temperatura,,,Operational
02,Secuencias meteorológicas comunes a los datos de superficie,302052,(Datos de temperatura y humedad desde buques),,012101,Temperatura/temperatura del aire,Escala: 2,,,Operational
