row #,class,FXY,element name,note (github),notation (manual),note (manual),note applies to,my comment
1026,01,001042,Absolute platform velocity - second component,n/a,8,"Left handed x, y and z axes have been chosen for descriptors 0 01 041, 0 01 042 and 0 01 043.",element,
1027,01,001043,Absolute platform velocity - third component,n/a,8,"Left handed x, y and z axes have been chosen for descriptors 0 01 041, 0 01 042 and 0 01 043.",element,
1028,01,001012,Direction of motion of moving observing platform,n/a,14,Stationary position of ship shall be reported by 0 01 012 set to 0 and 0 01 013 set to 0. Course of ship unknown (Ds = 9) shall be reported by 0 01 012 set to 509.,element,
1029,01,001013,Speed of motion of moving observing platform,n/a,14,Stationary position of ship shall be reported by 0 01 012 set to 0 and 0 01 013 set to 0. Course of ship unknown (Ds = 9) shall be reported by 0 01 012 set to 509.,element,
1030,02,002021,Satellite instrument data used in processing,*,1 (superscript),Descriptor 0 02 152 should be used instead of 0 02 021 for encoding this element.,element,
1031,02,002100,Radar constant,*,2 (superscript),This constant is defined as follows: Z = P + radar constant where Z = the reflectivity of target in beam direction (dBZ);P = the input receiver power above 1 mW (dBm).This constant is used to normalize the signal to the equivalent 100 km range.,element,formatted
1032,02,002140,Satellite radar beam azimuth angle,(see Note 4),4,Note that descriptor 0 02 140 is the azimuth angle measured anticlockwise from satellite heading vector.,element,
1033,02,002142,Ozone instrument serial number/identification,(see Note 5),5,"In descriptor 0 02 142: Ozone instrument serial number/identification is four characters long. For Japanese Dobson instruments, omit the leading digit(s).",element,
1034,02,002152,Satellite instrument used in data processing,(see Note 6),6,Descriptor 0 02 019 should be used instead of descriptor 0 02 152 for single satellite instrument identification.,element,
1035,02,002173,Square of the off-nadir angle,(see Note 7),7,"Square of off-nadir angle computed from Ku waveform-derived parameters, Unit 10-4 deg2, Common minimum value 0, Common maximum value 900.",element,note has superscripts
1036,02,n/a,n/a,n/a,1,This class shall contain elements to describe the instrumentation used to obtain the meteorological elements reported.,class,add to title? 
1037,02,n/a,n/a,n/a,2,This class may also contain elements relating to observational procedures.,class,add to title? 
1038,02,n/a,n/a,n/a,3,Some indication of expected accuracy may be implied in conjunction with certain elements in this class.,class,
1039,03,/,/,/,/,/,class,no notes
1040,04,004041,"Time difference, UTC - LMT",(see Note 6),6,Descriptor 0 04 041 has been replaced by the combination of 0 08 025 and 0 26 003 and should not be used for encoding this element.,element,
1041,04,n/a,n/a,n/a,1,The significance of time periods or displacements may be indicated using the time significance code corresponding to table reference 0 08 021.,table,add to 0 04 021 to 0 04 026?
1042,04,n/a,n/a,n/a,2,"Where more than one time period or displacement is required to define complex time structures, they shall be defined in immediate succession, and the following ordering shall apply: ensemble period (if required), followed by forecast period (if required), followed by period for averaging or accumulation (if required).",table,add to 0 04 021 to 0 04 026?
1043,04,n/a,n/a,n/a,3,"Time periods or displacements and time increments require an initial time location to be defined prior to their use, followed where appropriate by a time significance definition.",table,add to 0 04 021 to 0 04 026?
1044,04,n/a,n/a,n/a,4,"The time location, when used with forecast values, shall indicate the time of the initial state for the forecast, or the beginning of the forecast period; when used with ensemble means of forecast values, the time location shall indicate the initial state or the beginning of the first forecast over which ensemble means are derived.",table,"add to all elements with ""Time increment"" in name? "
1045,04,n/a,n/a,n/a,5,Negative time periods or displacements shall be used to indicate time periods or displacements preceding the currently defined time.,table,
1046,04,n/a,n/a,n/a,7,All times are Universal Time Coordinated (UTC) unless otherwise noted.,table,
1047,05,005032,Y offset,(see Note 6),6,"Y offset is the distance between the projection origin and the upper left corner of the upper left pixel in a map, as shown in the following diagram: {{image}}. ",element,note has image
1048,05,n/a,n/a,n/a,1,Values of latitude and latitude increments are limited to the range -90 degrees to +90 degrees.,class,"add to elements with 'latitude in name?"""
1049,05,n/a,n/a,n/a,2,South latitude shall be assigned negative values.,class,"add to elements with 'latitude in name?"""
1050,05,n/a,n/a,n/a,3,North to south increments shall be assigned negative values.,class,"add to elements with 'latitude in name?"""
1051,05,n/a,005021,n/a,4,"Bearing or azimuth shall only be used with respect to a stated location, and shall not redefine that location.",element,
1052,05,n/a,005033,n/a,5,The pixel size on horizontal - 1 is given at location where map scale factor is unity.,element,
1053,06,006032,X offset,(see Note 6),6,"X offset is the distance between the projection origin and the upper left corner of the upper left pixel in a map, as shown in the following diagram:",element,note has image
1054,06,n/a,n/a,n/a,1,Values of longitude are limited to the range -180 degrees to +180 degrees.,class,add to elements with 'longitude' in name?
1055,06,n/a,n/a,n/a,2,West longitude shall be assigned negative values.,class,add to elements with 'longitude' in name?
1056,06,n/a,n/a,n/a,3,East to west increments shall be assigned negative values.,class,add to elements with 'longitude' in name?
1057,06,n/a,006021,n/a,4,"Distance shall only be used with respect to a stated location and a bearing, azimuth or elevation; it shall not redefine that location.",element,
1058,06,n/a,006033,n/a,5,The pixel size on horizontal - 2 is given at location where map scale factor is unity.,element,
1059,07,007001,Height of station,(see Note 1),1,"Regarding data from ground-based stations, this descriptor should be used for archived data only. Descriptors 0 07 030 and 0 07 031 should be used and preferred to represent ground elevation and elevation of barometer, respectively, as defined in Weather Reporting (WMO-No. 9), Volume A - Observing Stations. Regardingmarine stations, this descriptor refers to the height above mean sea level of the deck of marine platform where the instruments stand.",element,
1060,07,007021,Elevation,(see Note 2),2,"Elevation shall only be used with respect to a stated location and a bearing, azimuth or distance; it shall not redefine that location.",element,
1061,07,007030,Height of station ground above mean sea level,(see Note 3),3,"Height of station ground above mean sea level is defined as the height above mean sea level of the ground on which the rain gauge stands or, if there is no rain gauge,the ground beneath the thermometer screen. If there is neither rain gauge nor screen, it is the average level of terrain in the vicinity of the station (Reference: Guide toMeteorological Instruments and Methods of Observation (WMO-No. 8), 1996).",element,
1062,07,007031,Height of barometer above mean sea level,(see Note 4),4,"Height of barometer above mean sea level, referring to the location of barometer of a station, does not redefine the descriptor 0 07 030.",element,
1063,07,007032,Height of sensor above local ground (or deck of marine platform),(see Note 5),5,"Height of sensor above local ground (or deck of marine platform) is the actual height of sensor above ground (or deck of marine platform) at the point where the sensor is located. This descriptor does not redefine the descriptors 0 07 030 or 0 07 033. Previously defined value of 0 07 032 may be cancelled by setting 0 07 032 to a""missing value"".",element,
1064,07,007033,Height of sensor above water surface,(see Note 6),6,"Height of sensor above water surface is the height of sensor above water surface of sea or lake. This descriptor does not redefine descriptors 0 07 030 or 0 07 032.Previously defined value 0 07 033 may be cancelled by setting 0 07 033 to a ""missing value"".",element,
1065,07,007040,Impact parameter,(see Note 7),7,"For an atmospheric limb sounder, the ""impact parameter"" is the distance between the ray asymptote and the centre of curvature of the Earth’s surface at the tangent point.",element,
1066,07,007064,Representative height of sensor above station,(see Note 8),8,"Representative height of sensor above station is the standard height of a sensor required by WMO documentation. The value of the following meteorological elements should be adjusted using a formula. For example, standard height recommended in WMO documentation for surface wind sensors is 10 metres. If the sensor is placedat a different height, the wind speed may be adjusted using a formula.",element,
1067,08,008025,Time difference qualifier,(see Note 5),5,Descriptor 0 08 025 is to be used with 0 26 003 (time difference).,element,
1068,08,008033,Method of derivation of percentage confidence,(see Note 6),6,Descriptor 0 08 033 is to be used by preceding the element 0 33 007 as part of quality control information in order to specify the method used to calculate the percentage confidence.,element,
1069,08,n/a,n/a,n/a,1,"Where values are accumulated or averaged (for example over a time period), the total number of values from which the accumulated or averaged values are obtained may be represented using reference 0 08 022.",class,add to 008022?
1070,08,n/a,n/a,n/a,2,"A previously defined significance may be cancelled by transmitting a ""missing"" from the appropriate code or flag table.",class,add to elements with significance in name?
1071,08,008023,n/a,n/a,3,"First-order statistics have values with a similar range and the same dimensions as the corresponding reported values (e.g., maxima, minima, means).",element,
1072,08,008024,n/a,n/a,4,"Difference statistics are difference values; they have dimensions similar to the corresponding reported values with respect to units, but assume a range centred on zero (e.g. the difference between reported and analysed values, the difference between reported and forecast values).",element,
1073,08,008043,n/a,n/a,7,"When descriptor 0 08 043 is used to specify particulate matter (PM) under a given size threshold, descriptor 0 08 045 may also be used to further specify a subset of the PM population on the basis of ion composition.",element,0 08 045 is missing! 
1074,08,008090,n/a,n/a,8,"Descriptor 0 08 090 is to be used to establish the decimal scale of one or more subsequent numerical element descriptors requiring a large dynamic range of values.The numerical element descriptor(s) will contain the scaled value of the measurement(s) with the required number of significant digits. The actual value will be obtained, at the application level, by multiplying the scaled value by the given decimal scale: (scaled value x 10decimal scale).",element,
1075,10,010031,"In direction of the North Pole, distance from the Earth's centre",(see Notes 2 and 3),2,The value for descriptor 0 10 031 has been chosen to be suitable for polar orbiting satellites in approximately Sun-synchronous orbits. Geostationary orbits would require greater data widths for distance and slightly less for speed.,element,
1076,10,010031,"In direction of the North Pole, distance from the Earth's centre",(see Notes 2 and 3),3,"Left handed x, y and z axes have been chosen for descriptor 0 10 031.",element,
1077,10,010036,Geoid undulation,(see Note 4),4,"The ""geoid undulation"" is the difference between the reference ellipsoid (WGS-84) and the geoid height (EGM96) at the geographic location of the observation, both referenced to the centre of mass of the Earth.",element,
1078,10,n/a,n/a,n/a,1,Vertical elements and pressure shall be used to define values of these elements independent of the element or variable denoting the vertical coordinate.,class,add to 0 10 071 (Vertical resolution) and to elements with 'Pressure' in name? 
1079,11,011019,Steadiness of wind,(see Note 6),6,The steadiness factor (descriptor 0 11 019) is the ratio of speed of the monthly mean vector wind to the speed of the monthly mean scalar wind expressed as a percentage. It is reported to the nearest one per cent.,element,
1080,11,n/a,n/a,n/a,1 (superscript),EDR = Eddy dissipation rate,word in element,EDR is in 011109
1081,11,n/a,n/a,n/a,1,West to east u-components shall be assigned positive values.,class,add to elements with 'u-components' in name?
1082,11,n/a,n/a,n/a,2,South to north v-components shall be assigned positive values.,class,add to elements with 'v-components' in name?
1083,11,n/a,n/a,n/a,3,Upward w-components shall be assigned positive values where units are m s-1.,class,add to elements with 'w-components' in name?
1084,11,n/a,n/a,n/a,4,Downward w-components shall be assigned positive values where units are Pa s-1.,class,add to elements with 'w-components' in name?
1085,11,n/a,n/a,n/a,5,"Wind reporting standards: Speed Direction No observation Missing Missing Calm 0 0 Normal observation > 0 1° - 360° Speed only > 0 Missing Direction only Missing 1°-360° ""Light and variable"" > 0 0",class,note is formatted
1086,11,n/a,n/a,n/a,7,Surface wind direction measured at a station within 1° of the North Pole or within 1° of the South Pole shall be reported in such a way that the azimuth ring shall be aligned with its zero coinciding with the Greenwich 0° meridian.,class,"non-encoded characters, note is formatted"
1087,12,012076,Radiance,(see Note 2),2,Descriptor 0 12 076 should be used instead of descriptor 0 12 072 to encode radiance.,element,
1088,12,012111,"Maximum temperature, at height
and over period specified",n/a,1,"Where the expression ""at height and over period specified"" is entered under element name, an appropriate vertical location shall be specified using descriptors from Class 07, together with an appropriate period using descriptors from Class 04.",element,
1089,12,012112,"Minimum temperature, at height
and over period specified",n/a,1,"Where the expression ""at height and over period specified"" is entered under element name, an appropriate vertical location shall be specified using descriptors from Class 07, together with an appropriate period using descriptors from Class 04.",element,
1090,12,012011,"Maximum temperature, at height
and over period specified",n/a,1,"Where the expression ""at height and over period specified"" is entered under element name, an appropriate vertical location shall be specified using descriptors from Class 07, together with an appropriate period using descriptors from Class 04.",element,
1091,12,012012,"Minimum temperature, at height
and over period specified",n/a,1,"Where the expression ""at height and over period specified"" is entered under element name, an appropriate vertical location shall be specified using descriptors from Class 07, together with an appropriate period using descriptors from Class 04.",element,
1092,13,013009,Relative humidity,(see Note 6),6,"Concerning descriptor 0 13 009, the originators of these data want to be able to retain the raw (i.e. unprocessed) relative humidity value reported by the sensor in order to be able to track, among other things, when a sensor begins to malfunction. The latter case is when a negative value might occur. For worldwide exchange with othercountries, it is possible that only the processed data would ever be sent.",element,
1093,13,013032,Evaporation/evapotranspiration,(see Note 5),5,Descriptor 0 13 033 should be used instead of descriptor 0 13 032 to encode evaporation/evapotranspiration.,element,
1094,13,013042,Parcel lifted index (to 500 hPa),(see Notes 3 and 4),3,"The ""parcel lifted index"" (as defined in the International Meteorological Vocabulary (WMO-No. 182) under the listing ""lifted index"") is defined as the temperature difference between the ambient 500-hPa temperature (T500) and that of a parcel of air lifted from the surface (Tparcel) following the dry and moist adiabatic process.Negative values of (T500 - Tparcel) suggest instability. The ""best lifted index"" is defined as the most unstable of a collection of parcel lifted indices, with parcel initialconditions defined for a collection of 30-hPa thick layers stacked one upon the other with the lowest resting on the ground. Commonly four to six such layers are usedin the calculation.",element,
1095,13,013042,Parcel lifted index (to 500 hPa),(see Notes 3 and 4),4,"Since the two lifted indices (0 13 042 and 0 13 043) are defined as temperature differences, they may take on negative values, even though the units are kelvin; hence the non-zero reference value.",element,
1096,13,013043,Best lifted index (to 500 hPa),(see Notes 3 and 4),3,"The ""parcel lifted index"" (as defined in the International Meteorological Vocabulary (WMO-No. 182) under the listing ""lifted index"") is defined as the temperature difference between the ambient 500-hPa temperature (T500) and that of a parcel of air lifted from the surface (Tparcel) following the dry and moist adiabatic process.Negative values of (T500 - Tparcel) suggest instability. The ""best lifted index"" is defined as the most unstable of a collection of parcel lifted indices, with parcel initialconditions defined for a collection of 30-hPa thick layers stacked one upon the other with the lowest resting on the ground. Commonly four to six such layers are usedin the calculation.",element,
1097,13,013043,Best lifted index (to 500 hPa),(see Notes 3 and 4),4,"Since the two lifted indices (0 13 042 and 0 13 043) are defined as temperature differences, they may take on negative values, even though the units are kelvin; hence the non-zero reference value.",element,
1098,13,013047,Modified Showalter stability index,(see Note 7),7,"The ""Modified Showalter stability index"" is defined as the temperature difference between the ambient 500-hPa temperature and the temperature a parcel of air,initially at a selected base level, would have if brought from its condensation level to the 500-hPa surface by a moist adiabatic process. Positive values denote stable conditions, while negative values denote unstable conditions. The base level is 850 hPa, 800 hPa or 750 hPa if the station elevation is less than 1000, 1000 to 1400or 1401 to 2000 gpm above mean sea level, respectively.",element,
1099,13,013115,Ice thickness,(see Note 9),9,"Ice thickness (0 13 115) shall be preceded by Surface type (0 08 029) set to 11, 12, 13 or 14 to specify river, lake, sea or glacier, respectively.",element,
1100,13,013118,Depth of fresh snow (high accuracy),(see Note 10),10,"Depth of fresh snow (0 13 118) set to -0.001 before scaling (-1 after scaling or in CREX) shall indicate a little snow (less than 0.0005 m). Depth of fresh snow(0 13 118) set to -0.002 before scaling (-2 after scaling or in CREX) shall indicate ""snow cover not continuous"".",element,
1101,13,013155,Intensity of precipitation (high accuracy),(see Note 8),8,"An intensity of precipitation value of -0.00001 kg m-2 s-1 before scaling (-1 after scaling) and of -0.01 mm h-1 before scaling (-1 after scaling) shall indicate a ""trace""in BUFR and in CREX, respectively.",element,
1102,13,n/a,n/a,n/a,1,"A precipitation value of -0.1 kg m-2 before scaling (-1 after scaling or in CREX) shall indicate a ""trace"" (non-measurable, less than 0.05 kg m-2).",class,add to all elements with 'precipitation' in name? 
1103,13,013012,Depth of fresh snow,n/a,2,"A snow depth value of -0.01 m before scaling (-1 after scaling or in CREX) shall indicate a little (less than 0.005 m) snow. A value of -0.02 m (-2 after scaling or inCREX) shall indicate ""snow cover not continuous"".",element,
1104,13,013013,Total snow depth,n/a,2,"A snow depth value of -0.01 m before scaling (-1 after scaling or in CREX) shall indicate a little (less than 0.005 m) snow. A value of -0.02 m (-2 after scaling or inCREX) shall indicate ""snow cover not continuous"".",element,
1105,14,014045,Channel radiance,(see Note 4),4,Channel radiance (0 14 045) uses cm to represent the wave number.,element,
1106,14,014046,Scaled radiance,(see Note 6),6,"An offset has been introduced for the scaled radiances (0 14 046). This is to accommodate the negative radiances which can be measured at some wave numbers,either due to effects of noise or remaining after apodization. The offset is an order of magnitude larger than the expected maximum negative excursion based on instrument noise, and so would leave sufficient margin. At the same time the dynamic range is not significantly degraded.",element,
1107,14,014050,Emissivity,(see Note 5),5,Emissivity is the ratio of the amount of energy emitted from a particular object compared to the amount that would be emitted by a blackbody at the same temperature(i.e. the Planck function). Multiplying by 100 gives a percent (and provides 2 digits of precision at the same time).,element,
1108,14,014072,Global UV irradiation,(see Note 8),8,"Global UV irradiation (0 14 072) is UV energy integrated over period specified for spectral band specified. 0 14 072 shall be preceded by a time period descriptor and by Spectrographic wavelength (0 02 071) and Spectrographic width (0 02 072). For example, if 0 14 072 is used for global UV-B irradiation, 0 02 071 and 0 02 072shall specify spectral band 280 to 315 nm.",element,
1109,14,n/a,n/a,n/a,1,Downward radiation shall be assigned positive values.,class,
1110,14,n/a,n/a,n/a,2,Upward radiation shall be assigned negative values.,class,
1111,14,n/a,n/a,n/a,3,"Where the expression ""period specified"" is entered under element name, an appropriate period shall be specified using descriptors from Class 04.",class,add to all elements with this phrase? 
1112,14,014043,Channel radiance,n/a,7,Channel radiance (0 14 043) uses μm to represent the wave number.,element,
1113,15,015003,Measured ozone partial pressure (sounding),(see Note 1),1,"0 15 003 is the partial pressure of ozone, measured at the pressure level identified by 0 07 004.",element,
1114,15,015004,Ozone sounding correction factor (CF),(see Note 2),2,"0 15 004 (CF) is defined as:CF = TOI/TOS where TOI is the integrated ozone value obtained ""simultaneously to a sounding"" from a Dobson or Brewer spectrophotometer at the site or ""nearby""and TOS is the total ozone obtained from the sounding. TOS is the sum of the integrated ozone below the lowest pressure level reached by the sounding and the estimate of the amount above. In the absence of any spectrophotometer measurement, CF = Missing value.",element,
1115,15,015005,Ozone p,(see Note 3),3,"0 15 005 is the value obtained as the result of the vertical integration of the sounding values (0 15 003) measured below the lowest pressure level reached by the sonde, multiplied by 0 15 004.",element,
1116,15,015030,Aerosol contamination index,(see Note 6),6,"For this descriptor, numbers less than -1 indicate a predominance of scattering aerosols, increasing in concentration as the number becomes more negative.Numbers greater than +1 indicate a predominance of absorptive aerosols, increasing in concentration as the number becomes more positive. Numbers between -1 and +1 indicate clouds or noise.",element,
1117,15,015036,Atmospheric refractivity,(see Note 5),5,"The refractivity, N, is related to the refractive index, n, by the formula N = 106 (n - 1). N is therefore dimensionless but values computed by the formula are by convention described as being in ""N units"".",element,
1118,15,015041,Sulphur dioxide index,(see Note 7),7,"For this descriptor, numbers greater than +6 indicate sulphur dioxide contamination, increasing in intensity as the number becomes more positive. The number is computed from a measurement in Dobson Units, but for a specific temperature and assumed concentration profile that may not be close to the true state of theatmosphere. Because of these deficiencies, it is reported as a numeric index.",element,
1119,15,015045,Sulphur dioxide,(see Note 8),8,"For this descriptor, negative values indicate noise, poor calibration or presence of absorbing aerosols. Preserving these values allows for better subsequent estimates of calibration bias.",element,
1120,15,015046,Volcano contamination index,(see Note 9),9,"For this descriptor, the units represent the climatological standard deviation of the tropospheric ozone value for a given latitude. For example, a value of 5.0 indicatesa profile with a tropospheric ozone value 5.0 standard deviations larger than the climatological average.",element,
1121,15,n/a,n/a,n/a,4,DU = Dobson unit.,class,add to elements with DU units?
1122,15,015079,Zenith path delay due to neutral atmosphere (see Note 11),"(11) 0 15 079 is the hypothetical path delay with the transmitter, e.g. GNSS satellite, in the zenith of the receiver.",11,"0 15 079 is the hypothetical path delay with the transmitter, e.g. GNSS satellite, in the zenith of the receiver.",element,
1123,15,015081,Wet path delay due to neutral atmosphere (see Note 12),(12) 0 15 081 is the contribution of atmospheric water vapour to the path delay.,12,0 15 081 is the contribution of atmospheric water vapour to the path delay.,element,
1124,15,015082,Path integrated water vapour (see Note 16),(16) 015082 is the amount of atmospheric water vapour integrated along the signal path.,16,015082 is the amount of atmospheric water vapour integrated along the signal path.,element,
1125,15,015083,GNSS derived neutral atmosphere gradient (see Note 17),(17) 0 15 083 is the gradient (east-west or north-south) of the neutral atmosphere estimated by the GNSS processing.,17,0 15 083 is the gradient (east-west or north-south) of the neutral atmosphere estimated by the GNSS processing.,element,
1126,15,015084,GNSS least squares residual (see Note 18),(18) 015084 Non-modelled contribution to the path delay estimated by the least squares adjustment of GNSS path delays.,18,015084 Non-modelled contribution to the path delay estimated by the least squares adjustment of GNSS path delays.,element,
1127,15,015085,GNSS multi-path delay (see Note 15),(15) 0 15 085 is the excess delay due to multi-path effects which needs to be removed from the estimated path delay.,15,0 15 085 is the excess delay due to multi-path effects which needs to be removed from the estimated path delay.,element,
1128,15,015086,GNSS hydrostatic mapping function (see Note 19),(19) A mapping function is an empirical projection of the zenith delay onto the path delay: Path delay = mapping function * zenith delay. It is a dimensionless real number greater than or equal to one. Different mapping functions are used for the wet and hydrostatic contributions to the delay and for the GNSS gradients.,19,A mapping function is an empirical projection of the zenith delay onto the path delay: Path delay = mapping function * zenith delay. It is a dimensionless real number greater than or equal to one. Different mapping functions are used for the wet and hydrostatic contributions to the delay and for the GNSS gradients.,element,
1129,15,015089,Zenith path delay due to neutral hydrostatic atmosphere (see Note 13),(13) 015089 is the contribution of the (almost) dry atmosphere to the zenith path delay as expressed by the hydrostatic equation.,13,015089 is the contribution of the (almost) dry atmosphere to the zenith path delay as expressed by the hydrostatic equation.,element,my comment
1130,15,015090,Path delay due to neutral hydrostatic atmosphere (see Note 14),(14) 015090 is the zenith path delay due to the neutral hydrostatic atmosphere mapped onto the signal path.,14,015090 is the zenith path delay due to the neutral hydrostatic atmosphere mapped onto the signal path.,element,
1131,15,015038,Path delay due to neutral atmosphere (see Note 10),"(10) 0 15 038 is the delay of an electromagnetic wave in the neutral atmosphere as compared to undisturbed propagation in vacuum. The delay due to ionized gases in the ionosphere is not covered, hence ""neutral atmosphere"". The delay in meters is the time delay multiplied by the vacuum speed of light.",10,"0 15 038 is the delay of an electromagnetic wave in the neutral atmosphere as compared to undisturbed propagation in vacuum. The delay due to ionized gases in the ionosphere is not covered, hence ""neutral atmosphere"". The delay in meters is the time delay multiplied by the vacuum speed of light.",element,
1132,19,019002,Effective radius of feature,(see Note 1),1,The effective radius of feature shall be defined with respect to the radius of the 1000-hPa isobars at mean sea level.,element,
1133,19,019003,Wind speed threshold,(see Note 2),2,Maximum wind and effective radius of maximum wind shall be indicated by means of the 0 19 003 and 0 19 004 entries.,element,
