row #,table,category,FXY1,FXY2,note (github),notation (manual),note (manual),note applies to,my comment
1010,BUFR,01,301065,1008,(see Note 10),10,"As supplied by originating sub-centre ARINC, this value is a pseudo-value rather than the actual value. The Relationship between this pseudo-value and the true value is known only by ARINC.",element,
1011,BUFR,01,301132,301021,(12) The latitude and longitude descriptors 0 05 001 and 0 06 001 indicate the position of the instrument and not the measurement itself (which is separately encoded in the associated data sequence).,12,The latitude and longitude descriptors 0 05 001 and 0 06 001 indicate the position of the instrument and not the measurement itself (which is separately encoded in the associated data sequence).,element,
1012,BUFR,01,301002,n/a,n/a,1,Descriptor 3 01 002 should not be used.,element,
1013,BUFR,01,301003,001011,n/a,2,The ship's call sign or WMO identifier should be reported using descriptor 0 01 011.,element,note doesn't make much sense when applied to each element.
1014,BUFR,01,301056,001011,n/a,2,The ship's call sign or WMO identifier should be reported using descriptor 0 01 011.,element,note doesn't make much sense when applied to each element.
1015,BUFR,01,301092,001011,n/a,2,The ship's call sign or WMO identifier should be reported using descriptor 0 01 011.,element,note doesn't make much sense when applied to each element.
1016,BUFR,01,301110,001011,n/a,2,The ship's call sign or WMO identifier should be reported using descriptor 0 01 011.,element,note doesn't make much sense when applied to each element.
1017,BUFR,01,301111,001011,n/a,2,The ship's call sign or WMO identifier should be reported using descriptor 0 01 011.,element,note doesn't make much sense when applied to each element.
1018,BUFR,01,301018,001114,See Notes 2-4	,2,The ship's call sign or WMO identifier should be reported using descriptor 0 01 011.,element,
1019,BUFR,01,301018,001114,See Notes 2-4	,3,"However, if required by shipping companies when voluntary observing ships (VOS) are recruited or if subsequently requested, for ship reports using template 3 08 014 the ship call sign or other identifier can be encrypted in BUFR reports using sequence 3 01 018 according to the following method:- The normal call sign (i.e. descriptor 0 01 011) shall be encoded with missing value;- The encryption method shall be indicated using the method indicated by 0 25 185;- The version of the encryption key that is used shall be indicated by 0 25 186.",element,
1020,BUFR,01,301018,001114,See Notes 2-4	,4,The encryption keys will be managed by the Joint WMO/IOC Technical Commission for Oceanography and Marine Meteorology Focal Point on Ship Masking.,element,
1021,BUFR,01,301035,n/a,n/a,8,Descriptor 3 01 055 should be used instead of 3 01 035 to encode moving buoy/platform information.,element,
1022,BUFR,01,301041,n/a,n/a,9,These descriptors should not be used in CREX for transmission.,element,
1023,BUFR,01,301042,n/a,n/a,9,These descriptors should not be used in CREX for transmission.,element,
1024,BUFR,01,301043,n/a,n/a,9,These descriptors should not be used in CREX for transmission.,element,
1025,BUFR,01,301044,n/a,n/a,9,These descriptors should not be used in CREX for transmission.,element,
1026,BUFR,01,301045,n/a,n/a,9,These descriptors should not be used in CREX for transmission.,element,
1027,BUFR,01,301046,n/a,n/a,9,These descriptors should not be used in CREX for transmission.,element,
1028,BUFR,01,301047,n/a,n/a,9,These descriptors should not be used in CREX for transmission.,element,
1029,BUFR,01,301048,n/a,n/a,9,These descriptors should not be used in CREX for transmission.,element,
1030,BUFR,01,301049,n/a,n/a,9,These descriptors should not be used in CREX for transmission.,element,
1031,BUFR,01,301062,n/a,n/a,9,These descriptors should not be used in CREX for transmission.,element,
1032,BUFR,01,301071,n/a,n/a,9,These descriptors should not be used in CREX for transmission.,element,
1033,BUFR,01,401072,n/a,n/a,9,These descriptors should not be used in CREX for transmission.,element,
1034,BUFR,01,301113,n/a,(see Note 11),11,"Time of launch shall be reported with the highest possible accuracy available. If the launch time is not available with second accuracy, the entry for seconds shall be set to zero.",element,
1035,BUFR,02,302041,004024,(see Notes 1 and 2),1,"Within RA IV, the maximum temperature at 1200 UTC is reported for the previous calendar day (i.e. the ending time of the period is not equal to the nominal time of the report). To construct the required time range,descriptor 0 04 024 has to be included two times. If the period ends at the nominal time of the report, value of the second 0 04 024 shall be set to 0",element,
1036,BUFR,02,302041,4024,(see Notes 1 and 2),2,"Within RA III, the maximum daytime temperature and the minimum night-time temperature is reported (i.e. the ending time of the period may not be equal to the nominal time of the report). To construct the required time range, descriptor 0 04 024 has to be included two times. If the period ends at the nominal time of the report,value of the second 0 04 024 shall be set to 0.",element,
1037,BUFR,02,302041,4024,(see Note 2),2,"Within RA III, the maximum daytime temperature and the minimum night-time temperature is reported (i.e. the ending time of the period may not be equal to the nominal time of the report). To construct the required time range, descriptor 0 04 024 has to be included two times. If the period ends at the nominal time of the report,value of the second 0 04 024 shall be set to 0.",element,
1038,BUFR,02,302046,4024,(see Note 3),3,"To construct the required time range, descriptor 0 04 024 has to be included two times.",element,
1039,BUFR,02,302058,004024,(see Notes 1 and 2),1,"Within RA IV, the maximum temperature at 1200 UTC is reported for the previous calendar day (i.e. the ending time of the period is not equal to the nominal time of the report). To construct the required time range,descriptor 0 04 024 has to be included two times. If the period ends at the nominal time of the report, value of the second 0 04 024 shall be set to 0",element,
1040,BUFR,02,302058,4024,(see Notes 1 and 2),2,"Within RA III, the maximum daytime temperature and the minimum night-time temperature is reported (i.e. the ending time of the period may not be equal to the nominal time of the report). To construct the required time range, descriptor 0 04 024 has to be included two times. If the period ends at the nominal time of the report,value of the second 0 04 024 shall be set to 0.",element,
1041,BUFR,02,302058,4024,(see Note 2),2,"Within RA III, the maximum daytime temperature and the minimum night-time temperature is reported (i.e. the ending time of the period may not be equal to the nominal time of the report). To construct the required time range, descriptor 0 04 024 has to be included two times. If the period ends at the nominal time of the report,value of the second 0 04 024 shall be set to 0.",element,
1042,BUFR,03,303021,n/a,n/a,1,Descriptors 3 03 021 to 3 03 027 are not available in CREX.,element,
1043,BUFR,03,303027,n/a,n/a,1,Descriptors 3 03 021 to 3 03 027 are not available in CREX.,element,
1044,BUFR,03,n/a,004086,n/a,2,Long time displacement 0 04 086 in the sequence represents the time offset from the launch time 3 01 013 (in seconds).,multiple elements,
1045,BUFR,03,n/a,005015,n/a,3,Latitude displacement 0 05 015 in the sequence represents the latitude offset from the latitude of the launch site. Longitude displacement 0 06 015 in the sequence represents the longitude offset from the longitude of the launch site.,multiple elements,
1046,BUFR,03,n/a,006015,n/a,3,Latitude displacement 0 05 015 in the sequence represents the latitude offset from the latitude of the launch site. Longitude displacement 0 06 015 in the sequence represents the longitude offset from the longitude of the launch site.,multiple elements,
1047,BUFR,04,304035,n/a,n/a,no id,3 04 035 is deprecated.,element,
1048,BUFR,05,/,/,/,/,/,/,no notes
1049,BUFR,06,306019,004015,(see Note 1),1,Range of value for parameter 0 04 015 limited from -99 to 99; CREX common sequence D 06 019 being the original sequence with 2 characters only for the corresponding descriptor.,element,
1050,BUFR,06,306020,n/a,(see Note 2),2,This sequence is deprecated because of incorrect usage of descriptor 0 04 075; sequence 3 06 019 should be used instead.,element,
1051,BUFR,06,306024,n/a,(see Note 3),3,This sequence is deprecated because of incorrect usage of descriptor 0 04 075 in sequence 3 06 020;sequence 3 06 025 should be used instead.,element,
1052,CREX,06,D06020,n/a,(see Note 2),2,This sequence is deprecated because of incorrect usage of descriptor 0 04 075; sequence 3 06 019 should be used instead.,element,Note is not in manual
1053,CREX,06,D06024	,n/a,(see Note 3),3,This sequence is deprecated because of incorrect usage of descriptor 0 04 075 in sequence 3 06 020;sequence 3 06 025 should be used instead.,element,note is not in manual
1054,BUFR,07,307045,11083,(see Note 1),1,"Within 3 07 045, 3 07 048 and 3 07 053, wind speed shall be reported in the same units as in the original TAC data and: 0 11 083 shall be set to missing, if wind speed is reported in knots or m s-1 in TAC data, 0 11 084 shall be set to missing, if wind speed is reported in km h-1 or m s-1 in TAC data.",element,
1055,BUFR,07,307045,11084,(see Note 1),1,"Within 3 07 045, 3 07 048 and 3 07 053, wind speed shall be reported in the same units as in the original TAC data and: 0 11 083 shall be set to missing, if wind speed is reported in knots or m s-1 in TAC data, 0 11 084 shall be set to missing, if wind speed is reported in km h-1 or m s-1 in TAC data.",element,
1056,BUFR,07,307045,11002,(see Note 1),1,"Within 3 07 045, 3 07 048 and 3 07 053, wind speed shall be reported in the same units as in the original TAC data and: 0 11 083 shall be set to missing, if wind speed is reported in knots or m s-1 in TAC data, 0 11 084 shall be set to missing, if wind speed is reported in km h-1 or m s-1 in TAC data.",element,
1057,BUFR,07,307045,11085,(see Note 2),2,"Within 3 07 045, 3 07 048 and 3 07 053, maximum wind speed (gusts) shall be reported in the same units as in the original TAC data and:0 11 085 shall be set to missing, if maximum wind speed is reported in knots or m s-1 in TAC data,0 11 086 shall be set to missing, if maximum wind speed is reported in km h-1 or m s-1 in TAC data.",element,
1058,BUFR,07,307045,11086,(see Note 2),2,"Within 3 07 045, 3 07 048 and 3 07 053, maximum wind speed (gusts) shall be reported in the same units as in the original TAC data and:0 11 085 shall be set to missing, if maximum wind speed is reported in knots or m s-1 in TAC data,0 11 086 shall be set to missing, if maximum wind speed is reported in km h-1 or m s-1 in TAC data.",element,
1059,BUFR,07,307045,11041,(see Note 2),2,"Within 3 07 045, 3 07 048 and 3 07 053, maximum wind speed (gusts) shall be reported in the same units as in the original TAC data and:0 11 085 shall be set to missing, if maximum wind speed is reported in knots or m s-1 in TAC data,0 11 086 shall be set to missing, if maximum wind speed is reported in km h-1 or m s-1 in TAC data.",element,
1060,BUFR,07,307048,11083,(see Note 1),1,"Within 3 07 045, 3 07 048 and 3 07 053, wind speed shall be reported in the same units as in the original TAC data and: 0 11 083 shall be set to missing, if wind speed is reported in knots or m s-1 in TAC data, 0 11 084 shall be set to missing, if wind speed is reported in km h-1 or m s-1 in TAC data.",element,
1061,BUFR,07,307048,11084,(see Note 1),1,"Within 3 07 045, 3 07 048 and 3 07 053, wind speed shall be reported in the same units as in the original TAC data and: 0 11 083 shall be set to missing, if wind speed is reported in knots or m s-1 in TAC data, 0 11 084 shall be set to missing, if wind speed is reported in km h-1 or m s-1 in TAC data.",element,
1062,BUFR,07,307048,11002,(see Note 1),1,"Within 3 07 045, 3 07 048 and 3 07 053, wind speed shall be reported in the same units as in the original TAC data and: 0 11 083 shall be set to missing, if wind speed is reported in knots or m s-1 in TAC data, 0 11 084 shall be set to missing, if wind speed is reported in km h-1 or m s-1 in TAC data.",element,
1063,BUFR,07,307048,11085,(see Note 2),2,"Within 3 07 045, 3 07 048 and 3 07 053, maximum wind speed (gusts) shall be reported in the same units as in the original TAC data and:0 11 085 shall be set to missing, if maximum wind speed is reported in knots or m s-1 in TAC data,0 11 086 shall be set to missing, if maximum wind speed is reported in km h-1 or m s-1 in TAC data.",element,
1064,BUFR,07,307048,11086,(see Note 2),2,"Within 3 07 045, 3 07 048 and 3 07 053, maximum wind speed (gusts) shall be reported in the same units as in the original TAC data and:0 11 085 shall be set to missing, if maximum wind speed is reported in knots or m s-1 in TAC data,0 11 086 shall be set to missing, if maximum wind speed is reported in km h-1 or m s-1 in TAC data.",element,
1065,BUFR,07,307048,11041,(see Note 2),2,"Within 3 07 045, 3 07 048 and 3 07 053, maximum wind speed (gusts) shall be reported in the same units as in the original TAC data and:0 11 085 shall be set to missing, if maximum wind speed is reported in knots or m s-1 in TAC data,0 11 086 shall be set to missing, if maximum wind speed is reported in km h-1 or m s-1 in TAC data.",element,
1066,BUFR,07,307053,11083,(see Note 1),1,"Within 3 07 045, 3 07 048 and 3 07 053, wind speed shall be reported in the same units as in the original TAC data and: 0 11 083 shall be set to missing, if wind speed is reported in knots or m s-1 in TAC data, 0 11 084 shall be set to missing, if wind speed is reported in km h-1 or m s-1 in TAC data.",element,
1067,BUFR,07,307053,11084,(see Note 1),1,"Within 3 07 045, 3 07 048 and 3 07 053, wind speed shall be reported in the same units as in the original TAC data and: 0 11 083 shall be set to missing, if wind speed is reported in knots or m s-1 in TAC data, 0 11 084 shall be set to missing, if wind speed is reported in km h-1 or m s-1 in TAC data.",element,
1068,BUFR,07,307053,11002,(see Note 1),1,"Within 3 07 045, 3 07 048 and 3 07 053, wind speed shall be reported in the same units as in the original TAC data and: 0 11 083 shall be set to missing, if wind speed is reported in knots or m s-1 in TAC data, 0 11 084 shall be set to missing, if wind speed is reported in km h-1 or m s-1 in TAC data.",element,
1069,BUFR,07,307053,11085,(see Note 2),2,"Within 3 07 045, 3 07 048 and 3 07 053, maximum wind speed (gusts) shall be reported in the same units as in the original TAC data and:0 11 085 shall be set to missing, if maximum wind speed is reported in knots or m s-1 in TAC data,0 11 086 shall be set to missing, if maximum wind speed is reported in km h-1 or m s-1 in TAC data.",element,
1070,BUFR,07,307053,11086,(see Note 2),2,"Within 3 07 045, 3 07 048 and 3 07 053, maximum wind speed (gusts) shall be reported in the same units as in the original TAC data and:0 11 085 shall be set to missing, if maximum wind speed is reported in knots or m s-1 in TAC data,0 11 086 shall be set to missing, if maximum wind speed is reported in km h-1 or m s-1 in TAC data.",element,
1071,BUFR,07,307053,11041,(see Note 2),2,"Within 3 07 045, 3 07 048 and 3 07 053, maximum wind speed (gusts) shall be reported in the same units as in the original TAC data and:0 11 085 shall be set to missing, if maximum wind speed is reported in knots or m s-1 in TAC data,0 11 086 shall be set to missing, if maximum wind speed is reported in km h-1 or m s-1 in TAC data.",element,
1072,BUFR,07,307071,301090,(see Note 3),3,The time identification refers to the beginning of the one-month period.,element,
1073,BUFR,07,307071,4074,(see Note 3),3,The time identification refers to the beginning of the one-month period.,element,
1074,BUFR,07,307071,7032,(see Note 4),4,"If the height of the sensor was changed during the period specified, the value shall be that which existed for the greater part of the period.",element,
1075,BUFR,07,307071,4003,(see Note 5),5,"In case of precipitation measurements, the one-month period begins at 06 UTC on the first day of the month and ends at 06 UTC on the first day of the following month.",element,
1076,BUFR,07,307071,4004,(see Note 5),5,"In case of precipitation measurements, the one-month period begins at 06 UTC on the first day of the month and ends at 06 UTC on the first day of the following month.",element,
1077,BUFR,07,307071,4023,(see Note 5),5,"In case of precipitation measurements, the one-month period begins at 06 UTC on the first day of the month and ends at 06 UTC on the first day of the following month.",element,
1078,BUFR,07,307072,4003,(see Note 3),3,The time identification refers to the beginning of the one-month period.,element,
1079,BUFR,07,307072,4004,(see Note 3),3,The time identification refers to the beginning of the one-month period.,element,
1080,BUFR,07,307072,4074,(see Note 3),3,The time identification refers to the beginning of the one-month period.,element,
1081,BUFR,07,307072,7032,(see Note 4),4,"If the height of the sensor was changed during the period specified, the value shall be that which existed for the greater part of the period.",element,
1082,BUFR,07,307072,4003,(see Note 5),5,"In case of precipitation measurements, the one-month period begins at 06 UTC on the first day of the month and ends at 06 UTC on the first day of the following month.",element,
1083,BUFR,07,307072,4004,(see Note 5),5,"In case of precipitation measurements, the one-month period begins at 06 UTC on the first day of the month and ends at 06 UTC on the first day of the following month.",element,
1084,BUFR,07,307072,8050,(see Note 6),6,"The number of missing years within the reference period from the calculation of normal for mean extreme air temperature should be given, if available, for both the calculation of normal maximum temperature and for the calculation of normal minimum temperature in addition to the number of missing years for the extreme air temperatures reported under 0 08 020 preceded by 0 08 050 in which figure 3 is used.",element,
1085,BUFR,07,307072,8020,(see Note 6),6,"The number of missing years within the reference period from the calculation of normal for mean extreme air temperature should be given, if available, for both the calculation of normal maximum temperature and for the calculation of normal minimum temperature in addition to the number of missing years for the extreme air temperatures reported under 0 08 020 preceded by 0 08 050 in which figure 3 is used.",element,
1086,BUFR,07,307082,n/a,(see Note 7),7,3 07 082 is deprecated.,element,
1087,BUFR,07,307102,013055,n/a,8,"To represent Intensity of precipitation, type of precipitation and state of functionality, 0 20 024 (Code table), 0 20 021 (Flag table) and 0 33 005 (Flag table) are used, respectively.",element,
1088,BUFR,07,307102,020021,n/a,8,"To represent Intensity of precipitation, type of precipitation and state of functionality, 0 20 024 (Code table), 0 20 021 (Flag table) and 0 33 005 (Flag table) are used, respectively.",element,
1089,BUFR,07,307102,n/a,n/a,9,"Additional descriptors are required to reduce the workload with respect to the station database, e.g. for identification of the federal state and identification of the highway.",table,
1090,BUFR,07,307102,n/a,n/a,10,The majority of stations has only one position on the road and one subsurface temperature sensor. Delayed Replications have been introduced to increase flexibility and volume efficiency.,table,
1091,BUFR,07,307102,003016,n/a,11,Each position of road sensors includes the measurements of:- Road surface temperature- Road subsurface temperatures- Water film thickness- Road surface condition,element,
1092,BUFR,07,307102,020138,n/a,12,"Some types of stations do not have the ability to identify the surface condition accurately. They can only report conditions such as ""not dry"" or ""glazed"". The code table for road surface conditions has been adjusted accordingly.",element,
1093,BUFR,08,308003,n/a,(see Note 1),1,Descriptor 3 08 007 should be used instead of 3 08 003 to encode moving buoy/platform information.,element,
1094,BUFR,08,308011,301011,(see Note 2),2,The time identification refers to the beginning of the one-month period.,element,
1095,BUFR,08,308011,301012,(see Note 2),2,The time identification refers to the beginning of the one-month period.,element,
1096,BUFR,08,308011,7030,(see Note 3),3,"If the height of the sensor was changed during the period specified, the value shall be that which existed for the greater part of the period.",element,
1097,BUFR,08,308011,7031,(see Note 3),3,"If the height of the sensor was changed during the period specified, the value shall be that which existed for the greater part of the period.",element,
1098,BUFR,08,308011,4074,(see Note 2),2,The time identification refers to the beginning of the one-month period.,element,
1099,BUFR,08,308011,7032,(see Note 3),3,"If the height of the sensor was changed during the period specified, the value shall be that which existed for the greater part of the period.",element,
1100,BUFR,08,308011,7033,(see Note 3),3,"If the height of the sensor was changed during the period specified, the value shall be that which existed for the greater part of the period.",element,
1101,BUFR,08,308011,4003,(see Note 4),4,"In case of precipitation measurements, the one-month period begins at 06 UTC on the first day of the month and ends at 06 UTC on the first day of the following month.",element,
1102,BUFR,08,308011,4004,(see Note 4),4,"In case of precipitation measurements, the one-month period begins at 06 UTC on the first day of the month and ends at 06 UTC on the first day of the following month.",element,
1103,BUFR,08,308011,4023,(see Note 4),4,"In case of precipitation measurements, the one-month period begins at 06 UTC on the first day of the month and ends at 06 UTC on the first day of the following month.",element,
1104,BUFR,08,308012,4003,(see Note 2),2,The time identification refers to the beginning of the one-month period.,element,
1105,BUFR,08,308012,4004,(see Note 2),2,The time identification refers to the beginning of the one-month period.,element,
1106,BUFR,08,308012,4074,(see Note 2),2,The time identification refers to the beginning of the one-month period.,element,
1107,BUFR,08,308012,7032,(see Note 3),3,"If the height of the sensor was changed during the period specified, the value shall be that which existed for the greater part of the period.",element,
1108,BUFR,08,308012,7033,(see Note 3),3,"If the height of the sensor was changed during the period specified, the value shall be that which existed for the greater part of the period.",element,
1109,BUFR,08,308012,4003,(see Note 4),4,"In case of precipitation measurements, the one-month period begins at 06 UTC on the first day of the month and ends at 06 UTC on the first day of the following month.",element,
1110,BUFR,08,308012,4004,(see Note 4),4,"In case of precipitation measurements, the one-month period begins at 06 UTC on the first day of the month and ends at 06 UTC on the first day of the following month.",element,
1111,BUFR,08,308015,31001,(see Note 5),5,"Normally 1, may be 2 if both heave and slope sensors are in use, or 0 if no spectral data.",element,
1112,BUFR,08,308015,105000,(see Note 6),6,Non-directional spectra (Ib = 0 in WAVEOB) or partial directional spectra (Ib = 1 in WAVEOB with one direction per wavenumber). Count = 0 (full directional spectra) or 1 (non-directional spectra or partial directional spectra). Partial directional spectra have only one direction per wavenumber band.,element,
1113,BUFR,08,308015,22186,(see Note 7),7,Missing for non-directional spectra.,element,
1114,BUFR,08,308015,22187,(see Note 7),7,Missing for non-directional spectra.,element,
1115,BUFR,08,308015,105000,(see Note 8),8,Full directional spectra (Ib = 1 in WAVEOB with more than one direction per wavenumber band). The replication count is the number of directions per wavenumber band that should normally cover the full circle.,element,
1116,BUFR,08,308016,31001,(see Note 5),5,"Normally 1, may be 2 if both heave and slope sensors are in use, or 0 if no spectral data.",element,
1117,BUFR,08,308016,105000,(see Note 6),6,Non-directional spectra (Ib = 0 in WAVEOB) or partial directional spectra (Ib = 1 in WAVEOB with one direction per wavenumber). Count = 0 (full directional spectra) or 1 (non-directional spectra or partial directional spectra). Partial directional spectra have only one direction per wavenumber band.,element,
1118,BUFR,08,308016,22186,(see Note 7),7,Missing for non-directional spectra.,element,
1119,BUFR,08,308016,22187,(see Note 7),7,Missing for non-directional spectra.,element,
1120,BUFR,08,308016,105000,(see Note 8),8,Full directional spectra (Ib = 1 in WAVEOB with more than one direction per wavenumber band). The replication count is the number of directions per wavenumber band that should normally cover the full circle.,element,
1121,BUFR,08,308017,302064,(see Note),no id,n/a,element,
1122,BUFR,09,309021,301001,"(20) The sequences 3 09 021, 3 09 022, and 3 09 023 should not be used because they are outdated. The sequence 3 09 024, 3 09 025 and 3 09 026 respectively, should be used instead.",20,"The sequences 3 09 021, 3 09 022, and 3 09 023 should not be used because they are outdated. The sequences 3 09 024, 3 09 025 and 3 09 026, respectively, should be used instead.",element,
1123,BUFR,09,309022,301001,See Note 20,20,"The sequences 3 09 021, 3 09 022, and 3 09 023 should not be used because they are outdated. The sequences 3 09 024, 3 09 025 and 3 09 026, respectively, should be used instead.",element,
1124,BUFR,09,309023,301001,See Note 20,20,"The sequences 3 09 021, 3 09 022, and 3 09 023 should not be used because they are outdated. The sequences 3 09 024, 3 09 025 and 3 09 026, respectively, should be used instead.",element,
1125,BUFR,09,309024,4025,(13) The time period indicates the duration in minutes over which the measurements have been averaged. The end of the time period is marked by the end of scan (see above).,13,The time period indicates the duration in minutes over which the measurements have been averaged. The end of the time period is marked by the end of scan (see above).,element,
1126,BUFR,09,309024,7007,(14) The Quality information descriptor 0 33 002 at this point relates to both u-component 0 11 003 and v-component 0 11 004. It is given for each respective gate of the profile measurement.,14,The Quality information descriptor 0 33 002 at this point relates to both u-component 0 11 003 and v-component 0 11 004. It is given for each respective gate of the profile measurement.,element,
1127,BUFR,09,309024,301021,(15) The Height descriptor 0 07 007 and the Latitude/longitude descriptor 3 01 021 indicate the altitude above sea level and the horizontal position of each vertical bin of the profile measurement and not the location of the instrument itself (which is encoded in the preceding Common header sequence 3 01 132).,15,The Height descriptor 0 07 007 and the Latitude/longitude descriptor 3 01 021 indicate the altitude above sea level and the horizontal position of each vertical bin of the profile measurement and not the location of the instrument itself (which is encoded in the preceding Common header sequence 3 01 132).,element,
1128,BUFR,09,309024,33002,(16) The Quality information descriptor 0 33 002 at this point relates to the w-component 0 11 006. It is given for each respective gate of the profile measurement.,16,The Quality information descriptor 0 33 002 at this point relates to the w-component 0 11 006. It is given for each respective gate of the profile measurement.,element,
1129,BUFR,09,309025,4025,(see Note 13),13,The time period indicates the duration in minutes over which the measurements have been averaged. The end of the time period is marked by the end of scan (see above).,element,
1130,BUFR,09,309025,7007,(See Note 15),15,The Height descriptor 0 07 007 and the Latitude/longitude descriptor 3 01 021 indicate the altitude above sea level and the horizontal position of each vertical bin of the profile measurement and not the location of the instrument itself (which is encoded in the preceding Common header sequence 3 01 132).,element,
1131,BUFR,09,309025,301021,(see Note 15),15,The Height descriptor 0 07 007 and the Latitude/longitude descriptor 3 01 021 indicate the altitude above sea level and the horizontal position of each vertical bin of the profile measurement and not the location of the instrument itself (which is encoded in the preceding Common header sequence 3 01 132).,element,
1132,BUFR,09,309025,33002,(17) The Quality information descriptor 0 33 002 relates to the virtual temperature 0 12 007. It is given for each respective gate of the profile measurement.,17,The Quality information descriptor 0 33 002 relates to the Virtual temperature 0 12 007. It is given for each respective gate of the profile measurement.,element,
1133,BUFR,09,309026,8092,(18) The Measurement uncertainty expression and significance descriptors 0 08 092 and 0 08 093 relate to all parameter uncertainties provided in the backscatter data section.,18,The Measurement uncertainty expression and significance descriptors 0 08 092 and 0 08 093 relate to all parameter uncertainties provided in the Backscatter data section,element,
1134,BUFR,09,309026,8093,(see Note 15),15,The Height descriptor 0 07 007 and the Latitude/longitude descriptor 3 01 021 indicate the altitude above sea level and the horizontal position of each vertical bin of the profile measurement and not the location of the instrument itself (which is encoded in the preceding Common header sequence 3 01 132).,element,
1135,BUFR,09,309026,4025,(see Note 13),13,The time period indicates the duration in minutes over which the measurements have been averaged. The end of the time period is marked by the end of scan (see above).,element,
1136,BUFR,09,309026,7007,(see Note 15),15,The Height descriptor 0 07 007 and the Latitude/longitude descriptor 3 01 021 indicate the altitude above sea level and the horizontal position of each vertical bin of the profile measurement and not the location of the instrument itself (which is encoded in the preceding Common header sequence 3 01 132).,element,
1137,BUFR,09,309026,33002,(19) The Quality information descriptor 0 33 002 relates to all parameters provided in the Backscatter data section and is given for each respective vertical bin of the profile measurement.,19,The Quality information descriptor 0 33 002 relates to all parameters provided in the Backscatter data section and is given for each respective vertical bin of the profile measurement.,element,
1138,BUFR,09,309055,301113,(see Note 3),3,"Time of launch 3 01 113 in the sequence shall be reported with the highest possible accuracy available. If the launch time is not available with second accuracy, the entry for seconds shall be put to zero.",element,
1139,BUFR,09,309055,303055,"(see Notes 4, 5 and 6)",4,Long time displacement 0 04 086 in the sequence represents the time offset from the launch time 3 01 113 (in seconds).,element,should these notes be associated with 303055?
1140,BUFR,09,309055,303055,"(see Notes 4, 5 and 6)",5,Latitude displacement 0 05 015 in the sequence represents the latitude offset from the latitude of the launch site. Longitude displacement 0 06 015 in the sequence represents the longitude offset from the longitude of the launch site.,element,should these notes be associated with 303055?
