row #,FXY,operator name,note (github),notation (manual),notes (manual),applies to,my comments
1011,207YYY,"Increase scale, reference value and data width",n/a,4,"Nesting of operator descriptors must guarantee unambiguous interpretation. In particular, operators defined within a set of replicated descriptors must be cancelled or completed within that set, and the 2 07 operator may neither be nested within any of the 2 01, 2 02, and 2 03 operators, nor vice-versa.",element,needs verification
1012,204YYY,Add associated field,n/a,5,Nesting of the operator descriptor 2 04 is defined such that:(a) Each new definition adds to the currently defined associated field. The order of the included associated information shall correspond with the order in which the associated fields have been defined.(b) Each cancellation (2 04 000) cancels only the most recently defined addition to the associated field.,element,
1013,204YYY,Add associated field,n/a,6,"When the descriptor 2 04 YYY is to be used, it shall precede the first of the data descriptors to which it applies.",element,
1014,204YYY,Add associated field,n/a,7,"The data description operator 2 04 YYY, other than 2 04 000, shall be followed immediately by the descriptor 0 31 021 to indicate the meaning of the associated field.",element,
1015,n/a,n/a,n/a,8,"In the data stream, the 6 bits described by 0 31 021 shall precede the YYY bits.",table,is this note a part of #7?
1016,204YYY,Add associated field,n/a,9,"Once an associated field has been established and given meaning, the meaning may be changed by are-application of descriptor 0 31 021. The associated field needs not to be cancelled in order to change the meaning. Further, if an associated field is cancelled, and then re-established, it must be given a meaning by a proper application of the 0 31 021 descriptor, as described in Notes 5 to 8, i.e. a previous assignment of meaning does not remain in force when the associated field is cancelled.",element,
1017,n/a,n/a,n/a,10,"Data description operators shall not be applied to Table B, Class 31 entries.",table,
1018,205YYY,Signify character,n/a,11,The operation 2 05 permits the inclusion of plain language.,element,
1019,206YYY,Signify data width for the immediately following local descriptor,n/a,12,"The operator 2 06 YYY allows for the inclusion of local descriptors in a message, with their associated data,which can then be by-passed by a receiver of the message. It can be applied to element descriptors (F = 0)only.",element,
1020,232000,Replaced/retained values follow,n/a,13,"If ""replaced/retained"" values are indicated, this shall imply that the data element in the original part of the message has been replaced with a (presumably) better value; the original value has been retained in the message following the replaced/retained operator. If multiple replacements for the same data element are to be included, they shall be ordered such that the original datum shall be last, the first replacement shall precede it, the next precede that, etc. Each (set of) replaced/retained data values shall be indicated by the inclusion of the 2 32 000 operator.",element,
1021,232255,Replaced/retained value marker operator,n/a,13,"If ""replaced/retained"" values are indicated, this shall imply that the data element in the original part of the message has been replaced with a (presumably) better value; the original value has been retained in the message following the replaced/retained operator. If multiple replacements for the same data element are to be included, they shall be ordered such that the original datum shall be last, the first replacement shall precede it, the next precede that, etc. Each (set of) replaced/retained data values shall be indicated by the inclusion of the 2 32 000 operator.",element,
1022,223000,Substituted values operator,n/a,14,"If ""substituted values"" are indicated, this shall imply that the data element in the original part of the message is thought to be of poor quality. However, it has been left in the original message as received;an improved value has been placed within the message following the substituted values operator. If multiple substitutions for the same data element are to be included, they shall be ordered such that the first substitution shall be first, the next substitution shall follow it, the next follow that, etc. Thus, the(presumed) ""best"" value will be found at the end of the collection of substituted values. Each (set of) substituted data values shall be indicated by the inclusion of the 2 23 000 operator.",element,
1023,223255,Substituted values marker operator,n/a,14,"If ""substituted values"" are indicated, this shall imply that the data element in the original part of the message is thought to be of poor quality. However, it has been left in the original message as received;an improved value has been placed within the message following the substituted values operator. If multiple substitutions for the same data element are to be included, they shall be ordered such that the first substitution shall be first, the next substitution shall follow it, the next follow that, etc. Thus, the(presumed) ""best"" value will be found at the end of the collection of substituted values. Each (set of) substituted data values shall be indicated by the inclusion of the 2 23 000 operator.",element,
1024,221YYY,Data not present,n/a,15,"Operator 2 21 YYY allows for the construction of a BUFR message containing only coordinate (Classes 01-09), delayed replication (Class 31) and quality control information. The message could be linked back to the original data-containing message by comparison of the coordinate information in the twomessages, or, in a local context, through ""database"" information in Section 2.",element,
1025,224000,First-order statistical values follow,n/a,16,"First-order statistics have values with a similar range and the same dimensions as the corresponding reported values (e.g. maxima, minima, means).",element,
1026,224255,First-order statistical values marker operator,n/a,17,"Difference statistics are difference values; they have dimensions the same as the corresponding reported values with respect to units, but assume a range centred on zero (e.g. the difference between reported and analyzed values, the difference between reported and forecast values).",element,
1027,n/a,n/a,n/a,18,No operator descriptors are reserved for local use.,table,
