Id,Category,CategoryOfSequences_es,FXY1,Title_es,,FXY2,ElementName_es,ElementDescription_es,Note_es,noteIDs,Status
bufr4/3/02/004/2/008002,02,Secuencias meteorológicas comunes a los datos de superficie,302004,(Información general sobre nubes),,008002,Significación vertical (observaciones en,,,,Operational
bufr4/3/02/004/3/020011,02,Secuencias meteorológicas comunes a los datos de superficie,302004,(Información general sobre nubes),,020011,Nubosidad,,,,Operational
bufr4/3/02/004/4/020013,02,Secuencias meteorológicas comunes a los datos de superficie,302004,(Información general sobre nubes),,020013,Altura de la base de las nubes,,,,Operational
bufr4/3/02/004/5/020012,02,Secuencias meteorológicas comunes a los datos de superficie,302004,(Información general sobre nubes),,020012,Tipo de nubes,,,,Operational
bufr4/3/02/004/6/020012,02,Secuencias meteorológicas comunes a los datos de superficie,302004,(Información general sobre nubes),,020012,Tipo de nubes,,,,Operational
bufr4/3/02/004/7/020012,02,Secuencias meteorológicas comunes a los datos de superficie,302004,(Información general sobre nubes),,020012,Tipo de nubes,,,,Operational
bufr4/3/02/005/1/008002,02,Secuencias meteorológicas comunes a los datos de superficie,302005,(Capa de nubes),,008002,Significación vertical (observaciones en superficie),,,,Operational
bufr4/3/02/005/2/020011,02,Secuencias meteorológicas comunes a los datos de superficie,302005,(Capa de nubes),,020011,Nubosidad,,,,Operational
bufr4/3/02/005/3/020012,02,Secuencias meteorológicas comunes a los datos de superficie,302005,(Capa de nubes),,020012,Tipo de nubes,,,,Operational
bufr4/3/02/005/4/020013,02,Secuencias meteorológicas comunes a los datos de superficie,302005,(Capa de nubes),,020013,Altura de la base de las nubes,,,,Operational
bufr4/3/02/006/1/010004,02,Secuencias meteorológicas comunes a los datos de superficie,302006,(Presión y cambio de presión en 24 horas),,010004,Presión,Nivel de la estación,,,Operational
bufr4/3/02/006/2/010051,02,Secuencias meteorológicas comunes a los datos de superficie,302006,(Presión y cambio de presión en 24 horas),,010051,Presión reducida al nivel medio del mar,,,,Operational
bufr4/3/02/006/3/010062,02,Secuencias meteorológicas comunes a los datos de superficie,302006,(Presión y cambio de presión en 24 horas),,010062,Cambio de la presión en 24 horas,,,,Operational
bufr4/3/02/006/4/010063,02,Secuencias meteorológicas comunes a los datos de superficie,302006,(Presión y cambio de presión en 24 horas),,010063,Característica de la tendencia barométrica,,,,Operational
bufr4/3/02/011/1/302001,02,Secuencias meteorológicas comunes a los datos de superficie,302011,(Estación de baja altitud),,302001,Presión y cambio de presión en 3 horas,,,,Operational
bufr4/3/02/011/2/302003,02,Secuencias meteorológicas comunes a los datos de superficie,302011,(Estación de baja altitud),,302003,"Viento, temperatura, humedad, visibilidad, estado del tiempo",,,,Operational
bufr4/3/02/011/3/302004,02,Secuencias meteorológicas comunes a los datos de superficie,302011,(Estación de baja altitud),,302004,Información general sobre nubes,Capa significativa de nubes,,,Operational
bufr4/3/02/012/1/302002,02,Secuencias meteorológicas comunes a los datos de superficie,302012,(Estación de gran altitud),,302002,Estación de gran altitud,Presión y cambio de presión,,,Operational
bufr4/3/02/012/2/302003,02,Secuencias meteorológicas comunes a los datos de superficie,302012,(Estación de gran altitud),,302003,"Viento, temperatura, humedad, visibilidad, estado del tiempo",,,,Operational
bufr4/3/02/012/3/302004,02,Secuencias meteorológicas comunes a los datos de superficie,302012,(Estación de gran altitud),,302004,Información general sobre nubes,Capa significativa de nubes,,,Operational
bufr4/3/02/013/1/302006,02,Secuencias meteorológicas comunes a los datos de superficie,302013,(Informe básico de superficie),,302006,Presión y cambio de presión en 24 horas,,,,Operational
bufr4/3/02/013/2/302003,02,Secuencias meteorológicas comunes a los datos de superficie,302013,(Informe básico de superficie),,302003,"Viento, temperatura, humedad, visibilidad, estado del tiempo",,,,Operational
bufr4/3/02/013/3/101000,02,Secuencias meteorológicas comunes a los datos de superficie,302013,(Informe básico de superficie),,101000,Repetición diferida de 1 descriptor,,,,Operational
bufr4/3/02/013/4/031001,02,Secuencias meteorológicas comunes a los datos de superficie,302013,(Informe básico de superficie),,031001,Factor de repetición diferida del descriptor,,,,Operational
bufr4/3/02/013/5/302005,02,Secuencias meteorológicas comunes a los datos de superficie,302013,(Informe básico de superficie),,302005,Capa de nubes,,,,Operational
bufr4/3/02/021/1/022001,02,Secuencias meteorológicas comunes a los datos de superficie,302021,(Olas),,022001,Dirección de las olas,,,,Operational
bufr4/3/02/021/2/022011,02,Secuencias meteorológicas comunes a los datos de superficie,302021,(Olas),,022011,Período de las olas,,,,Operational
bufr4/3/02/021/3/022021,02,Secuencias meteorológicas comunes a los datos de superficie,302021,(Olas),,022021,Altura de las olas,,,,Operational
bufr4/3/02/022/1/022002,02,Secuencias meteorológicas comunes a los datos de superficie,302022,(Olas de viento),,022002,Dirección de las olas de viento,,,,Operational
bufr4/3/02/022/2/022012,02,Secuencias meteorológicas comunes a los datos de superficie,302022,(Olas de viento),,022012,Período de las olas de viento,,,,Operational
bufr4/3/02/022/3/022022,02,Secuencias meteorológicas comunes a los datos de superficie,302022,(Olas de viento),,022022,Altura de las olas de viento,,,,Operational
bufr4/3/02/023/1/022003,02,Secuencias meteorológicas comunes a los datos de superficie,302023,(Olas de mar de fondo),,022003,Dirección de las olas de mar de fondo,,,,Operational
bufr4/3/02/023/2/022013,02,Secuencias meteorológicas comunes a los datos de superficie,302023,(Olas de mar de fondo),,022013,Período de las olas de mar de fondo,,,,Operational
bufr4/3/02/023/3/022023,02,Secuencias meteorológicas comunes a los datos de superficie,302023,(Olas de mar de fondo),,022023,Altura de las olas de mar de fondo,,,,Operational
bufr4/3/02/024/1/302022,02,Secuencias meteorológicas comunes a los datos de superficie,302024,(Olas de viento y de mar de fondo),,302022,Olas de viento,,,,Operational
bufr4/3/02/024/2/101002,02,Secuencias meteorológicas comunes a los datos de superficie,302024,(Olas de viento y de mar de fondo),,101002,Repetir 1 descriptor 2 veces,,,,Operational
bufr4/3/02/024/3/302023,02,Secuencias meteorológicas comunes a los datos de superficie,302024,(Olas de viento y de mar de fondo),,302023,Olas de mar de fondo,2 sistemas de mar de fondo,,,Operational
bufr4/3/02/031/1/302001,02,Secuencias meteorológicas comunes a los datos de superficie,302031,(Información sobre la presión),,302001,Presión y cambio de presión en 3 horas,,,,Operational
bufr4/3/02/031/2/010062,02,Secuencias meteorológicas comunes a los datos de superficie,302031,(Información sobre la presión),,010062,Cambio de presión en 24 horas,,,,Operational
bufr4/3/02/031/3/007004,02,Secuencias meteorológicas comunes a los datos de superficie,302031,(Información sobre la presión),,007004,Presión,,,,Operational
bufr4/3/02/031/4/010009,02,Secuencias meteorológicas comunes a los datos de superficie,302031,(Información sobre la presión),,010009,Altura geopotencial,Nivel estándar,,,Operational
bufr4/3/02/032/1/007032,02,Secuencias meteorológicas comunes a los datos de superficie,302032,(Datos de temperatura y humedad),,007032,Altura del sensor sobre el suelo local (o la cubierta de la plataforma marina),Medición de la temperatura y la humedad,,,Operational
bufr4/3/02/032/2/012101,02,Secuencias meteorológicas comunes a los datos de superficie,302032,(Datos de temperatura y humedad),,012101,Temperatura/temperatura del aire,Escala: 2,,,Operational
bufr4/3/02/032/3/012103,02,Secuencias meteorológicas comunes a los datos de superficie,302032,(Datos de temperatura y humedad),,012103,Temperatura del punto de rocío,Escala: 2,,,Operational
bufr4/3/02/032/4/013003,02,Secuencias meteorológicas comunes a los datos de superficie,302032,(Datos de temperatura y humedad),,013003,Humedad relativa,,,,Operational
bufr4/3/02/033/1/007032,02,Secuencias meteorológicas comunes a los datos de superficie,302033,(Datos de visibilidad),,007032,Altura del sensor sobre el suelo local (o la cubierta de la plataforma marina),Medición de la visibilidad,,,Operational
bufr4/3/02/033/2/020001,02,Secuencias meteorológicas comunes a los datos de superficie,302033,(Datos de visibilidad),,020001,Visibilidad horizontal,,,,Operational
bufr4/3/02/034/1/007032,02,Secuencias meteorológicas comunes a los datos de superficie,302034,(Precipitación en las 24 horas anteriores),,007032,Altura del sensor sobre el suelo local (o la cubierta de la plataforma marina),Medición de la precipitación,,,Operational
bufr4/3/02/034/2/013023,02,Secuencias meteorológicas comunes a los datos de superficie,302034,(Precipitación en las 24 horas anteriores),,013023,Precipitación total en las 24 horas anteriores,,,,Operational
bufr4/3/02/035/1/302032,02,Secuencias meteorológicas comunes a los datos de superficie,302035,(Datos sinópticos básicos “instantáneos”),,302032,Datos de temperatura y humedad,,,,Operational
bufr4/3/02/035/2/302033,02,Secuencias meteorológicas comunes a los datos de superficie,302035,(Datos sinópticos básicos “instantáneos”),,302033,Datos de visibilidad,,,,Operational
bufr4/3/02/035/3/302034,02,Secuencias meteorológicas comunes a los datos de superficie,302035,(Datos sinópticos básicos “instantáneos”),,302034,Precipitación en las 24 horas anteriores,,,,Operational
bufr4/3/02/035/4/007032,02,Secuencias meteorológicas comunes a los datos de superficie,302035,(Datos sinópticos básicos “instantáneos”),,007032,Altura del sensor sobre el suelo local (o la cubierta de la plataforma marina),Fijar en faltante (anular),,,Operational
bufr4/3/02/035/5/302004,02,Secuencias meteorológicas comunes a los datos de superficie,302035,(Datos sinópticos básicos “instantáneos”),,302004,Información general sobre nubes,,,,Operational
bufr4/3/02/035/6/101000,02,Secuencias meteorológicas comunes a los datos de superficie,302035,(Datos sinópticos básicos “instantáneos”),,101000,Repetición diferida de 1 descriptor,,,,Operational
bufr4/3/02/035/7/031001,02,Secuencias meteorológicas comunes a los datos de superficie,302035,(Datos sinópticos básicos “instantáneos”),,031001,Factor de repetición diferida del descriptor,,,,Operational
bufr4/3/02/035/8/302005,02,Secuencias meteorológicas comunes a los datos de superficie,302035,(Datos sinópticos básicos “instantáneos”),,302005,Capa de nubes,Capa o masa nubosa individual,,,Operational
bufr4/3/02/036/1/105000,02,Secuencias meteorológicas comunes a los datos de superficie,302036,(Nubes con bases por debajo del nivel de la estación),,105000,Repetición diferida de 5 descriptores,,,,Operational
bufr4/3/02/036/2/031001,02,Secuencias meteorológicas comunes a los datos de superficie,302036,(Nubes con bases por debajo del nivel de la estación),,031001,Factor de repetición diferida del descriptor,,,,Operational
bufr4/3/02/036/3/008002,02,Secuencias meteorológicas comunes a los datos de superficie,302036,(Nubes con bases por debajo del nivel de la estación),,008002,Significación vertical (observaciones en superficie),,,,Operational
bufr4/3/02/036/4/020011,02,Secuencias meteorológicas comunes a los datos de superficie,302036,(Nubes con bases por debajo del nivel de la estación),,020011,Nubosidad,,,,Operational
bufr4/3/02/036/5/020012,02,Secuencias meteorológicas comunes a los datos de superficie,302036,(Nubes con bases por debajo del nivel de la estación),,020012,Tipo de nubes,,,,Operational
bufr4/3/02/036/6/020014,02,Secuencias meteorológicas comunes a los datos de superficie,302036,(Nubes con bases por debajo del nivel de la estación),,020014,Altura de la cima de las nubes,,,,Operational
bufr4/3/02/036/7/020017,02,Secuencias meteorológicas comunes a los datos de superficie,302036,(Nubes con bases por debajo del nivel de la estación),,020017,Descripción de la cima de las nubes,,,,Operational
bufr4/3/02/037/1/020062,02,Secuencias meteorológicas comunes a los datos de superficie,302037,"(Estado del suelo, espesor de la nieve, temperatura mínima del suelo)",,020062,Estado del suelo (con o sin nieve),,,,Operational
bufr4/3/02/037/2/013013,02,Secuencias meteorológicas comunes a los datos de superficie,302037,"(Estado del suelo, espesor de la nieve, temperatura mínima del suelo)",,013013,Espesor total de la nieve,,,,Operational
bufr4/3/02/037/3/012113,02,Secuencias meteorológicas comunes a los datos de superficie,302037,"(Estado del suelo, espesor de la nieve, temperatura mínima del suelo)",,012113,Temperatura mínima del suelo en las 12 horas anteriores,Escala: 2,,,Operational
bufr4/3/02/038/1/020003,02,Secuencias meteorológicas comunes a los datos de superficie,302038,(Tiempo presente y pasado),,020003,Tiempo presente,,,,Operational
bufr4/3/02/038/2/004024,02,Secuencias meteorológicas comunes a los datos de superficie,302038,(Tiempo presente y pasado),,004024,Período o desplazamiento de tiempo,Horas,,,Operational
bufr4/3/02/038/3/020004,02,Secuencias meteorológicas comunes a los datos de superficie,302038,(Tiempo presente y pasado),,020004,Tiempo pasado (1),,,,Operational
bufr4/3/02/038/4/020005,02,Secuencias meteorológicas comunes a los datos de superficie,302038,(Tiempo presente y pasado),,020005,Tiempo pasado (2),,,,Operational
bufr4/3/02/039/1/004024,02,Secuencias meteorológicas comunes a los datos de superficie,302039,(Tiempo presente y pasado),,004024,(Datos de insolación (de 1 hora a períodos de 24 horas)) Período o desplazamiento de tiempo,Horas,,,Operational
bufr4/3/02/039/2/014031,02,Secuencias meteorológicas comunes a los datos de superficie,302039,(Tiempo presente y pasado),,014031,Insolación total,,,,Operational
bufr4/3/02/040/1/007032,02,Secuencias meteorológicas comunes a los datos de superficie,302040,(Medición de la precipitación),,007032,Altura del sensor sobre el suelo local (o la cubierta de la plataforma marina),Medición de la precipitación,,,Operational
bufr4/3/02/040/2/102002,02,Secuencias meteorológicas comunes a los datos de superficie,302040,(Medición de la precipitación),,102002,Repetir 2 descriptores 2 veces,,,,Operational
bufr4/3/02/040/3/004024,02,Secuencias meteorológicas comunes a los datos de superficie,302040,(Medición de la precipitación),,004024,Período o desplazamiento de tiempo,Horas,,,Operational
bufr4/3/02/040/4/013011,02,Secuencias meteorológicas comunes a los datos de superficie,302040,(Medición de la precipitación),,013011,Precipitación total/equivalente total en agua,,,,Operational
bufr4/3/02/041/1/007032,02,Secuencias meteorológicas comunes a los datos de superficie,302041,(Datos de temperaturas extremas),,007032,Altura del sensor sobre el suelo local (o la cubierta de la plataforma marina),Medición de la temperatura,,,Operational
bufr4/3/02/041/2/004024,02,Secuencias meteorológicas comunes a los datos de superficie,302041,(Datos de temperaturas extremas),,004024,Período o desplazamiento de tiempo,,,,Operational
bufr4/3/02/041/3/004024,02,Secuencias meteorológicas comunes a los datos de superficie,302041,(Datos de temperaturas extremas),,004024,Período o desplazamiento de tiempo,,,,Operational
bufr4/3/02/041/4/012111,02,Secuencias meteorológicas comunes a los datos de superficie,302041,(véanse las notas 1) y 2),,012111,Temperatura máxima en altura y en un período,Escala: 2,,,Operational
bufr4/3/02/041/5/004024,02,Secuencias meteorológicas comunes a los datos de superficie,302041,(véanse las notas 1) y 2),,004024,Período o desplazamiento de tiempo,,,,Operational
bufr4/3/02/041/6/004024,02,Secuencias meteorológicas comunes a los datos de superficie,302041,(véanse las notas 1) y 2),,004024,Período o desplazamiento de tiempo,,,,Operational
bufr4/3/02/041/7/012112,02,Secuencias meteorológicas comunes a los datos de superficie,302041,(véase la nota 2),,012112,Temperatura mínima en altura y en un período especificado,Escala: 2,,,Operational
bufr4/3/02/042/1/007032,02,Secuencias meteorológicas comunes a los datos de superficie,302042,(Datos de viento),,007032,Altura del sensor sobre el suelo local (o la cubierta de la plataforma marina),Medición del viento,,,Operational
bufr4/3/02/042/2/002002,02,Secuencias meteorológicas comunes a los datos de superficie,302042,(Datos de viento),,002002,Tipo de instrumentos para la medición del viento,,,,Operational
bufr4/3/02/042/3/008021,02,Secuencias meteorológicas comunes a los datos de superficie,302042,(Datos de viento),,008021,Significación temporal,= 2 promediado en el tiempo,,,Operational
bufr4/3/02/042/4/004025,02,Secuencias meteorológicas comunes a los datos de superficie,302042,(Datos de viento),,004025,Período o desplazamiento de tiempo,"= 10 minutos, o número de minutos tras un cambio significativo del viento",,,Operational
bufr4/3/02/042/5/011001,02,Secuencias meteorológicas comunes a los datos de superficie,302042,(Datos de viento),,011001,Dirección del viento,,,,Operational
bufr4/3/02/042/6/011002,02,Secuencias meteorológicas comunes a los datos de superficie,302042,(Datos de viento),,011002,Velocidad del viento,,,,Operational
bufr4/3/02/042/7/008021,02,Secuencias meteorológicas comunes a los datos de superficie,302042,(Datos de viento),,008021,Significación temporal,Valor faltante,,,Operational
bufr4/3/02/042/8/103002,02,Secuencias meteorológicas comunes a los datos de superficie,302042,(Datos de viento),,103002,Repetir 3 descriptores 2 veces,,,,Operational
bufr4/3/02/042/9/004025,02,Secuencias meteorológicas comunes a los datos de superficie,302042,(Datos de viento),,004025,Período o desplazamiento de tiempo,Minutos,,,Operational
bufr4/3/02/042/10/011043,02,Secuencias meteorológicas comunes a los datos de superficie,302042,(Datos de viento),,011043,Dirección de las ráfagas máximas de viento,,,,Operational
bufr4/3/02/042/11/011041,02,Secuencias meteorológicas comunes a los datos de superficie,302042,(Datos de viento),,011041,Velocidad de las ráfagas máximas de viento,,,,Operational
bufr4/3/02/043/1/302038,02,Secuencias meteorológicas comunes a los datos de superficie,302043,(Datos sinópticos básicos del “período”),,302038,Tiempo presente y pasado,,,,Operational
bufr4/3/02/043/2/101002,02,Secuencias meteorológicas comunes a los datos de superficie,302043,(Datos sinópticos básicos del “período”),,101002,Replicar 1 descriptor 2 veces,,,,Operational
bufr4/3/02/043/3/302039,02,Secuencias meteorológicas comunes a los datos de superficie,302043,(Datos sinópticos básicos del “período”),,302039,Datos de insolación (de 1 hora a períodos de 24 horas),,,,Operational
bufr4/3/02/043/4/302040,02,Secuencias meteorológicas comunes a los datos de superficie,302043,(Datos sinópticos básicos del “período”),,302040,Medición de la precipitación,,,,Operational
bufr4/3/02/043/5/302041,02,Secuencias meteorológicas comunes a los datos de superficie,302043,(Datos sinópticos básicos del “período”),,302041,Datos de temperaturas extremas,,,,Operational
bufr4/3/02/043/6/302042,02,Secuencias meteorológicas comunes a los datos de superficie,302043,(Datos sinópticos básicos del “período”),,302042,Datos del viento,,,,Operational
bufr4/3/02/043/7/007032,02,Secuencias meteorológicas comunes a los datos de superficie,302043,(Datos sinópticos básicos del “período”),,007032,Altura del sensor sobre el suelo local (o la cubierta de la plataforma marina),Fijar en faltante (anular),,,Operational
bufr4/3/02/044/1/004024,02,Secuencias meteorológicas comunes a los datos de superficie,302044,(Datos de evaporación),,004024,Período o desplazamiento de tiempo,Horas,,,Operational
bufr4/3/02/044/2/002004,02,Secuencias meteorológicas comunes a los datos de superficie,302044,(Datos de evaporación),,002004,Tipo de instrumento utilizado para medir la evaporación o tipo de cultivo para el que se notifica la evapotranspiración,,,,Operational
bufr4/3/02/044/3/013033,02,Secuencias meteorológicas comunes a los datos de superficie,302044,(Datos de evaporación),,013033,Evaporación/evapotranspiración,,,,Operational
bufr4/3/02/045/1/004024,02,Secuencias meteorológicas comunes a los datos de superficie,302045,(Datos de radiación (de 1 hora a períodos de 24 horas)),,004024,Período o desplazamiento de tiempo,Horas,,,Operational
bufr4/3/02/045/2/014002,02,Secuencias meteorológicas comunes a los datos de superficie,302045,(Datos de radiación (de 1 hora a períodos de 24 horas)),,014002,"Radiación de onda larga, integrada en un período especificado",,,,Operational
bufr4/3/02/045/3/014004,02,Secuencias meteorológicas comunes a los datos de superficie,302045,(Datos de radiación (de 1 hora a períodos de 24 horas)),,014004,"Radiación de onda corta, integrada en un período especificado",,,,Operational
bufr4/3/02/045/4/014016,02,Secuencias meteorológicas comunes a los datos de superficie,302045,(Datos de radiación (de 1 hora a períodos de 24 horas)),,014016,Radiación neta integrada en un período especificado,,,,Operational
bufr4/3/02/045/5/014028,02,Secuencias meteorológicas comunes a los datos de superficie,302045,(Datos de radiación (de 1 hora a períodos de 24 horas)),,014028,"Radiación solar global (gran exactitud), integrada en un período especificado",,,,Operational
bufr4/3/02/045/6/014029,02,Secuencias meteorológicas comunes a los datos de superficie,302045,(Datos de radiación (de 1 hora a períodos de 24 horas)),,014029,"Radiación solar difusa (gran exactitud), integrada en un período especificado",,,,Operational
bufr4/3/02/045/7/014030,02,Secuencias meteorológicas comunes a los datos de superficie,302045,(Datos de radiación (de 1 hora a períodos de 24 horas)),,014030,"Radiación solar directa (gran exactitud), integrada en un período especificado",,,,Operational
bufr4/3/02/046/1/004024,02,Secuencias meteorológicas comunes a los datos de superficie,302046,(Cambio de temperatura),,004024,Período o desplazamiento de tiempo,,,,Operational
bufr4/3/02/046/2/004024,02,Secuencias meteorológicas comunes a los datos de superficie,302046,(Cambio de temperatura),,004024,Período o desplazamiento de tiempo (véase la nota 3),,,,Operational
bufr4/3/02/046/3/012049,02,Secuencias meteorológicas comunes a los datos de superficie,302046,(Cambio de temperatura),,012049,Cambio de temperatura en un período especificado,,,,Operational
bufr4/3/02/047/1/102003,02,Secuencias meteorológicas comunes a los datos de superficie,302047,(Dirección de la deriva de las nubes),,102003,Replicar 2 descriptores 3 veces,,,,Operational
bufr4/3/02/047/2/008002,02,Secuencias meteorológicas comunes a los datos de superficie,302047,(Dirección de la deriva de las nubes),,008002,Significación vertical (observaciones en superficie),,,,Operational
bufr4/3/02/047/3/020054,02,Secuencias meteorológicas comunes a los datos de superficie,302047,(Dirección de la deriva de las nubes),,020054,Dirección verdadera desde donde se desplaza un fenómeno o nubes o en la cual se observan,,,,Operational
bufr4/3/02/048/1/005021,02,Secuencias meteorológicas comunes a los datos de superficie,302048,(Dirección y elevación de las nubes),,005021,Rumbo o azimut,,,,Operational
bufr4/3/02/048/2/007021,02,Secuencias meteorológicas comunes a los datos de superficie,302048,(Dirección y elevación de las nubes),,007021,Elevación,Ángulo de elevación,,,Operational
bufr4/3/02/048/3/020012,02,Secuencias meteorológicas comunes a los datos de superficie,302048,(Dirección y elevación de las nubes),,020012,Tipo de nube,,,,Operational
bufr4/3/02/048/4/005021,02,Secuencias meteorológicas comunes a los datos de superficie,302048,(Dirección y elevación de las nubes),,005021,Rumbo o azimut,Fijar en faltante (anular),,,Operational
bufr4/3/02/048/5/007021,02,Secuencias meteorológicas comunes a los datos de superficie,302048,(Dirección y elevación de las nubes),,007021,Elevación,Fijar en faltante (anular),,,Operational
bufr4/3/02/049/1/008002,02,Secuencias meteorológicas comunes a los datos de superficie,302049,(Información sobre nubes notificada con sondeos verticales),,008002,Significación vertical (observaciones en superficie),,,,Operational
bufr4/3/02/049/2/020011,02,Secuencias meteorológicas comunes a los datos de superficie,302049,(Información sobre nubes notificada con sondeos verticales),,020011,Nubosidad,Nubes bajas o medias,,,Operational
bufr4/3/02/049/3/020013,02,Secuencias meteorológicas comunes a los datos de superficie,302049,(Información sobre nubes notificada con sondeos verticales),,020013,Altura de la base de las nubes,h,,,Operational
bufr4/3/02/049/4/020012,02,Secuencias meteorológicas comunes a los datos de superficie,302049,(Información sobre nubes notificada con sondeos verticales),,020012,Tipo de nubes,Nubes bajas CL,,,Operational
bufr4/3/02/049/5/020012,02,Secuencias meteorológicas comunes a los datos de superficie,302049,(Información sobre nubes notificada con sondeos verticales),,020012,Tipo de nubes,Nubes medias CM,,,Operational
bufr4/3/02/049/6/020012,02,Secuencias meteorológicas comunes a los datos de superficie,302049,(Información sobre nubes notificada con sondeos verticales),,020012,Tipo de nubes,Nubes altas CH,,,Operational
bufr4/3/02/049/7/008002,02,Secuencias meteorológicas comunes a los datos de superficie,302049,(Información sobre nubes notificada con sondeos verticales),,008002,Significación vertical (observaciones en superficie),Fijar en faltante,,,Operational
bufr4/3/02/050/1/008041,02,Secuencias meteorológicas comunes a los datos de superficie,302050,(Observación de radiosonda en superficie),,008041,Significación de datos,= 5 desplazamiento de observación de superficie con respecto al punto de lanzamiento,,,Operational
bufr4/3/02/050/2/005021,02,Secuencias meteorológicas comunes a los datos de superficie,302050,(Observación de radiosonda en superficie),,005021,Rumbo o azimut,,,,Operational
bufr4/3/02/050/3/007005,02,Secuencias meteorológicas comunes a los datos de superficie,302050,(Observación de radiosonda en superficie),,007005,Incremento de altura,,,,Operational
bufr4/3/02/050/4/202130,02,Secuencias meteorológicas comunes a los datos de superficie,302050,(Observación de radiosonda en superficie),,202130,Cambio escala,,,,Operational
bufr4/3/02/050/5/006021,02,Secuencias meteorológicas comunes a los datos de superficie,302050,(Observación de radiosonda en superficie),,006021,Distancia,,,,Operational
bufr4/3/02/050/6/202000,02,Secuencias meteorológicas comunes a los datos de superficie,302050,(Observación de radiosonda en superficie),,202000,Cambio de escala,Anular,,,Operational
bufr4/3/02/050/7/008041,02,Secuencias meteorológicas comunes a los datos de superficie,302050,(Observación de radiosonda en superficie),,008041,Significación de datos,= 4 observación en superficie,,,Operational
bufr4/3/02/050/8/201131,02,Secuencias meteorológicas comunes a los datos de superficie,302050,(Observación de radiosonda en superficie),,201131,Cambio de anchura de datos,,,,Operational
bufr4/3/02/050/9/202129,02,Secuencias meteorológicas comunes a los datos de superficie,302050,(Observación de radiosonda en superficie),,202129,Cambio de escala,,,,Operational
