"No","Category","CategoryOfSequences_en","FXY1","Title_en","SubTitle_en","FXY2","ElementName_en","ExistingElementName_en","Note_en","Status"
72.00,"01","Location and identification sequences","301026","(Latitude/longitude (high accuracy), time period (day, hour, minute))",,"301021","Latitude/longitude (high accuracy)","Latitude and longitude (high accuracy)",,"Operational"
73.00,"01","Location and identification sequences","301026","(Latitude/longitude (high accuracy), time period (day, hour, minute))",,"004003","Day","(Time period in days)",,"Operational"
74.00,"01","Location and identification sequences","301026","(Latitude/longitude (high accuracy), time period (day, hour, minute))",,"004003","Day","(Time period in days)",,"Operational"
75.00,"01","Location and identification sequences","301026","(Latitude/longitude (high accuracy), time period (day, hour, minute))",,"004004","Hour","(Time period in hours)",,"Operational"
76.00,"01","Location and identification sequences","301026","(Latitude/longitude (high accuracy), time period (day, hour, minute))",,"004004","Hour","(Time period in hours)",,"Operational"
77.00,"01","Location and identification sequences","301026","(Latitude/longitude (high accuracy), time period (day, hour, minute))",,"004005","Minute","(Time period in minutes)",,"Operational"
78.00,"01","Location and identification sequences","301026","(Latitude/longitude (high accuracy), time period (day, hour, minute))",,"004005","Minute","(Time period in minutes)",,"Operational"
79.00,"01","Location and identification sequences","301027","(Description of a feature in 3-D or 2-D)",,"008007","Dimensional significance","Dimensional significance (0 = Point, 1 = Line, 2 = Area, 3 = Volume)",,"Operational"
80.00,"01","Location and identification sequences","301027","(Description of a feature in 3-D or 2-D)",,"101000","Delayed replication of 1 descriptor","Delayed replication of 1 descriptor",,"Operational"
81.00,"01","Location and identification sequences","301027","(Description of a feature in 3-D or 2-D)",,"031001","Delayed descriptor replication factor","Replication factor (see Note 5)","(see Note 5)","Operational"
82.00,"01","Location and identification sequences","301027","(Description of a feature in 3-D or 2-D)",,"301028","Horizontal section of a feature described as a polygon, circle, line or point","Description of horizontal section",,"Operational"
83.00,"01","Location and identification sequences","301027","(Description of a feature in 3-D or 2-D)",,"008007","Dimensional significance","Dimensional significance, Missing = Cancel",,"Operational"
85.00,"01","Location and identification sequences","301028","(Horizontal section of a feature described as a polygon, circle, line or point)",,"008040","Flight level significance","Flight level significance",,"Operational"
86.00,"01","Location and identification sequences","301028","(Horizontal section of a feature described as a polygon, circle, line or point)",,"033042","Type of limit represented by following value","Type of limit represented by following (flight level) value",,"Operational"
87.00,"01","Location and identification sequences","301028","(Horizontal section of a feature described as a polygon, circle, line or point)",,"007010","Flight level","Flight level",,"Operational"
88.00,"01","Location and identification sequences","301028","(Horizontal section of a feature described as a polygon, circle, line or point)",,"101000","Delayed replication of 1 descriptor","Delayed replication of 1 descriptor",,"Operational"
89.00,"01","Location and identification sequences","301028","(Horizontal section of a feature described as a polygon, circle, line or point)",,"031002","Extended delayed descriptor replication factor","Extended replication factor","(see Note 6)","Operational"
90.00,"01","Location and identification sequences","301028","(Horizontal section of a feature described as a polygon, circle, line or point)",,"301023","Latitude/longitude (coarse accuracy)","Location",,"Operational"
91.00,"01","Location and identification sequences","301028","(Horizontal section of a feature described as a polygon, circle, line or point)",,"019007","Effective radius of feature","Radius of feature","(see Note 7)","Operational"
92.00,"01","Location and identification sequences","301028","(Horizontal section of a feature described as a polygon, circle, line or point)",,"008040","Flight level significance","Flight level significance, Missing = Cancel",,"Operational"
94.00,"01","Location and identification sequences","301029","(Identification)",,"001018","Short station or site name","Short station identifier",,"Operational"
95.00,"01","Location and identification sequences","301029","(Identification)",,"002001","Type of station","Type of station",,"Operational"
96.00,"01","Location and identification sequences","301029","(Identification)",,"301011","Year, month, day","Date",,"Operational"
97.00,"01","Location and identification sequences","301030","(Identification - with physical location)",,"001018","Short station or site name","Short station identifier",,"Operational"
98.00,"01","Location and identification sequences","301030","(Identification - with physical location)",,"002001","Type of station","Type of station",,"Operational"
99.00,"01","Location and identification sequences","301030","(Identification - with physical location)",,"301011","Year, month, day","Date",,"Operational"
100.00,"01","Location and identification sequences","301030","(Identification - with physical location)",,"301024","Latitude/longitude (coarse accuracy), height of station","Latitude and longitude, height",,"Operational"
101.00,"01","Location and identification sequences","301031","(Identification and type of station, date/time, location (high accuracy), height of station)",,"301001","WMO block and station numbers","WMO block and station number",,"Operational"
102.00,"01","Location and identification sequences","301031","(Identification and type of station, date/time, location (high accuracy), height of station)",,"002001","Type of station","Type of station",,"Operational"
103.00,"01","Location and identification sequences","301031","(Identification and type of station, date/time, location (high accuracy), height of station)",,"301011","Year, month, day","Date",,"Operational"
104.00,"01","Location and identification sequences","301031","(Identification and type of station, date/time, location (high accuracy), height of station)",,"301012","Hour, minute","Time",,"Operational"
105.00,"01","Location and identification sequences","301031","(Identification and type of station, date/time, location (high accuracy), height of station)",,"301022","Latitude/longitude (high accuracy), height of station","Latitude and longitude (high accuracy), height of station",,"Operational"
106.00,"01","Location and identification sequences","301032","(Identification and type of station, date/time, location (coarse accuracy), height of station)",,"301001","WMO block and station numbers","WMO block and station number",,"Operational"
107.00,"01","Location and identification sequences","301032","(Identification and type of station, date/time, location (coarse accuracy), height of station)",,"002001","Type of station","Type of station",,"Operational"
108.00,"01","Location and identification sequences","301032","(Identification and type of station, date/time, location (coarse accuracy), height of station)",,"301011","Year, month, day","Date",,"Operational"
109.00,"01","Location and identification sequences","301032","(Identification and type of station, date/time, location (coarse accuracy), height of station)",,"301012","Hour, minute","Time",,"Operational"
110.00,"01","Location and identification sequences","301032","(Identification and type of station, date/time, location (coarse accuracy), height of station)",,"301024","Latitude/longitude (coarse accuracy), height of station","Latitude and longitude (coarse accuracy), height of station",,"Operational"
111.00,"01","Location and identification sequences","301033","(Buoy/platform - fixed)",,"001005","Buoy/platform identifier","Buoy/platform identifier",,"Operational"
112.00,"01","Location and identification sequences","301033","(Buoy/platform - fixed)",,"002001","Type of station","Type of station",,"Operational"
113.00,"01","Location and identification sequences","301033","(Buoy/platform - fixed)",,"301011","Year, month, day","Date",,"Operational"
114.00,"01","Location and identification sequences","301033","(Buoy/platform - fixed)",,"301012","Hour, minute","Time",,"Operational"
115.00,"01","Location and identification sequences","301033","(Buoy/platform - fixed)",,"301021","Latitude/longitude (high accuracy)","Latitude and longitude (high accuracy)",,"Operational"
116.00,"01","Location and identification sequences","301034","(Buoy/platform - fixed)",,"001005","Buoy/platform identifier","Buoy/platform identifier",,"Operational"
117.00,"01","Location and identification sequences","301034","(Buoy/platform - fixed)",,"002001","Type of station","Type of station",,"Operational"
118.00,"01","Location and identification sequences","301034","(Buoy/platform - fixed)",,"301011","Year, month, day","Date",,"Operational"
119.00,"01","Location and identification sequences","301034","(Buoy/platform - fixed)",,"301012","Hour, minute","Time",,"Operational"
120.00,"01","Location and identification sequences","301034","(Buoy/platform - fixed)",,"301023","Latitude/longitude (coarse accuracy)","Latitude and longitude (coarse accuracy)",,"Operational"
121.00,"01","Location and identification sequences","301035","(Buoy/platform - moving)",,"001005","Buoy/platform identifier","Buoy/platform identifier","<(see Note 4)>","Operational"
122.00,"01","Location and identification sequences","301035","(Buoy/platform - moving)",,"001012","Direction of motion of moving observing platform","Direction of motion of moving observing platform",,"Operational"
123.00,"01","Location and identification sequences","301035","(Buoy/platform - moving)",,"001013","Speed of motion of moving observing platform","Speed of motion of moving observing platform",,"Operational"
124.00,"01","Location and identification sequences","301035","(Buoy/platform - moving)",,"002001","Type of station","Type of station",,"Operational"
125.00,"01","Location and identification sequences","301035","(Buoy/platform - moving)",,"301011","Year, month, day","Date",,"Operational"
126.00,"01","Location and identification sequences","301035","(Buoy/platform - moving)",,"301012","Hour, minute","Time",,"Operational"
127.00,"01","Location and identification sequences","301035","(Buoy/platform - moving)",,"301023","Latitude/longitude (coarse accuracy)","Latitude and longitude (coarse accuracy)",,"Operational"
128.00,"01","Location and identification sequences","301036","(Ship)",,"301003","Ship's call sign and motion","Ship's call sign and motion",,"Operational"
129.00,"01","Location and identification sequences","301036","(Ship)",,"002001","Type of station","Type of station",,"Operational"
130.00,"01","Location and identification sequences","301036","(Ship)",,"301011","Year, month, day","Date",,"Operational"
131.00,"01","Location and identification sequences","301036","(Ship)",,"301012","Hour, minute","Time",,"Operational"
132.00,"01","Location and identification sequences","301036","(Ship)",,"301023","Latitude/longitude (coarse accuracy)","Latitude and longitude (coarse accuracy)",,"Operational"
133.00,"01","Location and identification sequences","301037","(Land station for vertical soundings)",,"301001","WMO block and station numbers","WMO block and station number",,"Operational"
134.00,"01","Location and identification sequences","301037","(Land station for vertical soundings)",,"002011","Radiosonde type","Radiosonde type",,"Operational"
135.00,"01","Location and identification sequences","301037","(Land station for vertical soundings)",,"002012","Radiosonde computational method","Radiosonde computational method",,"Operational"
136.00,"01","Location and identification sequences","301037","(Land station for vertical soundings)",,"301011","Year, month, day","Date",,"Operational"
137.00,"01","Location and identification sequences","301037","(Land station for vertical soundings)",,"301012","Hour, minute","Time",,"Operational"
138.00,"01","Location and identification sequences","301037","(Land station for vertical soundings)",,"301022","Latitude/longitude (high accuracy), height of station","Latitude and longitude (high accuracy), height of station",,"Operational"
139.00,"01","Location and identification sequences","301038","(Land station for vertical soundings)",,"301001","WMO block and station numbers","WMO block and station number",,"Operational"
140.00,"01","Location and identification sequences","301038","(Land station for vertical soundings)",,"002011","Radiosonde type","Radiosonde type",,"Operational"
141.00,"01","Location and identification sequences","301038","(Land station for vertical soundings)",,"002012","Radiosonde computational method","Radiosonde computational method",,"Operational"
142.00,"01","Location and identification sequences","301038","(Land station for vertical soundings)",,"301011","Year, month, day","Date",,"Operational"
143.00,"01","Location and identification sequences","301038","(Land station for vertical soundings)",,"301012","Hour, minute","Time",,"Operational"
144.00,"01","Location and identification sequences","301038","(Land station for vertical soundings)",,"301024","Latitude/longitude (coarse accuracy), height of station","Latitude and longitude (coarse accuracy), height of station",,"Operational"
145.00,"01","Location and identification sequences","301039","(Ship for vertical soundings)",,"301003","Ship's call sign and motion","Ship's call sign and motion",,"Operational"
146.00,"01","Location and identification sequences","301039","(Ship for vertical soundings)",,"002011","Radiosonde type","Radiosonde type",,"Operational"
147.00,"01","Location and identification sequences","301039","(Ship for vertical soundings)",,"002012","Radiosonde computational method","Radiosonde computational method",,"Operational"
148.00,"01","Location and identification sequences","301039","(Ship for vertical soundings)",,"301011","Year, month, day","Date",,"Operational"
149.00,"01","Location and identification sequences","301039","(Ship for vertical soundings)",,"301012","Hour, minute","Time",,"Operational"
150.00,"01","Location and identification sequences","301039","(Ship for vertical soundings)",,"301023","Latitude/longitude (coarse accuracy)","Latitude and longitude (coarse accuracy)",,"Operational"
151.00,"01","Location and identification sequences","301040","(Ship for vertical soundings)",,"301003","Ship's call sign and motion","Ship's call sign and motion",,"Operational"
152.00,"01","Location and identification sequences","301040","(Ship for vertical soundings)",,"002011","Radiosonde type","Radiosonde type",,"Operational"
153.00,"01","Location and identification sequences","301040","(Ship for vertical soundings)",,"002012","Radiosonde computational method","Radiosonde computational method",,"Operational"
154.00,"01","Location and identification sequences","301040","(Ship for vertical soundings)",,"301011","Year, month, day","Date",,"Operational"
155.00,"01","Location and identification sequences","301040","(Ship for vertical soundings)",,"301012","Hour, minute","Time",,"Operational"
156.00,"01","Location and identification sequences","301040","(Ship for vertical soundings)",,"301024","Latitude/longitude (coarse accuracy), height of station","Latitude and longitude (coarse accuracy), height of station",,"Operational"
157.00,"01","Location and identification sequences","301041","(Satellite identifier, instrument, data-processing technique, date/time)",,"001007","Satellite identifier","Satellite identifier",,"Operational"
158.00,"01","Location and identification sequences","301041","(Satellite identifier, instrument, data-processing technique, date/time)",,"002021","Satellite instrument data used in processing","Satellite instrument data used in processing",,"Operational"
159.00,"01","Location and identification sequences","301041","(Satellite identifier, instrument, data-processing technique, date/time)",,"002022","Satellite data-processing technique used","Satellite data-processing technique used",,"Operational"
160.00,"01","Location and identification sequences","301041","(Satellite identifier, instrument, data-processing technique, date/time)",,"301011","Year, month, day","Date",,"Operational"
161.00,"01","Location and identification sequences","301041","(Satellite identifier, instrument, data-processing technique, date/time)",,"301012","Hour, minute","Time",,"Operational"
162.00,"01","Location and identification sequences","301042","(Satellite identifier, instrument, data-processing technique, date/time, location)",,"301041","Satellite identifier, instrument, data-processing technique, date/time","Satellite identifier, data used, and data processing technique; date/time",,"Operational"
163.00,"01","Location and identification sequences","301042","(Satellite identifier, instrument, data-processing technique, date/time, location)",,"301021","Latitude/longitude (high accuracy)","Latitude, longitude",,"Operational"
164.00,"01","Location and identification sequences","301043","(Satellite identifier, wind computation method, date/time, location)",,"001007","Satellite identifier","Satellite identifier",,"Operational"
165.00,"01","Location and identification sequences","301043","(Satellite identifier, wind computation method, date/time, location)",,"002023","Satellite-derived wind computation method","Cloud motion computational method",,"Operational"
166.00,"01","Location and identification sequences","301043","(Satellite identifier, wind computation method, date/time, location)",,"301011","Year, month, day","Date",,"Operational"
167.00,"01","Location and identification sequences","301043","(Satellite identifier, wind computation method, date/time, location)",,"301013","Hour, minute, second","Time",,"Operational"
168.00,"01","Location and identification sequences","301043","(Satellite identifier, wind computation method, date/time, location)",,"301021","Latitude/longitude (high accuracy)","Latitude, longitude",,"Operational"
169.00,"01","Location and identification sequences","301044","(Satellite identifier, humidity computation method, date/time, location)",,"001007","Satellite identifier","Satellite identifier",,"Operational"
170.00,"01","Location and identification sequences","301044","(Satellite identifier, humidity computation method, date/time, location)",,"002024","Integrated mean humidity computational method","Integrated mean humidity computational method",,"Operational"
171.00,"01","Location and identification sequences","301044","(Satellite identifier, humidity computation method, date/time, location)",,"301011","Year, month, day","Date",,"Operational"
172.00,"01","Location and identification sequences","301044","(Satellite identifier, humidity computation method, date/time, location)",,"301013","Hour, minute, second","Time",,"Operational"
173.00,"01","Location and identification sequences","301044","(Satellite identifier, humidity computation method, date/time, location)",,"301021","Latitude/longitude (high accuracy)","Latitude, longitude",,"Operational"
174.00,"01","Location and identification sequences","301045","(Satellite location and velocity)",,"301011","Year, month, day","Year, month, day",,"Operational"
175.00,"01","Location and identification sequences","301045","(Satellite location and velocity)",,"301012","Hour, minute","Time (hour, minute)",,"Operational"
176.00,"01","Location and identification sequences","301045","(Satellite location and velocity)",,"201138","Change data width","Change width to 16 bits",,"Operational"
177.00,"01","Location and identification sequences","301045","(Satellite location and velocity)",,"202131","Change scale","Change scale to 3",,"Operational"
178.00,"01","Location and identification sequences","301045","(Satellite location and velocity)",,"004006","Second","Second",,"Operational"
179.00,"01","Location and identification sequences","301045","(Satellite location and velocity)",,"201000","Change data width","Change width back to Table B",,"Operational"
180.00,"01","Location and identification sequences","301045","(Satellite location and velocity)",,"202000","Change scale","Change scale back to Table B",,"Operational"
181.00,"01","Location and identification sequences","301045","(Satellite location and velocity)",,"304030","Location of platform","Location relative to the Earth’s centre",,"Operational"
182.00,"01","Location and identification sequences","301045","(Satellite location and velocity)",,"304031","Speed of platform","Velocity relative to the Earth’s centre",,"Operational"
184.00,"01","Location and identification sequences","301046","(Satellite identifier, direction of motion, sensor, model function, software, resolution)",,"001007","Satellite identifier","Satellite identifier",,"Operational"
185.00,"01","Location and identification sequences","301046","(Satellite identifier, direction of motion, sensor, model function, software, resolution)",,"001012","Direction of motion of moving observing platform","Direction of motion of moving observing platform",,"Operational"
186.00,"01","Location and identification sequences","301046","(Satellite identifier, direction of motion, sensor, model function, software, resolution)",,"002048","Satellite sensor indicator","Satellite sensor indicator",,"Operational"
187.00,"01","Location and identification sequences","301046","(Satellite identifier, direction of motion, sensor, model function, software, resolution)",,"021119","Wind scatterometer geophysical model function","Wind scatterometer geophysical model function",,"Operational"
188.00,"01","Location and identification sequences","301046","(Satellite identifier, direction of motion, sensor, model function, software, resolution)",,"025060","Software identification","Software identification",,"Operational"
189.00,"01","Location and identification sequences","301046","(Satellite identifier, direction of motion, sensor, model function, software, resolution)",,"202124","Change scale","Change scale",,"Operational"
190.00,"01","Location and identification sequences","301046","(Satellite identifier, direction of motion, sensor, model function, software, resolution)",,"002026","Cross-track resolution","Cross-track resolution",,"Operational"
191.00,"01","Location and identification sequences","301046","(Satellite identifier, direction of motion, sensor, model function, software, resolution)",,"002027","Along-track resolution","Along-tract resolution",,"Operational"
192.00,"01","Location and identification sequences","301046","(Satellite identifier, direction of motion, sensor, model function, software, resolution)",,"202000","Change scale","Change scale back to Table B",,"Operational"
193.00,"01","Location and identification sequences","301046","(Satellite identifier, direction of motion, sensor, model function, software, resolution)",,"005040","Orbit number","Orbit number",,"Operational"
195.00,"01","Location and identification sequences","301047","(ERS product header)",,"001007","Satellite identifier","Satellite identifier",,"Operational"
196.00,"01","Location and identification sequences","301047","(ERS product header)",,"025060","Software identification","Software identification",,"Operational"
197.00,"01","Location and identification sequences","301047","(ERS product header)",,"001033","Identification of originating/generating centre","Originating/generating centre",,"Operational"
198.00,"01","Location and identification sequences","301047","(ERS product header)",,"001034","Identification of originating/generating sub-centre","Originating/generating sub-centre",,"Operational"
199.00,"01","Location and identification sequences","301047","(ERS product header)",,"001012","Direction of motion of moving observing platform","Direction of motion of moving observation platform",,"Operational"
200.00,"01","Location and identification sequences","301047","(ERS product header)",,"301045","Satellite location and velocity","Satellite location and velocity",,"Operational"
201.00,"01","Location and identification sequences","301047","(ERS product header)",,"002021","Satellite instrument data used in processing","Satellite instrument data used in processing",,"Operational"
202.00,"01","Location and identification sequences","301047","(ERS product header)",,"301011","Year, month, day","Date (year, month, day)",,"Operational"
203.00,"01","Location and identification sequences","301047","(ERS product header)",,"301012","Hour, minute","Time (hour, minute)",,"Operational"
204.00,"01","Location and identification sequences","301047","(ERS product header)",,"201138","Change data width","Change bit width to 16 bits",,"Operational"
205.00,"01","Location and identification sequences","301047","(ERS product header)",,"202131","Change scale","Change scale to 3",,"Operational"
206.00,"01","Location and identification sequences","301047","(ERS product header)",,"004006","Second","Second",,"Operational"
207.00,"01","Location and identification sequences","301047","(ERS product header)",,"201000","Change data width","Change width back to Table B",,"Operational"
208.00,"01","Location and identification sequences","301047","(ERS product header)",,"202000","Change scale","Change scale back to Table B",,"Operational"
209.00,"01","Location and identification sequences","301047","(ERS product header)",,"301023","Latitude/longitude (coarse accuracy)","Location (latitude, longitude)",,"Operational"
211.00,"01","Location and identification sequences","301048","(Radar parameters)",,"002104","Antenna polarization","Antenna polarization",,"Operational"
212.00,"01","Location and identification sequences","301048","(Radar parameters)",,"002121","Mean frequency","Mean frequency",,"Operational"
213.00,"01","Location and identification sequences","301048","(Radar parameters)",,"002113","Number of azimuth looks","Number of azimuth looks",,"Operational"
214.00,"01","Location and identification sequences","301048","(Radar parameters)",,"002026","Cross-track resolution","Cross-track resolution",,"Operational"
215.00,"01","Location and identification sequences","301048","(Radar parameters)",,"002027","Along-track resolution","Along-track resolution",,"Operational"
216.00,"01","Location and identification sequences","301048","(Radar parameters)",,"002111","Radar incidence angle","Radar incidence angle",,"Operational"
217.00,"01","Location and identification sequences","301048","(Radar parameters)",,"002140","Satellite radar beam azimuth angle","Satellite radar beam azimuth angle",,"Operational"
218.00,"01","Location and identification sequences","301048","(Radar parameters)",,"202127","Change scale","Change scale to -1",,"Operational"
219.00,"01","Location and identification sequences","301048","(Radar parameters)",,"001013","Speed of motion of moving observing platform","Radar platform velocity",,"Operational"
220.00,"01","Location and identification sequences","301048","(Radar parameters)",,"202126","Change scale","Change scale to -2",,"Operational"
221.00,"01","Location and identification sequences","301048","(Radar parameters)",,"007001","Height of station","Radar platform altitude",,"Operational"
222.00,"01","Location and identification sequences","301048","(Radar parameters)",,"202000","Change scale","Change scale to Table B",,"Operational"
223.00,"01","Location and identification sequences","301048","(Radar parameters)",,"025010","Clutter treatment","Clutter treatment",,"Operational"
224.00,"01","Location and identification sequences","301048","(Radar parameters)",,"021064","Clutter noise estimate","Clutter noise estimate",,"Operational"
226.00,"01","Location and identification sequences","301049","(Radar beam data)",,"002111","Radar incidence angle","Radar incidence angle",,"Operational"
