tableNo,tableName,noteID,notation
0 02 064,Aircraft roll angle quality,,
0 02 066,Radiosonde ground receiving system,,
0 02 070,Original specification of latitude/longitude,,
0 02 080,Balloon manufacturer,,
0 02 081,Type of balloon,,
0 02 083,Type of balloon shelter,,
0 02 084,Type of gas used in balloon,,
0 02 092,Ozone profile computation method,,
0 02 095,Type of pressure sensor,,
0 02 096,Type of temperature sensor,,
0 02 097,Type of humidity sensor,,
0 02 099,Polarization,,
0 02 101,Type of antenna,,
0 02 103,Radome,,
0 02 104,Antenna polarization,,
0 02 115,Type of surface observing equipment,,
0 02 119,RA-2 instrument operations,,
0 02 131,Sensitivity time control (STC),,
0 02 137,Radar dual PRF ratio,,
0 02 138,Antenna rotation direction,,
0 02 139,SIRAL instrument configuration,,
0 02 143,Ozone instrument type,,
0 02 144,Light source type for Brewer spectrophotometer,,
0 02 145,Wavelength setting for Dobson instruments,,
0 02 146,Source conditions for Dobson instruments,,
0 02 147,Method of transmission to collection centre,,
0 02 148,Data collection and/or location system,,
0 02 149,Type of data buoy,,
0 02 150,TOVS/ATOVS/AVHRR instrumentation channel number,,
0 02 151,Radiometer identifier,,
0 02 152,Satellite instrument used in data processing,,
0 02 158,RA-2 instrument,,
0 02 159,MWR instrument,,
0 02 160,Wave length of the radar,,
0 02 161,Wind processing method,,
0 02 162,Extended height assignment method,,
0 02 163,Height assignment method,,
0 02 164,Tracer correlation method,,
0 02 165,Radiance type flags,,
0 02 166,Radiance type,,
0 02 167,Radiance computational method,,
0 02 169,Anemometer type,,
0 02 170,Aircraft humidity sensors,,
0 02 172,Product type for retrieved atmospheric gases,,
0 02 175,Method of precipitation measurement,,
0 02 176,Method of state of ground measurement,,
0 02 177,Method of snow depth measurement,,
0 02 178,Method of liquid content measurement of precipitation,,
0 02 179,Type of sky condition algorithm,,
0 02 180,Main present weather detecting system,,
0 02 181,Supplementary present weather sensor,,
0 02 182,Visibility measurement system,,
0 02 183,Cloud detection system,,
0 02 184,Type of lightning detection sensor,,
0 02 185,Method of evaporation measurement,,
0 02 186,Capability to detect precipitation phenomena,,
0 02 187,Capability to detect other weather phenomena,,
0 02 188,Capability to detect obscuration,,
0 02 189,Capability to discriminate lightning strikes,,
0 02 191,Geopotential height calculation,,
0 03 001,Surface station type,,
0 03 003,Thermometer/hygrometer housing,,
0 03 004,Type of screen/shelter/radiation shield,,
0 03 008,Artificially ventilated screen or shield,,
0 03 010,Method of sea/water current measurement,,
0 03 011,Method of depth calculation,,
0 03 012,Instrument type/sensor for dissolved oxygen measurement,,
0 03 016,Position of road sensors,,
0 03 017,Extended type of station,,
0 03 018,Type of road,,
0 03 019,Type of construction,,
0 03 020,Material for thermometer/hygrometer housing,,
0 03 021,Hygrometer heating,,
0 03 022,Instrument owner,,
0 03 023,Configuration of louvers for thermometer/hygrometer screen,,
0 03 027,Type of flight rig,,
0 03 028,Method of snow water equivalent measurement,,
0 04 059,Times of observation used to compute the reported mean values,,
0 04 080,Averaging period for following value,,
0 05 069,Averaging period for following value,,
0 08 001,Vertical sounding significance,,
0 08 002,Vertical significance (surface observations),,
0 08 003,Vertical significance (satellite observations),,
0 08 004,Phase of aircraft flight,,
0 08 005,Meteorological attribute significance,,
0 08 006,Ozone vertical sounding significance,,
0 08 007,Dimensional significance,16,0
0 08 008,Radiation vertical sounding significance,,
0 08 009,Detailed phase of flight,,
0 08 010,Surface qualifier (for temperature data),,
0 08 011,Meteorological feature,,
0 08 012,Land/sea qualifier,,
0 08 013,Day/night qualifier,,
0 08 014,Qualifier for runway visual range,,
0 08 015,Significant qualifier for sensor,,
0 08 016,Change qualifier of a trend-type forecast or an aerodrome forecast,,
0 08 017,Qualifier of the time when the forecast change is expected,,
0 08 018,SEAWINDS land/ice surface type,,
0 08 019,Qualifier for following centre identifier,,
0 08 021,Time significance,88,3
0 08 023,First-order statistics,18,0
0 08 024,Difference statistics,36,1
0 08 025,Time difference qualifier,,
0 08 026,Matrix significance,,
0 08 029,Surface type,,
0 08 032,Status of operation,,
0 08 033,Method of derivation of percentage confidence,,
0 08 034,Temperature/salinity measurement qualifier,,
0 08 035,Type of monitoring exercise,,
0 08 036,Type of centre or station performing monitoring,,
0 08 037,Baseline check significance,,
0 08 038,Instrument data significance,,
0 08 039,Time significance (Aviation forecast),,
0 08 040,Flight level significance,,
0 08 041,Data significance,,
0 08 042,Extended vertical sounding significance,,
0 08 043,Atmospheric chemical or physical constituent type,79,0
0 08 046,Atmospheric chemical or physical constituent type,13,0
0 08 050,Qualifier for number of missing values in calculation of statistic,,
0 08 051,Qualifier for number of missing values in calculation of statistic,,
0 08 052,Condition for which number of days of occurrence follows,,
0 08 053,Day of occurrence qualifier,,
0 08 054,Qualifier for wind speed or wind gusts,,
0 08 060,Sample scanning mode significance,,
0 08 065,Sun-glint indicator,,
0 08 066,Semi-transparency indicator,,
0 08 070,Vertical sounding product qualifier,,
0 08 072,Pixel(s) type,,
0 08 074,Altimeter echo type,,
0 08 075,Ascending/descending orbit qualifier,,
0 08 076,Type of band,,
0 08 077,Radiometer sensed surface type,,
0 08 079,Product status,,
0 08 080,Qualifier for GTSPP quality flag,,
0 08 081,Type of equipment,,
0 08 082,Modification of sensor height to another value,,
0 08 083,Nominal value indicator,,
0 08 085,Beam identifier,,
0 08 086,Vertical significance for NWP,,
0 08 087,Corner position of observation,,
0 08 088,Map significance,,
0 08 091,Coordinates significance,,
0 08 092,Measurement uncertainty expression,,
0 08 093,Measurement uncertainty significance,,
0 10 063,Characteristic of pressure tendency,52,1
0 10 063,Characteristic of pressure tendency,53,2
0 10 064,SIGMET cruising level,,
0 11 030,Extended degree of turbulence,,
0 11 031,Degree of turbulence,,
0 11 037,Turbulence index,,
0 11 038,Time of occurrence of peak eddy dissipation rate,,
0 11 039,Extended time of occurrence of peak eddy dissipation rate,,
0 13 038,Superadiabatic indicator,,
0 13 039,Terrain type (ice/snow),,
0 13 040,Surface flag,,
0 13 041,Pasquill-Gifford stability category,,
0 13 051,"Frequency group, precipitation",,
0 13 056,Character and intensity of precipitation,,
0 13 057,Time of beginning or end of precipitation,,
0 15 025,Type of pollutant,,
0 19 001,Type of synoptic feature,59,0
0 19 008,Vertical extent of circulation,,
0 19 010,Method for tracking the centre of synoptic feature,,
0 19 100,Time interval to calculate the movement of the tropical cyclone,,
0 19 101,Accuracy of the position of the centre of the tropical cyclone,,
0 19 102,Shape and definition of the eye of the tropical cyclone,,
0 19 103,Diameter of major axis of the eye of the tropical cyclone,,
0 19 104,Change in character of the eye during the 30 minutes,,
0 19 105,Distance between the end of spiral band and the centre,,
0 19 107,Time interval over which the movement of the tropical cyclone has been calculated,,
0 19 108,Accuracy of geographical position of the tropical cyclone,,
0 19 109,Mean diameter of the overcast cloud of the tropical cyclone,,
0 19 110,Apparent 24-hour change in intensity of the tropical cyclone,,
0 19 113,Cloud pattern type of the DT-number,,
0 19 117,Cloud picture type of the PT-number,,
0 19 119,Type of the final T-number,,
0 20 003,Present weather,34,3
0 20 003,Present weather,43,2
0 20 003,Present weather,80,1
0 20 004/0 20 005,Past weather (1) and (2),,
0 20 006,Flight rules,,
0 20 008,Cloud distribution for aviation,,
0 20 009,General weather indicator (TAF/METAR),,
0 20 011,Cloud amount,2,2
0 20 012,Cloud type,,
0 20 017,Cloud top description,,
0 20 018,Tendency of runway visual range,,
0 20 021,Type of precipitation,57,0
0 20 022,Character of precipitation,,
0 20 023,Other weather phenomena,,
0 20 024,Intensity of phenomena,,
0 20 025,Obscuration,,
0 20 026,Character of obscuration,,
0 20 027,Phenomena occurrence,63,1
0 20 028,Expected change in intensity,,
0 20 029,Rain flag,,
0 20 032,Rate of ice accretion (estimated),,
0 20 033,Cause of ice accretion,,
0 20 034,Sea-ice concentration,,
0 20 035,Amount and type of ice,,
0 20 036,Ice situation,,
0 20 037,Ice development,,
0 20 040,Evolution of drift snow,,
0 20 041,Airframe icing,,
0 20 042,Airframe icing present,,
0 20 045,Supercooled large droplet (SLD) conditions,,
0 20 048,Evolution of feature,,
0 20 050,Cloud index,,
0 20 055,State of sky in the tropics,,
0 20 056,Cloud phase,,
0 20 062,State of the ground (with or without snow),50,2
0 20 062,State of the ground (with or without snow),54,3
0 20 062,State of the ground (with or without snow),75,1
0 20 063,Special phenomena,,
0 20 071,Accuracy of fix and rate of atmospherics,,
0 20 085,General condition of runway,,
0 20 086,Runway deposits,,
0 20 087,Runway contamination,,
0 20 089,Runway friction coefficient,,
0 20 090,Special clouds,,
0 20 101,Locust (acridian) name,,
0 20 102,Locust (maturity) colour,,
0 20 103,Stage of development of locusts,,
0 20 104,Organization state of swarm or band of locusts,,
0 20 105,Size of swarm or band of locusts and duration of passage of swarm,,
0 20 106,Locust population density,,
0 20 107,Direction of movements of locust swarm,,
0 20 108,Extent of vegetation,,
0 20 119,Lightning discharge polarity,,
0 20 124,Lightning stroke or flash,,
0 20 136,Supplementary cloud type,,
0 20 137,Evolution of clouds,,
0 20 138,Road surface condition,,
0 21 066,Wave scatterometer product confidence data,,
0 21 067,Wind product confidence data,,
0 21 068,Radar altimeter product confidence data,,
0 21 069,SST product confidence data,,
0 21 070,SST product confidence data (SADIST-2),,
0 21 072,Satellite altimeter calibration status,,
0 21 073,Satellite altimeter instrument mode,,
0 21 076,Representation of intensities,,
0 21 109,SEAWINDS wind vector cell quality,,
0 21 115,SEAWINDS sigma-0 quality,,
0 21 116,SEAWINDS sigma-0 mode,,
0 21 119,Wind scatterometer geophysical model function,,
0 21 144,Altimeter rain flag,,
0 21 148,Trailing edge variation flag,,
0 21 150,Beam co-location,,
0 21 155,Wind vector cell quality,,
0 21 158,ASCAT Kp estimate quality,,
0 21 159,ASCAT sigma-0 usability,,
0 21 169,Ice presence indicator,,
0 22 056,Direction of profile,,
0 22 060,Lagrangian drifter drogue status,,
0 22 061,State of the sea,76,2
0 22 061,State of the sea,84,1
0 22 067,Instrument type for water temperature/salinity profile measurement,8,0
0 22 068,Water temperature profile recorder types,9,0
0 22 120,Tide station automated water level check,,
0 22 121,Tide station manual water level check,,
0 22 122,Tide station automated meteorological data check,,
0 22 123,Tide station manual meteorological data check,,
0 22 178,XBT/XCTD launcher type,,
0 23 001,Accident early notification – article applicable,,
0 23 002,Activity or facility involved in incident,,
0 23 003,Type of release,,
0 23 004,Countermeasures taken near border,,
0 23 005,Cause of incident,,
0 23 006,Incident situation,,
0 23 007,Characteristics of release,,
0 23 008/0 23 009,State of current or expected release,,
0 23 016,Possibility of significant chemical toxic health effect,,
0 23 018,Release behaviour over time,,
0 23 031,Possibility that plume will encounter precipitation in State in which incident occurred,,
0 23 032,Plume will encounter change in wind direction and/or speed flag,,
0 24 003,Composition of release,,
0 25 004,Echo processing,,
0 25 005,Echo integration,,
0 25 006,Z to R conversion,,
0 25 009,Calibration method,35,0
0 25 010,Clutter treatment,,
0 25 011,Ground occultation correction (screening),,
0 25 012,Range attenuation correction,,
0 25 013,Bright-band correction,,
0 25 015,Radome attenuation correction,,
0 25 017,Precipitation attenuation correction,,
0 25 020,Mean speed estimation,,
0 25 021,Wind computation enhancement,,
0 25 022,GHRSST rejection flag,,
0 25 023,GHRSST confidence flag,,
0 25 024,GHRSST data quality,,
0 25 029,Calibration method,,
0 25 030,Running mean sea-surface temperature usage,,
0 25 031,NWP-generated vertical profile thinning method,60,0
0 25 032,Wind profiler mode information,,
0 25 033,Wind profiler submode information,,
0 25 034,Wind profiler quality control test results,,
0 25 035,Decision method for polarity,,
0 25 036,Atmospherics location method,,
0 25 040,CO2 wind product derivation,,
0 25 041,Moving platform direction reporting method,94,0
0 25 042,Moving platform speed reporting method,95,0
0 25 045,HIRS channel combination,,
0 25 046,MSU channel combination,,
0 25 047,SSU channel combination,,
0 25 048,AMSU-A channel combination,,
0 25 049,AMSU-B channel combination,,
0 25 051,AVHRR channel combination,,
0 25 053,Observation quality,,
0 25 063,Central processor or system identifier,,
0 25 069,Flight level pressure corrections,,
0 25 086,Depth correction indicator,,
0 25 090,Orbit state flag,,
0 25 093,RASS computation correction,,
0 25 095,Altimeter state flag,,
0 25 096,Radiometer state flag,,
0 25 097,Three-dimensional error estimate of the navigator orbit,,
0 25 098,Altimeter data quality flag,5,0
0 25 099,Altimeter correction quality flag,5,0
0 25 110,Image processing summary,,
0 25 112,Band specific altimeter data quality flag,5,0
0 25 113,Band specific altimeter correction quality flag,5,0
0 25 120,RA2-L2-processing flag,,
0 25 122,Hardware configuration for RF,,
0 25 123,Hardware configuration for HPA,,
0 25 124,MWR*-L2-processing flag,,
0 25 150,Method of tropical cyclone intensity analysis using satellite data,,
0 25 174,SMOS information flag,,
0 25 181,L2 processing flag,,
0 25 182,L1 processing flag,,
0 25 184,L2 product status,,
0 25 185,Encryption method,,
0 25 187,Confidence flag,,
0 25 188,Method for reducing pressure report to sea level,,
0 25 190,Altimeter echo processing mode,,
0 25 191,Altimeter tracking mode,,
0 26 010,Hours included,,
0 29 001,Projection type,,
0 29 002,Coordinate grid type,,
0 30 031,Picture type,,
0 30 032,Combination with other data,,
0 31 021,Associated field significance,19,1
0 31 021,Associated field significance,42,3
0 31 031,Data present indicator,,
0 33 002,Quality information,,
0 33 003,Quality information,,
0 33 005,Quality information (AWS data),,
0 33 006,Internal measurement status information (AWS),,
0 33 015,Data quality-check indicator,,
0 33 020,Quality control indication of following value,,
0 33 021,Quality of following value,,
0 33 022,Quality of buoy satellite transmission,,
0 33 023,Quality of buoy location,,
0 33 024,Station elevation quality mark (for mobile stations),,
0 33 025,ACARS interpolated values indicator,,
0 33 026,Moisture quality,,
0 33 027,Location quality class (range of radius of 66% confidence),,
0 33 028,Snapshot overall quality,,
0 33 030,Scan line status flags for ATOVS,49,0
0 33 031,Scan line quality flags for ATOVS,49,1
0 33 031,Scan line quality flags for ATOVS,24,2
0 33 031,Scan line quality flags for ATOVS,25,3
0 33 031,Scan line quality flags for ATOVS,27,4
0 33 032,Channel quality flags for ATOVS,17,0
0 33 033,Field of view quality flags for ATOVS,17,1
0 33 035,Manual/automatic quality control,,
0 33 037,Wind correlation error,,
0 33 038,Quality flags for ground-based GNSS data,,
0 33 039,Quality flags for radio occultation data,,
0 33 041,Attribute of following value,85,0
0 33 042,Type of limit represented by following value,,
0 33 043,AST confidence,,
0 33 044,ASAR quality information,,
0 33 047,Measurement confidence data,,
0 33 048,Confidence measure of SAR inversion,,
0 33 049,Confidence measure of wind retrieval,,
0 33 050,Global GTSPP quality flag,,
0 33 052,S band ocean retracking quality,,
0 33 053,Ku band ocean retracking quality,,
0 33 055,Wind vector quality flag,,
0 33 056,Sigma-0 quality flag,,
0 33 060,GqisFlagQual – individual IASI-System quality flag,,
0 33 066,AMV quality flag,,
0 33 070,Total ozone quality,,
0 33 071,Profile ozone quality,,
0 33 072,Ozone error,,
0 33 075,Scan-level quality flags,,
0 33 076,Calibration quality flags,,
0 33 077,Field-of-view quality flags,,
0 33 078,Geolocation quality,,
0 33 079,Granule level quality flags,,
0 33 080,Scan level quality flags,,
0 33 081,Channel data quality flags,,
0 33 082,Geolocation quality flags,,
0 33 083,Radiance data quality flags,,
0 33 084,Pixel level quality flags,,
0 33 085,Aerosol optical thickness quality flags,,
0 33 086,Quality of pixel level retrieval,,
0 33 087,Extent of satellite within South Atlantic anomaly (based on climatological data),,
0 33 088,Ozone total column quality flag,,
0 33 092,Band-specific ocean quality flag,,
0 33 093,Extended quality flags for ground-based GNSS data,,
0 35 000,FM and Regional Code number,,
0 35 001,Time frame for monitoring,,
0 35 030,Discrepancies in the availability of expected data,,
0 35 031,Qualifier on monitoring results,,
0 35 032,Cause of missing data,,
0 35 033,Observation and collection deficiencies,,
0 35 034,Statistical trends for availability of data (during the survey period(s)),,
0 35 035,Reason for termination,,
0 40 005,Soil moisture correction flag,81,0
0 40 006,Soil moisture processing flag,81,0
0 40 011,Interpolation flag,,
0 40 012,Radiometer data quality flag,,
0 40 013,Radiometer brightness temperature interpretation flag,,
0 40 020,GqisFlagQualDetailed – quality flag for the system,,
0 40 023,Auxiliary altimeter state flags,,
0 40 024,Meteorological map availability,,
0 40 025,Interpolation flag for mean diurnal tide,,
0 40 028,GMI quality flag,,
0 40 036,Lidar L2b classification type,,
0 40 043,Satellite manoeuvre indicator,,
0 40 045,Cloud formation and height assignment,,
0 40 046,Cloudiness summary,,
0 40 047,Validation flag for IASI or IASI-NG level 1 product,,
0 40 048,Validation flag of AMSU-A level 1 data flow,,
0 40 049,Cloud tests executed and results,,
0 40 050,Retrieval initialization,,
0 40 051,Convergence of the iterative retrieval,,
0 40 052,Indication of super-adiabatic and super-saturation in final retrieval,,
0 40 054,Potential processing and inputs errors,,
0 40 055,Diagnostics on the retrieval,,
0 40 056,General retrieval quality,,
0 40 057,IASI level 2 retrieval flags,,
0 40 068,General retrieval quality flag for SO2,,
0 40 074,General interferometry quality flags,,
0 42 004,Confidence of inversion for each partition of swell wave spectra,,
