noteID,note,tableAssociation
39,Non-directional spectra (Ib = 0 in WAVEOB) or partial directional spectra (Ib = 1 in WAVEOB with one direction per wave number). Count = 0 (full directional spectra) or 1 (non-directional spectra or partial directional spectra). Partial directional spectra have only one direction per wave number band.,
40,"Non-surface levels on the model’s native vertical coordinate are transposed to pressure coordinate. This makes the levels more readily intelligible for human interpretation and easier to use by generic display applications. The levels may correspond exactly to native model levels, or be interpolated between model levels to pressure levels chosen by the generating centre.",
41,"Normally 1, may be 2 if both heave and slope sensors are in use, or 0 if no spectral data.",
42,Range of value for parameter 0 04 015 limited from -99 to 99; CREX common sequence D 06 019 being the original sequence with 2 characters only for the corresponding descriptor.,
43,Separation of single level satellite data into sets of BUFR messages helps compression and results inefficient data transmission and storage.,12
44,Sequence 3 09 030 is deprecated because of incorrect usage of descriptor 0 04 015; sequence 3 09 031 should be used instead.,
45,"Some types of stations do not have the ability to identify the surface condition accurately. They can only report conditions such as ""not dry"" or ""glazed"". The code table for road surface conditions has been adjusted accordingly.",
46,The encryption keys will be managed by the Joint WMO/IOC Technical Commission for Oceanography and Marine Meteorology Focal Point on Ship Masking.,
47,The Height descriptor 0 07 007 and the Latitude/longitude descriptor 3 01 021 indicate the altitude above sea level and the horizontal position of each vertical bin of the profile measurement and not the location of the instrument itself (which is encoded in the preceding Common header sequence 3 01 132).,
48,The latitude and longitude descriptors 0 05 001 and 0 06 001 indicate the position of the instrument and not the measurement itself (which is separately encoded in the associated data sequence).,
49,The majority of stations has only one position on the road and one subsurface temperature sensor. Delayed Replications have been introduced to increase flexibility and volume efficiency.,
50,The Measurement uncertainty expression and significance descriptors 0 08 092 and 0 08 093 relate to all parameter uncertainties provided in the Backscatter data section,
51,"The number of missing years within the reference period from the calculation of normal for mean extreme air temperature should be given, if available, for both the calculation of normal maximum temperature and for the calculation of normal minimum temperature in addition to the number of missing years for the extreme air temperatures reported under 0 08 020 preceded by 0 08 050 in which figure 3 is used.",
52,The Quality information descriptor 0 33 002 at this point relates to both u-component 0 11 003 and v-component 0 11 004. It is given for each respective gate of the profile measurement.,
53,The Quality information descriptor 0 33 002 at this point relates to the w-component 0 11 006. It is given for each respective gate of the profile measurement.,
54,The Quality information descriptor 0 33 002 relates to all parameters provided in the Backscatter data section and is given for each respective vertical bin of the profile measurement.,
55,The Quality information descriptor 0 33 002 relates to the Virtual temperature 0 12 007. It is given for each respective gate of the profile measurement.,
56,"The sequences 3 09 021, 3 09 022, and 3 09 023 should not be used because they are outdated. The sequences 3 09 024, 3 09 025 and 3 09 026, respectively, should be used instead.",
57,The ship's call sign or WMO identifier should be reported using descriptor 0 01 011.,
58,"The statistic is to determine whether the following tropopause levels are minimum, maximum or spot values (missing code value).",
59,The time identification refers to the beginning of the one-month period.,
60,The time period indicates the duration in minutes over which the measurements have been averaged. The end of the time period is marked by the end of scan (see above).,
61,"The value reported for 0 19 007 shall be ""missing"" unless the horizontal section being described is a circle.",
62,These descriptors should not be used in CREX for transmission.,
63,These entries include the facility to update the Table A code figure and data description.,00
64,"This descriptor applies to the method used to select depths for the temperature profile encoded through 3 15 005. If temperatures are reported at significant depths, the values shall: (a) Be sufficient to reproduce basic features of the profile; (b) Define the top and the bottom of isothermal layers.",
65,"This replication factor shall have a value of ""1"" when a 2-D feature is being described, whereas 3-D features may be described via any one of the following methods: (a) Via two or more horizontal sections in successive ascending flight levels. In this case, each section shall be described by an identical number of latitude/longitude points listed in identical order (i.e. where each point x of section n is to be joined via a straight line to point x of section n+1), in order to ensure that the overall shape of the 3-D feature is unambiguously described. In this case, all values reported for 0 33 042 shall be ""missing"". (b) Via a single horizontal section with an appropriate value reported for 0 33 042, as follows. In all such cases, the corresponding horizontal section description applies throughout the entire region. (i) A value of ""0"" to indicate a region above (but not including) the reported flight level and with unspecified upper bound. (ii) A value of ""1"" to indicate a region above (and including) the reported flight level and with unspecified upper bound. (iii) A value of ""2"" to indicate a region below (but not including) the reported flight level and extending to the surface. (iv) A value of ""3"" to indicate a region below (and including) the reported flight level and extending to the surface. (c) Via two replications of the same horizontal section at the same reported flight level, in order to indicate a region extending both below and above (and including!) the reported flight level. In this case, the values reported for the two replications of 0 33 042 shall be as follows: (i) Values of ""3"" and ""1"", respectively, to indicate a region beginning from below a reported flight level,but continuing through that level upward to some unspecified point above (e.g. TOP ABV FL100). (ii) Values of ""1"" and ""3"", respectively, to indicate a region beginning from above a reported flight level,but continuing through that level downward to some unspecified point below (e.g. CIGS BLWFL010).",
66,"This replication factor shall have a value of ""1"" when a circle or point is being described, and it shall have a value of ""2"" when a line is being described. A polygon, on the other hand, shall be described via a sequence of three or more contiguous points in accordance with the note to code table 0 08 007.",
67,"This sequence is deprecated because it includes deprecated sequence 3 09 030; sequence 3 09 045,3 09 046, 3 09 047, 3 09 048 and 3 09 049 should be used instead of 3 09 040, 3 09 041, 3 09 042, 3 09 043 and 3 09 044, respectively.",
68,This sequence is deprecated because of incorrect usage of descriptor 0 04 075 in sequence 3 06 020; sequence 3 06 025 should be used instead.,
69,This sequence is deprecated because of incorrect usage of descriptor 0 04 075; sequence 3 06 019 should be used instead.,
70,This value is the official or best estimate of the actual elevation of the station. It is provided for comparison with the model’s virtual terrain elevation. The two can be substantially different in rugged terrain. The scale factor is increased to make the value directly comparable with 0 07 030 below.,
71,"Time of launch 3 01 113 in the sequence shall be reported with the highest possible accuracy available. If the launch time is not available with second accuracy, the entry for seconds shall be put to zero.",
72,"Time of launch shall be reported with the highest possible accuracy available. If the launch time is not available with second accuracy, the entry for seconds shall be set to zero.",
73,"To construct the required time range, descriptor 0 04 024 has to be included two times.",
74,"To represent Intensity of precipitation, type of precipitation and state of functionality, 0 20 024 (Code table), 0 20 021 (Flag table) and 0 33 005 (Flag table) are used, respectively.",
75,"Within 3 07 045, 3 07 048 and 3 07 053, maximum wind speed (gusts) shall be reported in the same units as in the original TAC data and: 0 11 085 shall be set to missing, if maximum wind speed is reported in knots or m s-1 in TAC data, 0 11 086 shall be set to missing, if maximum wind speed is reported in km h-1 or m s-1 in TAC data.",
76,"Within 3 07 045, 3 07 048 and 3 07 053, wind speed shall be reported in the same units as in the original TAC data and: 0 11 083 shall be set to missing, if wind speed is reported in knots or m s-1 in TAC data, 0 11 084 shall be set to missing, if wind speed is reported in km h-1 or m s-1 in TAC data.",
77,"Within RA III, the maximum daytime temperature and the minimum night-time temperature is reported (i.e. the ending time of the period may not be equal to the nominal time of the report). To construct the required time range, descriptor 0 04 024 has to be included two times. If the period ends at the nominal time of the report,value of the second 0 04 024 shall be set to 0.",
78,"Within RA IV, the maximum temperature at 1200 UTC is reported for the previous calendar day (i.e. the ending time of the period is not equal to the nominal time of the report). To construct the required time range, descriptor 0 04 024 has to be included two times. If the period ends at the nominal time of the report, value of the second 0 04 024 shall be set to 0",
79,"It is recommended to use 3 15 023 instead of 3 15 013.",
80,"For a discussion of 'Forecast indices from ground-based microwave radiometers for operational meteorology' see: https://doi.org/10.5194/amt-8-315-2015."
