noteID,note
19,0 15 090 is the zenith path delay due to the neutral hydrostatic atmosphere mapped onto the signal path.
20,"A cloud cover (total) value 113 shall indicate ""Sky obscured by fog and/or other meteorological phenomena""."
21,"A generating centre may wish to indicate a reference to the application that generated quality information, etc.; it may use descriptor 0 01 032 for this purpose.However, the corresponding code tables will vary from centre to centre."
22,A mapping function is an empirical projection of the zenith delay onto the path delay: Path delay = mapping function * zenith delay. It is a dimensionless real number greater than or equal to one. Different mapping functions are used for the wet and hydrostatic contributions to the delay and for the GNSS gradients.
23,"A precipitation value of -0.1 kg m-2 before scaling (-1 after scaling or in CREX) shall indicate a ""trace"" (non-measurable, less than 0.05 kg m-2)."
24,A prevailing visibility value of 10 000 m before scaling (after scaling 1000) shall be used to report prevailing visibility 10 km or more.
25,"A previously defined significance may be cancelled by transmitting a ""missing"" from the appropriate code or flag table."
26,"A snow depth value of -0.01 m before scaling (-1 after scaling or in CREX) shall indicate a little (less than 0.005 m) snow. A value of -0.02 m (-2 after scaling or inCREX) shall indicate ""snow cover not continuous""."
27,All times are Universal Time Coordinated (UTC) unless otherwise noted.
28,"An intensity of precipitation value of -0.00001 kg m-2 s-1 before scaling (-1 after scaling) and of -0.01 mm h-1 before scaling (-1 after scaling) shall indicate a ""trace""in BUFR and in CREX, respectively."
29,"An offset has been introduced for the scaled radiances (0 14 046). This is to accommodate the negative radiances which can be measured at some wave numbers,either due to effects of noise or remaining after apodization. The offset is an order of magnitude larger than the expected maximum negative excursion based on instrument noise, and so would leave sufficient margin. At the same time the dynamic range is not significantly degraded."
30,"Angle of the error defined by 0 20 112, 0 20 113 and 0 20 114. Cartesian with sign bit."
31,Angle of the error defined by 0 20 113 and 0 20 114. Cartesian with sign bit.
32,"Bearing or azimuth shall only be used with respect to a stated location, and shall not redefine that location."
33,BUFR master table version numbers are described in Common Code table C-0 and Note 2 to Section 1 of BUFR regulations.
34,"Certain sensors use a current decision above a threshold, others directly measure the voltage deflection."
35,Channel radiance (0 14 043) uses μm to represent the wave number.
36,Channel radiance (0 14 045) uses cm to represent the wave number.
37,Cloud hydrometeor concentration (0 20 130) represents the number of hydrometeors in 1 dm3.
38,Code table 0 01 032 is to be generated by each centre.
39,"Concerning descriptor 0 13 009, the originators of these data want to be able to retain the raw (i.e. unprocessed) relative humidity value reported by the sensor in order to be able to track, among other things, when a sensor begins to malfunction. The latter case is when a negative value might occur. For worldwide exchange with other countries, it is possible that only the processed data would ever be sent."
40,CREX master table version numbers are described in Common Code table C-0.
41,"Depth of fresh snow (0 13 118) set to -0.001 before scaling (-1 after scaling or in CREX) shall indicate a little snow (less than 0.0005 m). Depth of fresh snow(0 13 118) set to -0.002 before scaling (-2 after scaling or in CREX) shall indicate ""snow cover not continuous""."
42,Descriptor 0 01 020 should be used instead of 0 01 004 for encoding this element.
43,Descriptor 0 01 027 should be used instead of 0 01 026 to encode this element.
44,Descriptor 0 01 033 shall be used instead of descriptor 0 01 031 for encoding originating/generating centre. Code table 0 01 034 is to be established by the associated originating/generating centre identified by descriptor 0 01 033 and provided to the Secretariat for publication.
45,"Descriptor 0 01 082 is to be used for reporting the sequential number of the current radiosonde reporting period (e.g. synoptic cycle) within a given year or other similar locally defined length of time. Descriptor 0 01 083 is to be used in the case of multiple sequential radiosonde releases during a single reporting period (e.g. synoptic cycle), in order to indicate which particular release generated the corresponding data values."
46,Descriptor 0 02 019 should be used instead of descriptor 0 02 152 for single satellite instrument identification.
47,Descriptor 0 02 152 should be used instead of 0 02 021 for encoding this element.
48,Descriptor 0 04 041 has been replaced by the combination of 0 08 025 and 0 26 003 and should not be used for encoding this element.
49,Descriptor 0 08 025 is to be used with 0 26 003 (time difference).
50,Descriptor 0 08 033 is to be used by preceding the element 0 33 007 as part of quality control information in order to specify the method used to calculate the percentage confidence.
51,"Descriptor 0 08 090 is to be used to establish the decimal scale of one or more subsequent numerical element descriptors requiring a large dynamic range of values. The numerical element descriptor(s) will contain the scaled value of the measurement(s) with the required number of significant digits. The actual value will be obtained, at the application level, by multiplying the scaled value by the given decimal scale: (scaled value x 10 decimal scale)."
52,Descriptor 0 12 076 should be used instead of descriptor 0 12 072 to encode radiance.
53,Descriptor 0 13 033 should be used instead of descriptor 0 13 032 to encode evaporation/evapotranspiration.
54,Descriptor 0 22 004: the direction given in this entry is the direction towards which current is flowing.
55,Descriptor 0 22 040 should be used instead of 0 22 039 for encoding meteorological residual tidal elevation (surge or offset).
56,Descriptor 0 25 009 is deprecated. 0 25 029 should be used instead.
57,"Descriptor 0 25 143 is intended for numerical, non-dimensional values to be used as coefficients in statistical or linear processing. Each instance of 0 25 143 should be characterized by using an appropriate significance qualifier, such as 0 08 026."
58,Descriptor 0 26 003 is to be used with 0 08 025 (time difference qualifier).
59,"Descriptor 0 31 031, used in conjunction with quality control or statistics operators 2 22 YYY through 2 32 YYY, shall indicate the presence of quality control information when the indicator value is set to zero. It may be used in conjunction with the replication operator 1 01 YYY to construct a table of data present/not present indicators, forming a data present bit-map as defined in Regulation 94.5.5.3. This makes it possible to present quality control information and statistical information for selected data corresponding to element descriptors which precede the 2 22 YYY to 2 32 YYY operators."
60,Descriptors 0 01 012 and 0 01 013 may relate to parameters of various meanings and the corresponding values may be integrated on different periods.
61,"Difference statistics are difference values; they have dimensions similar to the corresponding reported values with respect to units, but assume a range centred on zero (e.g. the difference between reported and analysed values, the difference between reported and forecast values)."
62,"Distance shall only be used with respect to a stated location and a bearing, azimuth or elevation; it shall not redefine that location."
63,Downward radiation shall be assigned positive values.
64,Downward w-components shall be assigned positive values where units are Pa s-1.
66,East to west increments shall be assigned negative values.
68,"Elevation shall only be used with respect to a stated location and a bearing, azimuth or distance; it shall not redefine that location."
69,Emissivity is the ratio of the amount of energy emitted from a particular object compared to the amount that would be emitted by a blackbody at the same temperature(i.e. the Planck function). Multiplying by 100 gives a percent (and provides 2 digits of precision at the same time).
70,"First-order statistics have values with a similar range and the same dimensions as the corresponding reported values (e.g., maxima, minima, means)."
71,"Flash Location Processor or system identity so as to identify where the event location was developed in multi-integrated system. Typically, a value of 1."
72,"For 0 01 022, the character string representing the ""Name of feature"" should be of the form: ""Type of phenomenon"" - ""Location or geographical name"" e.g. ""volcano -Popocatepetl"", ""oil fire - Kuwait"")."
73,"For a stationary feature, both Direction of motion of feature (0 19 005) and Speed of motion of feature (0 19 006) shall be reported as 0."
74,"For an atmospheric limb sounder, the ""impact parameter"" is the distance between the ray asymptote and the centre of curvature of the Earth’s surface at the tangent point."
75,"For CREX descriptors F = B, not 0."
76,"For local table version number, see last part of Note 2 to Section 1 of BUFR regulations."
77,"For this descriptor, negative values indicate noise, poor calibration or presence of absorbing aerosols. Preserving these values allows for better subsequent estimates of calibration bias."
78,"For this descriptor, numbers greater than +6 indicate sulphur dioxide contamination, increasing in intensity as the number becomes more positive. The number is computed from a measurement in Dobson Units, but for a specific temperature and assumed concentration profile that may not be close to the true state of the atmosphere. Because of these deficiencies, it is reported as a numeric index."
79,"For this descriptor, numbers less than -1 indicate a predominance of scattering aerosols, increasing in concentration as the number becomes more negative.Numbers greater than +1 indicate a predominance of absorptive aerosols, increasing in concentration as the number becomes more positive. Numbers between -1 and +1 indicate clouds or noise."
80,"For this descriptor, the units represent the climatological standard deviation of the tropospheric ozone value for a given latitude. For example, a value of 5.0 indicatesa profile with a tropospheric ozone value 5.0 standard deviations larger than the climatological average."
81,"Gamma radiation dose rate 0 24 014 is intended to be used for reporting of this element under normal conditions, nuclear accidents excluded."
83,"Global UV irradiation (0 14 072) is UV energy integrated over period specified for spectral band specified. 0 14 072 shall be preceded by a time period descriptor and by Spectrographic wavelength (0 02 071) and Spectrographic width (0 02 072). For example, if 0 14 072 is used for global UV-B irradiation, 0 02 071 and 0 02 072shall specify spectral band 280 to 315 nm."
84,"Height of barometer above mean sea level, referring to the location of barometer of a station, does not redefine the descriptor 0 07 030."
85,"Height of sensor above local ground (or deck of marine platform) is the actual height of sensor above ground (or deck of marine platform) at the point where the sensor is located. This descriptor does not redefine the descriptors 0 07 030 or 0 07 033. Previously defined value of 0 07 032 may be cancelled by setting 0 07 032 to a""missing value""."
86,"Height of sensor above water surface is the height of sensor above water surface of sea or lake. This descriptor does not redefine descriptors 0 07 030 or 0 07 032.Previously defined value 0 07 033 may be cancelled by setting 0 07 033 to a ""missing value""."
87,"Height of station ground above mean sea level is defined as the height above mean sea level of the ground on which the rain gauge stands or, if there is no rain gauge,the ground beneath the thermometer screen. If there is neither rain gauge nor screen, it is the average level of terrain in the vicinity of the station (Reference: Guide to Meteorological Instruments and Methods of Observation (WMO-No. 8), 1996)."
88,"Ice thickness (0 13 115) shall be preceded by Surface type (0 08 029) set to 11, 12, 13 or 14 to specify river, lake, sea or glacier, respectively."
89,"If x = y = z then it is a spherical error, and the angle (see 0 20 115) will be zero."
90,"If x = y then it is a radial error, and the angle (see 0 20 114) will be zero."
91,"In descriptor 0 02 142: Ozone instrument serial number/identification is four characters long. For Japanese Dobson instruments, omit the leading digit(s)."
92,"In order to distinguish unambiguously the cases of missing data and saturated pixels, n-bit image data should be encoded using a data width of n+1. Where such a descriptor is not already available in Class 30, operator descriptor 2 01 YYY should be used to modify the data width of the existing entry as required."
93,"Left handed x, y and z axes have been chosen for descriptor 0 10 031."
94,"Left handed x, y and z axes have been chosen for descriptor 0 28 031."
95,"Left handed x, y and z axes have been chosen for descriptors 0 01 041, 0 01 042 and 0 01 043."
96,"Left-handed x, y and z axes have been chosen for descriptor 0 27 031."
98,"Master tables are described in Note 2 to Section 1 of the BUFR regulations (part of the regulation entitled ""Specifications of octet contents"")."
99,Maximum wind and effective radius of maximum wind shall be indicated by means of the 0 19 003 and 0 19 004 entries.
100,"Mean wave direction is the angle alpha 1 and principal wave direction is the angle alpha 2, in the expression S(f, alpha) approximately equals:c11 × (0.5 + r1 × cos (alpha - alpha 1) + r2 × cos (2 (alpha - alpha 2))) / piin which S(f, alpha) is the wave directional spectrum and c11 is the non-directional spectrum, and the right hand side of this expression is the first two terms of the Fourier series expansion of S(f, alpha). If the mean and principal directions differ significantly (e.g. more than 15 degrees) for a given frequency, crossing seas are indicated."
102,"Minimum signal level acceptable for processing, e.g. 0.005 V or 5 mV, or typically just above the noise floor of the detector."
103,Modified residual calculated from the loci of the sensors and signal to noise ratios for the flash.
104,"Must be preceded by 0 08 090, possibly with intervening operators. The value is 10x multiplied by the encoded value, where x is the value associated with the preceding 0 08 090 descriptor. The encoded value is the actual value multiplied by 10-x."
105,Negative time periods or displacements shall be used to indicate time periods or displacements preceding the currently defined time.
107,"Additional information: 0 22 097 nominal input range 0 - 10000; 0 22 098 nominal input range 0 - 10000; 0 22 099 nominal input range 0 - 359; 0 22 100 nominal input range 0 - 359; 0 22 101 nominal input range 0 - 2 x 106, but may be greater because of uncertainty."
110,North to south increments shall be assigned negative values.
111,Note that descriptor 0 02 140 is the azimuth angle measured anticlockwise from satellite heading vector.
113,Other applications of the data present indicator may be developed.
114,Piece-Wise Linear Regression-cube and is a first-guess optimal estimation method.
115,Pixel data width can be changed with descriptor 2 01 YYY.
116,"Regarding data from ground-based stations, this descriptor should be used for archived data only. Descriptors 0 07 030 and 0 07 031 should be used and preferred to represent ground elevation and elevation of barometer, respectively, as defined in Weather Reporting (WMO-No. 9), Volume A - Observing Stations. Regarding marine stations, this descriptor refers to the height above mean sea level of the deck of marine platform where the instruments stand."
117,"Representative height of sensor above station is the standard height of a sensor required by WMO documentation. The value of the following meteorological elements should be adjusted using a formula. For example, standard height recommended in WMO documentation for surface wind sensors is 10 metres. If the sensor is placed at a different height, the wind speed may be adjusted using a formula."
118,"Significant present or forecast weather (0 20 019) and Significant recent weather phenomena (0 20 020) shall be used in accordance with Code table 4678(Reference: Manual on Codes (WMO-No. 306), Volume I.1)."
119,"Since the two lifted indices (0 13 042 and 0 13 043) are defined as temperature differences, they may take on negative values, even though the units are kelvin; hence the non-zero reference value."
120,"Snow cover will be reported for each satellite pixel as a percentage of coverage of the pixel. It does not seem feasible to try to use existing descriptor 0 20 062 for such a purpose because the use of that descriptor additionally implies details on, e.g. snow drifts, wet compared to dry snow that a satellite obviously cannot accurately detect."
121,Some indication of expected accuracy may be implied in conjunction with certain elements in this class.
122,South latitude shall be assigned negative values.
123,South to north v-components shall be assigned positive values.
124,"Square of off-nadir angle computed from Ku waveform-derived parameters, Unit 10-4 deg2, Common minimum value 0, Common maximum value 900."
125,Stationary position of ship shall be reported by 0 01 012 set to 0 and 0 01 013 set to 0. Course of ship unknown (Ds = 9) shall be reported by 0 01 012 set to 509.
126,Surface wind direction measured at a station within 1° of the North Pole or within 1° of the South Pole shall be reported in such a way that the azimuth ring shall be aligned with its zero coinciding with the Greenwich 0° meridian.
127,"The ""delayed descriptor and data repetition factor"" is intended for run-length encoding (e.g. scanning an image). It specifies a count N which applies to both descriptor and data, i.e. the value of the single element defined by the following descriptor is repeated N times (at intervals already specified)."
128,"The ""geoid undulation"" is the difference between the reference ellipsoid (WGS-84) and the geoid height (EGM96) at the geographic location of the observation, both referenced to the centre of mass of the Earth."
129,"The ""Modified Showalter stability index"" is defined as the temperature difference between the ambient 500-hPa temperature and the temperature a parcel of air,initially at a selected base level, would have if brought from its condensation level to the 500-hPa surface by a moist adiabatic process. Positive values denote stable conditions, while negative values denote unstable conditions. The base level is 850 hPa, 800 hPa or 750 hPa if the station elevation is less than 1000, 1000 to 1400 or 1401 to 2000 gpm above mean sea level, respectively."
130,"The ""parcel lifted index"" (as defined in the International Meteorological Vocabulary (WMO-No. 182) under the listing ""lifted index"") is defined as the temperature difference between the ambient 500-hPa temperature (T500) and that of a parcel of air lifted from the surface (Tparcel) following the dry and moist adiabatic process.Negative values of (T500 - Tparcel) suggest instability. The ""best lifted index"" is defined as the most unstable of a collection of parcel lifted indices, with parcel initial conditions defined for a collection of 30-hPa thick layers stacked one upon the other with the lowest resting on the ground. Commonly four to six such layers are used in the calculation."
131,The actual meaning of this quantity may be obtained from the originator of the data.
132,The alternate latitude may be used when the computation of the position yields multiple solutions and there is no a priori way to distinguish between them.
133,The alternate longitude may be used when the computation of the position yields multiple solutions and there is no a priori way to distinguish between them.
134,"The components of absolute platform velocity (0 01 041, 0 01 042, 0 01 043) are defined as follows:- First component: From the Earth's centre to 0 degree longitude at the Equator: velocity of the platform along this line relative to the Earth's centre.- Second component: From the Earth's centre to 90 degrees East longitude at the Equator: velocity of the platform along this line relative to the Earth's centre.- Third component: From the Earth's centre to the north pole: velocity of the platform along this line relative to the Earth's centre."
135,"The data width for descriptor 0 20 038 originally defined to be 12 is wrong. 9 bits are sufficient as for all the other ""degree true"" quantities. However, the 12-bit width is maintained for historical consistency. Also: A bearing of ice edge value 0 shall indicate ""Ship in shore or flaw lead""."
136,The direction given in this entry is the direction which waves are coming from.
137,The dominant wave is the one that has the maximum energy in the energy spectrum.
138,The effective radius of feature shall be defined with respect to the radius of the 1000-hPa isobars at mean sea level.
139,The maximum deployment depth of deep-ocean tsunameters such as the PMEL Deep-Ocean Assessment and Reporting of Tsunamis (DART II) is about 6 000 m.
140,The pixel size on horizontal - 1 is given at location where map scale factor is unity.
141,The pixel size on horizontal - 2 is given at location where map scale factor is unity.
142,"The refractivity, N, is related to the refractive index, n, by the formula N = 106 (n - 1). N is therefore dimensionless but values computed by the formula are by convention described as being in ""N units""."
143,The satellite location counter is calculated as:counter = superswath No. x 1000 + box No. x 10 + minibox No.
144,The satellite sublocation dimension is calculated as:dimension = minibox dimension + box dimension where: minibox dimension = lines x 1000 + spots x 100 box dimension = lines x 10 + spots
145,The significance of time periods or displacements may be indicated using the time significance code corresponding to table reference 0 08 021.
146,The significant wave height is defined as four times the square root of the energy spectrum integrated over direction and frequency. It corresponds to about the height that one third of all waves exceed.
147,The steadiness factor (descriptor 0 11 019) is the ratio of speed of the monthly mean vector wind to the speed of the monthly mean scalar wind expressed as a percentage. It is reported to the nearest one percent.
148,"The storm identifier (descriptor 0 01 025) has the following meaning: the first two characters shall be a numeric sequence number assigned by the originator of the message; the third character is a letter indicating the ocean basin where the storm is located, as follows:W NW Pacific OceanE NE Pacific Ocean to 140°WC NE Pacific Ocean 140°W - 180°WL N Atlantic Ocean, including Caribbean and Gulf of Mexico A N Arabian Sea B Bay of Bengal S S Indian Ocean P S Pacific Ocean F RSMC Nadi's zone in South Pacific U Australia O South China Sea T East China Sea There is no requirement that differing observers coordinate sequence numbers even though they both may be reporting the same storm."
149,"The time location, when used with forecast values, shall indicate the time of the initial state for the forecast, or the beginning of the forecast period; when used with ensemble means of forecast values, the time location shall indicate the initial state or the beginning of the first forecast over which ensemble means are derived."
150,The value for descriptor 0 10 031 has been chosen to be suitable for polar orbiting satellites in approximately Sun-synchronous orbits. Geostationary orbits would require greater data widths for distance and slightly less for speed.
151,The value for descriptor 0 27 031 has been chosen to be suitable for polar orbiting satellites in approximately Sun-synchronous orbits. Geostationary orbits would require greater data widths for distance and slightly less for speed.
152,The value for descriptor 0 28 031 has been chosen to be suitable for polar orbiting satellites in approximately Sun-synchronous orbits. Geostationary orbits would require greater data widths for distance and slightly less for speed.
153,"The value of this feature could be a string of characters, which contain the name of the model and other useful elements such as the model mesh."
154,"The values for descriptors 0 01 041, 0 01 042 and 0 01 043 have been chosen to be suitable for polar orbiting satellites in approximately Sun-synchronous orbits. Geostationary orbits would require greater data widths for distance and slightly less for speed."
155,This class may also contain elements relating to observational procedures.
156,This class shall contain elements to describe the instrumentation used to obtain the meteorological elements reported.
157,This constant is defined as follows: Z = P + radar constant where Z = the reflectivity of target in beam direction (dBZ); P = the input receiver power above 1 mW (dBm). This constant is used to normalize the signal to the equivalent 100 km range.
158,"Time periods or displacements and time increments require an initial time location to be defined prior to their use, followed where appropriate by a time significance definition."
159,"True direction of a phenomenon or clouds (0 20 054) shall be used to indicate true direction from which a phenomenon or clouds are moving or in which they are observed. 0 20 054 value 0 shall indicate ""stationary or no clouds"" or ""observed at the station"", whereas value 500 shall indicate ""observed in all directions"" and value 501 shall indicate ""unknown or clouds invisible""."
160,Upward radiation shall be assigned negative values.
161,Upward w-components shall be assigned positive values where units are m s-1.
162,Useful ranges used above:1011 Bq to 1019 Bq for releases;10-2 Bq to 107 Bq and 10-2 mSv to 107 mSv for concentration and doses.
163,Values of latitude and latitude increments are limited to the range -90 degrees to +90 degrees.
164,Values of longitude are limited to the range -180 degrees to +180 degrees.
165,Vertical elements and pressure shall be used to define values of these elements independent of the element or variable denoting the vertical coordinate.
166,West longitude shall be assigned negative values.
167,West to east u-components shall be assigned positive values.
168,"When defining an event for use with descriptor 0 33 045 or 0 33 046, descriptor 0 33 042 may be employed in order to indicate that the following value is actually abound for a range of values."
169,"When descriptor 0 08 043 is used to specify particulate matter (PM) under a given size threshold, descriptor 0 08 045 may also be used to further specify a subset of the PM population on the basis of ion composition."
170,"When encoding height of cloud base between 20 050 and 21 000 m, 0 20 013 shall be set to 20 050; when encoding height of cloud base above 21 000 m, 0 20 013 shall be set to 20 060."
171,"When encoding past weather reported from an automatic weather station, the appropriate combination of descriptors 0 20 021, 0 20 022, 0 20 023, 0 20 024, 0 20 025,0 20 026 and 0 20 027 should be used and preferred. Descriptors 0 20 004 or 0 20 005 should be used only when descriptors mentioned above are not applicable."
172,"When encoding present weather reported from an automatic weather station, the appropriate combination of descriptors 0 20 021, 0 20 022, 0 20 023, 0 20 024,0 20 025, 0 20 026 and 0 20 027 should be used and preferred. Descriptor 0 20 003 should be used only when descriptors mentioned above are not applicable."
173,"When using descriptor 0 33 045 or 0 33 046, operator 2 41 000 shall be used in order to define the following event to which the reported probability value applies."
174,"When using descriptor 0 33 046, operator 2 42 000 shall precede the occurrence of this descriptor in order to define the event upon which the reported probability value is conditioned."
175,"Where a centre other than the originating centre generates quality information, replacement or substitute values, and/or statistical information, the centre may be indicated by using 0 01 033."
176,"Where more than one time period or displacement is required to define complex time structures, they shall be defined in immediate succession, and the following ordering shall apply: ensemble period (if required), followed by forecast period (if required), followed by period for averaging or accumulation (if required)."
177,"Where the expression ""at height and over period specified"" is entered under element name, an appropriate vertical location shall be specified using descriptors from Class 07, together with an appropriate period using descriptors from Class 04."
178,"Where the expression ""period specified"" is entered under element name, an appropriate period shall be specified using descriptors from Class 04."
179,"Where values are accumulated or averaged (for example over a time period), the total number of values from which the accumulated or averaged values are obtained may be represented using reference 0 08 022."
180,"Wind reporting standards: Speed Direction No observation Missing Missing Calm 0 0 Normal observation > 0 1° - 360° Speed only > 0 Missing Direction only Missing 1°-360° ""Light and variable"" > 0 0"
181,"Wind waves and waves reporting standards:Observation Speed Direction No observation Missing Missing Calm 0 0 Normal observation >0 1-360 Speed only >0 Missing Direction only Missing 1-360""Light and variable"" >0 0"
182,"WMO long storm name (descriptor 0 01 027): the storm name ""Nameless"" shall be used in those cases where an identifiable tropical disturbance has not reached tropical storm strength and has not been assigned an official name."
183,"X offset is the distance between the projection origin and the upper left corner of the upper left pixel in a map, as shown in the following diagram: {{image}}."
184,"Y offset is the distance between the projection origin and the upper left corner of the upper left pixel in a map, as shown in the following diagram: {{image}}. "
