"No","Category","CategoryOfSequences_en","FXY1","Title_en","SubTitle_en","FXY2","ElementName_en","ExistingElementName_en","Note_en","Status"
58.00,"01","Location and identification sequences","D01014","(Time period)",,"D01012","Hour, minute","Hour, minute",,"Operational"
59.00,"01","Location and identification sequences","D01021","(Latitude/longitude (high accuracy))",,"B05001","Latitude (high accuracy)","Latitude (high accuracy)",,"Operational"
60.00,"01","Location and identification sequences","D01021","(Latitude/longitude (high accuracy))",,"B06001","Longitude (high accuracy)","Longitude (high accuracy)",,"Operational"
61.00,"01","Location and identification sequences","D01022","(Latitude/longitude (high accuracy), height of station)",,"B05001","Latitude (high accuracy)","Latitude (high accuracy)",,"Operational"
62.00,"01","Location and identification sequences","D01022","(Latitude/longitude (high accuracy), height of station)",,"B06001","Longitude (high accuracy)","Longitude (high accuracy)",,"Operational"
63.00,"01","Location and identification sequences","D01022","(Latitude/longitude (high accuracy), height of station)",,"B07001","Height of station","Height of station",,"Operational"
64.00,"01","Location and identification sequences","D01023","(Latitude/longitude (coarse accuracy))",,"B05002","Latitude (coarse accuracy)","Latitude (coarse accuracy)",,"Operational"
65.00,"01","Location and identification sequences","D01023","(Latitude/longitude (coarse accuracy))",,"B06002","Longitude (coarse accuracy)","Longitude (coarse accuracy)",,"Operational"
66.00,"01","Location and identification sequences","D01024","(Latitude/longitude (coarse accuracy), height of station)",,"B05002","Latitude (coarse accuracy)","Latitude (coarse accuracy)",,"Operational"
67.00,"01","Location and identification sequences","D01024","(Latitude/longitude (coarse accuracy), height of station)",,"B06002","Longitude (coarse accuracy)","Longitude (coarse accuracy)",,"Operational"
68.00,"01","Location and identification sequences","D01024","(Latitude/longitude (coarse accuracy), height of station)",,"B07001","Height of station","Height of station",,"Operational"
69.00,"01","Location and identification sequences","D01025","(Latitude/longitude (coarse accuracy), day/time)",,"D01023","Latitude/longitude (coarse accuracy)","Latitude and longitude (coarse accuracy)",,"Operational"
70.00,"01","Location and identification sequences","D01025","(Latitude/longitude (coarse accuracy), day/time)",,"B04003","Day","Day",,"Operational"
71.00,"01","Location and identification sequences","D01025","(Latitude/longitude (coarse accuracy), day/time)",,"D01012","Hour, minute","Time",,"Operational"
72.00,"01","Location and identification sequences","D01026","(Latitude/longitude (high accuracy), time period (day, hour, minute))",,"D01021","Latitude/longitude (high accuracy)","Latitude and longitude (high accuracy)",,"Operational"
73.00,"01","Location and identification sequences","D01026","(Latitude/longitude (high accuracy), time period (day, hour, minute))",,"B04003","Day","(Time period in days)",,"Operational"
74.00,"01","Location and identification sequences","D01026","(Latitude/longitude (high accuracy), time period (day, hour, minute))",,"B04003","Day","(Time period in days)",,"Operational"
75.00,"01","Location and identification sequences","D01026","(Latitude/longitude (high accuracy), time period (day, hour, minute))",,"B04004","Hour","(Time period in hours)",,"Operational"
76.00,"01","Location and identification sequences","D01026","(Latitude/longitude (high accuracy), time period (day, hour, minute))",,"B04004","Hour","(Time period in hours)",,"Operational"
77.00,"01","Location and identification sequences","D01026","(Latitude/longitude (high accuracy), time period (day, hour, minute))",,"B04005","Minute","(Time period in minutes)",,"Operational"
78.00,"01","Location and identification sequences","D01026","(Latitude/longitude (high accuracy), time period (day, hour, minute))",,"B04005","Minute","(Time period in minutes)",,"Operational"
94.00,"01","Location and identification sequences","D01029","(Identification)",,"B01018","Short station or site name","Short station identifier",,"Operational"
95.00,"01","Location and identification sequences","D01029","(Identification)",,"B02001","Type of station","Type of station",,"Operational"
96.00,"01","Location and identification sequences","D01029","(Identification)",,"D01011","Year, month, day","Date",,"Operational"
97.00,"01","Location and identification sequences","D01030","(Identification - with physical location)",,"B01018","Short station or site name","Short station identifier",,"Operational"
98.00,"01","Location and identification sequences","D01030","(Identification - with physical location)",,"B02001","Type of station","Type of station",,"Operational"
99.00,"01","Location and identification sequences","D01030","(Identification - with physical location)",,"D01011","Year, month, day","Date",,"Operational"
100.00,"01","Location and identification sequences","D01030","(Identification - with physical location)",,"D01024","Latitude/longitude (coarse accuracy), height of station","Latitude and longitude, height",,"Operational"
101.00,"01","Location and identification sequences","D01031","(Identification and type of station, date/time, location (high accuracy), height of station)",,"D01001","WMO block and station numbers","WMO block and station number",,"Operational"
102.00,"01","Location and identification sequences","D01031","(Identification and type of station, date/time, location (high accuracy), height of station)",,"B02001","Type of station","Type of station",,"Operational"
103.00,"01","Location and identification sequences","D01031","(Identification and type of station, date/time, location (high accuracy), height of station)",,"D01011","Year, month, day","Date",,"Operational"
104.00,"01","Location and identification sequences","D01031","(Identification and type of station, date/time, location (high accuracy), height of station)",,"D01012","Hour, minute","Time",,"Operational"
105.00,"01","Location and identification sequences","D01031","(Identification and type of station, date/time, location (high accuracy), height of station)",,"D01022","Latitude/longitude (high accuracy), height of station","Latitude and longitude (high accuracy), height of station",,"Operational"
106.00,"01","Location and identification sequences","D01032","(Identification and type of station, date/time, location (coarse accuracy), height of station)",,"D01001","WMO block and station numbers","WMO block and station number",,"Operational"
107.00,"01","Location and identification sequences","D01032","(Identification and type of station, date/time, location (coarse accuracy), height of station)",,"B02001","Type of station","Type of station",,"Operational"
108.00,"01","Location and identification sequences","D01032","(Identification and type of station, date/time, location (coarse accuracy), height of station)",,"D01011","Year, month, day","Date",,"Operational"
109.00,"01","Location and identification sequences","D01032","(Identification and type of station, date/time, location (coarse accuracy), height of station)",,"D01012","Hour, minute","Time",,"Operational"
110.00,"01","Location and identification sequences","D01032","(Identification and type of station, date/time, location (coarse accuracy), height of station)",,"D01024","Latitude/longitude (coarse accuracy), height of station","Latitude and longitude (coarse accuracy), height of station",,"Operational"
111.00,"01","Location and identification sequences","D01033","(Buoy/platform - fixed)",,"B01005","Buoy/platform identifier","Buoy/platform identifier",,"Operational"
112.00,"01","Location and identification sequences","D01033","(Buoy/platform - fixed)",,"B02001","Type of station","Type of station",,"Operational"
113.00,"01","Location and identification sequences","D01033","(Buoy/platform - fixed)",,"D01011","Year, month, day","Date",,"Operational"
114.00,"01","Location and identification sequences","D01033","(Buoy/platform - fixed)",,"D01012","Hour, minute","Time",,"Operational"
115.00,"01","Location and identification sequences","D01033","(Buoy/platform - fixed)",,"D01021","Latitude/longitude (high accuracy)","Latitude and longitude (high accuracy)",,"Operational"
116.00,"01","Location and identification sequences","D01034","(Buoy/platform - fixed)",,"B01005","Buoy/platform identifier","Buoy/platform identifier",,"Operational"
117.00,"01","Location and identification sequences","D01034","(Buoy/platform - fixed)",,"B02001","Type of station","Type of station",,"Operational"
118.00,"01","Location and identification sequences","D01034","(Buoy/platform - fixed)",,"D01011","Year, month, day","Date",,"Operational"
119.00,"01","Location and identification sequences","D01034","(Buoy/platform - fixed)",,"D01012","Hour, minute","Time",,"Operational"
120.00,"01","Location and identification sequences","D01034","(Buoy/platform - fixed)",,"D01023","Latitude/longitude (coarse accuracy)","Latitude and longitude (coarse accuracy)",,"Operational"
121.00,"01","Location and identification sequences","D01035","(Buoy/platform - moving)",,"B01005","Buoy/platform identifier","Buoy/platform identifier","<(see Note 4)>","Operational"
122.00,"01","Location and identification sequences","D01035","(Buoy/platform - moving)",,"B01012","Direction of motion of moving observing platform","Direction of motion of moving observing platform",,"Operational"
123.00,"01","Location and identification sequences","D01035","(Buoy/platform - moving)",,"B01013","Speed of motion of moving observing platform","Speed of motion of moving observing platform",,"Operational"
124.00,"01","Location and identification sequences","D01035","(Buoy/platform - moving)",,"B02001","Type of station","Type of station",,"Operational"
125.00,"01","Location and identification sequences","D01035","(Buoy/platform - moving)",,"D01011","Year, month, day","Date",,"Operational"
126.00,"01","Location and identification sequences","D01035","(Buoy/platform - moving)",,"D01012","Hour, minute","Time",,"Operational"
127.00,"01","Location and identification sequences","D01035","(Buoy/platform - moving)",,"D01023","Latitude/longitude (coarse accuracy)","Latitude and longitude (coarse accuracy)",,"Operational"
128.00,"01","Location and identification sequences","D01036","(Ship)",,"D01003","Ship's call sign and motion","Ship's call sign and motion",,"Operational"
129.00,"01","Location and identification sequences","D01036","(Ship)",,"B02001","Type of station","Type of station",,"Operational"
130.00,"01","Location and identification sequences","D01036","(Ship)",,"D01011","Year, month, day","Date",,"Operational"
131.00,"01","Location and identification sequences","D01036","(Ship)",,"D01012","Hour, minute","Time",,"Operational"
132.00,"01","Location and identification sequences","D01036","(Ship)",,"D01023","Latitude/longitude (coarse accuracy)","Latitude and longitude (coarse accuracy)",,"Operational"
133.00,"01","Location and identification sequences","D01037","(Land station for vertical soundings)",,"D01001","WMO block and station numbers","WMO block and station number",,"Operational"
134.00,"01","Location and identification sequences","D01037","(Land station for vertical soundings)",,"B02011","Radiosonde type","Radiosonde type",,"Operational"
135.00,"01","Location and identification sequences","D01037","(Land station for vertical soundings)",,"B02012","Radiosonde computational method","Radiosonde computational method",,"Operational"
136.00,"01","Location and identification sequences","D01037","(Land station for vertical soundings)",,"D01011","Year, month, day","Date",,"Operational"
137.00,"01","Location and identification sequences","D01037","(Land station for vertical soundings)",,"D01012","Hour, minute","Time",,"Operational"
138.00,"01","Location and identification sequences","D01037","(Land station for vertical soundings)",,"D01022","Latitude/longitude (high accuracy), height of station","Latitude and longitude (high accuracy), height of station",,"Operational"
139.00,"01","Location and identification sequences","D01038","(Land station for vertical soundings)",,"D01001","WMO block and station numbers","WMO block and station number",,"Operational"
140.00,"01","Location and identification sequences","D01038","(Land station for vertical soundings)",,"B02011","Radiosonde type","Radiosonde type",,"Operational"
141.00,"01","Location and identification sequences","D01038","(Land station for vertical soundings)",,"B02012","Radiosonde computational method","Radiosonde computational method",,"Operational"
142.00,"01","Location and identification sequences","D01038","(Land station for vertical soundings)",,"D01011","Year, month, day","Date",,"Operational"
143.00,"01","Location and identification sequences","D01038","(Land station for vertical soundings)",,"D01012","Hour, minute","Time",,"Operational"
144.00,"01","Location and identification sequences","D01038","(Land station for vertical soundings)",,"D01024","Latitude/longitude (coarse accuracy), height of station","Latitude and longitude (coarse accuracy), height of station",,"Operational"
145.00,"01","Location and identification sequences","D01039","(Ship for vertical soundings)",,"D01003","Ship's call sign and motion","Ship's call sign and motion",,"Operational"
146.00,"01","Location and identification sequences","D01039","(Ship for vertical soundings)",,"B02011","Radiosonde type","Radiosonde type",,"Operational"
147.00,"01","Location and identification sequences","D01039","(Ship for vertical soundings)",,"B02012","Radiosonde computational method","Radiosonde computational method",,"Operational"
148.00,"01","Location and identification sequences","D01039","(Ship for vertical soundings)",,"D01011","Year, month, day","Date",,"Operational"
149.00,"01","Location and identification sequences","D01039","(Ship for vertical soundings)",,"D01012","Hour, minute","Time",,"Operational"
150.00,"01","Location and identification sequences","D01039","(Ship for vertical soundings)",,"D01023","Latitude/longitude (coarse accuracy)","Latitude and longitude (coarse accuracy)",,"Operational"
151.00,"01","Location and identification sequences","D01040","(Ship for vertical soundings)",,"D01003","Ship's call sign and motion","Ship's call sign and motion",,"Operational"
152.00,"01","Location and identification sequences","D01040","(Ship for vertical soundings)",,"B02011","Radiosonde type","Radiosonde type",,"Operational"
153.00,"01","Location and identification sequences","D01040","(Ship for vertical soundings)",,"B02012","Radiosonde computational method","Radiosonde computational method",,"Operational"
154.00,"01","Location and identification sequences","D01040","(Ship for vertical soundings)",,"D01011","Year, month, day","Date",,"Operational"
155.00,"01","Location and identification sequences","D01040","(Ship for vertical soundings)",,"D01012","Hour, minute","Time",,"Operational"
156.00,"01","Location and identification sequences","D01040","(Ship for vertical soundings)",,"D01024","Latitude/longitude (coarse accuracy), height of station","Latitude and longitude (coarse accuracy), height of station",,"Operational"
157.00,"01","Location and identification sequences","D01041","(Satellite identifier, instrument, data-processing technique, date/time)",,"B01007","Satellite identifier","Satellite identifier",,"Operational"
158.00,"01","Location and identification sequences","D01041","(Satellite identifier, instrument, data-processing technique, date/time)",,"B02021","Satellite instrument data used in processing","Satellite instrument data used in processing",,"Operational"
159.00,"01","Location and identification sequences","D01041","(Satellite identifier, instrument, data-processing technique, date/time)",,"B02022","Satellite data-processing technique used","Satellite data-processing technique used",,"Operational"
160.00,"01","Location and identification sequences","D01041","(Satellite identifier, instrument, data-processing technique, date/time)",,"D01011","Year, month, day","Date",,"Operational"
161.00,"01","Location and identification sequences","D01041","(Satellite identifier, instrument, data-processing technique, date/time)",,"D01012","Hour, minute","Time",,"Operational"
162.00,"01","Location and identification sequences","D01042","(Satellite identifier, instrument, data-processing technique, date/time, location)",,"D01041","Satellite identifier, instrument, data-processing technique, date/time","Satellite identifier, data used, and data processing technique; date/time",,"Operational"
163.00,"01","Location and identification sequences","D01042","(Satellite identifier, instrument, data-processing technique, date/time, location)",,"D01021","Latitude/longitude (high accuracy)","Latitude, longitude",,"Operational"
164.00,"01","Location and identification sequences","D01043","(Satellite identifier, wind computation method, date/time, location)",,"B01007","Satellite identifier","Satellite identifier",,"Operational"
165.00,"01","Location and identification sequences","D01043","(Satellite identifier, wind computation method, date/time, location)",,"B02023","Satellite-derived wind computation method","Cloud motion computational method",,"Operational"
166.00,"01","Location and identification sequences","D01043","(Satellite identifier, wind computation method, date/time, location)",,"D01011","Year, month, day","Date",,"Operational"
167.00,"01","Location and identification sequences","D01043","(Satellite identifier, wind computation method, date/time, location)",,"D01013","Hour, minute, second","Time",,"Operational"
168.00,"01","Location and identification sequences","D01043","(Satellite identifier, wind computation method, date/time, location)",,"D01021","Latitude/longitude (high accuracy)","Latitude, longitude",,"Operational"
169.00,"01","Location and identification sequences","D01044","(Satellite identifier, humidity computation method, date/time, location)",,"B01007","Satellite identifier","Satellite identifier",,"Operational"
170.00,"01","Location and identification sequences","D01044","(Satellite identifier, humidity computation method, date/time, location)",,"B02024","Integrated mean humidity computational method","Integrated mean humidity computational method",,"Operational"
171.00,"01","Location and identification sequences","D01044","(Satellite identifier, humidity computation method, date/time, location)",,"D01011","Year, month, day","Date",,"Operational"
172.00,"01","Location and identification sequences","D01044","(Satellite identifier, humidity computation method, date/time, location)",,"D01013","Hour, minute, second","Time",,"Operational"
173.00,"01","Location and identification sequences","D01044","(Satellite identifier, humidity computation method, date/time, location)",,"D01021","Latitude/longitude (high accuracy)","Latitude, longitude",,"Operational"
226.00,"01","Location and identification sequences","D01049","(Radar beam data)",,"B02111","Radar incidence angle","Radar incidence angle",,"Operational"
227.00,"01","Location and identification sequences","D01049","(Radar beam data)",,"B02112","Radar look angle","Radar look angle",,"Operational"
228.00,"01","Location and identification sequences","D01049","(Radar beam data)",,"B21062","Backscatter","Backscatter",,"Operational"
229.00,"01","Location and identification sequences","D01049","(Radar beam data)",,"B21063","Radiometric resolution (noise value)","Radiometric resolution (Noise value)",,"Operational"
230.00,"01","Location and identification sequences","D01049","(Radar beam data)",,"B21065","Missing packet counter","Missing packet counter",,"Operational"
231.00,"01","Location and identification sequences","D01051","(Flight number, navigational system, date/time, location, phase of flight)",,"B01006","Aircraft flight number","Aircraft flight number",,"Operational"
232.00,"01","Location and identification sequences","D01051","(Flight number, navigational system, date/time, location, phase of flight)",,"B02061","Aircraft navigational system","Navigational system",,"Operational"
233.00,"01","Location and identification sequences","D01051","(Flight number, navigational system, date/time, location, phase of flight)",,"D01011","Year, month, day","Date",,"Operational"
234.00,"01","Location and identification sequences","D01051","(Flight number, navigational system, date/time, location, phase of flight)",,"D01012","Hour, minute","Time",,"Operational"
235.00,"01","Location and identification sequences","D01051","(Flight number, navigational system, date/time, location, phase of flight)",,"D01021","Latitude/longitude (high accuracy)","Latitude, longitude",,"Operational"
236.00,"01","Location and identification sequences","D01051","(Flight number, navigational system, date/time, location, phase of flight)",,"B08004","Phase of aircraft flight","Phase of aircraft flight",,"Operational"
237.00,"01","Location and identification sequences","D01055","(Identification and type of station, date/time, location (high accuracy), movement)",,"B01005","Buoy/platform identifier","Buoy/platform identifier",,"Operational"
238.00,"01","Location and identification sequences","D01055","(Identification and type of station, date/time, location (high accuracy), movement)",,"B02001","Type of station","Type of station",,"Operational"
239.00,"01","Location and identification sequences","D01055","(Identification and type of station, date/time, location (high accuracy), movement)",,"D01011","Year, month, day","Date",,"Operational"
240.00,"01","Location and identification sequences","D01055","(Identification and type of station, date/time, location (high accuracy), movement)",,"D01012","Hour, minute","Time",,"Operational"
241.00,"01","Location and identification sequences","D01055","(Identification and type of station, date/time, location (high accuracy), movement)",,"D01021","Latitude/longitude (high accuracy)","Latitude and longitude (high accuracy)",,"Operational"
242.00,"01","Location and identification sequences","D01055","(Identification and type of station, date/time, location (high accuracy), movement)",,"B01012","Direction of motion of moving observing platform","Direction of motion of moving observing platform",,"Operational"
243.00,"01","Location and identification sequences","D01055","(Identification and type of station, date/time, location (high accuracy), movement)",,"B01014","Platform drift speed (high precision)","Platform drift speed (high precision)",,"Operational"
282.00,"01","Location and identification sequences","D01059","(Identification of sensor site and instrumentation)",,"D01021","Latitude/longitude (high accuracy)","Latitude, longitude (high accuracy) of sensor",,"Operational"
283.00,"01","Location and identification sequences","D01059","(Identification of sensor site and instrumentation)",,"B07030","Height of station ground above mean sea level","Height of station ground above mean sea level ",,"Operational"
284.00,"01","Location and identification sequences","D01059","(Identification of sensor site and instrumentation)",,"B07032","Height of sensor above local ground (or deck of marine platform)","Height of sensor above local ground (for lightning)",,"Operational"
289.00,"01","Location and identification sequences","D01065","(ACARS identification)",,"B01006","Aircraft flight number","Aircraft flight number","(see Note 1)","Operational"
290.00,"01","Location and identification sequences","D01065","(ACARS identification)",,"B01008","Aircraft registration number or other identification","Aircraft registration number","(see Note 1)","Operational"
291.00,"01","Location and identification sequences","D01065","(ACARS identification)",,"B02001","Type of station","Type of station",,"Operational"
292.00,"01","Location and identification sequences","D01065","(ACARS identification)",,"B02002","Type of instrumentation for wind measurement","Type of instrumentation for wind measurement",,"Operational"
293.00,"01","Location and identification sequences","D01065","(ACARS identification)",,"B02005","Precision of temperature observation","Precision of temperature observation",,"Operational"
294.00,"01","Location and identification sequences","D01065","(ACARS identification)",,"B02062","Type of aircraft data relay system","Type of aircraft data relay system",,"Operational"
295.00,"01","Location and identification sequences","D01065","(ACARS identification)",,"B02070","Original specification of latitude/longitude","Original specification of latitude/longitude",,"Operational"
296.00,"01","Location and identification sequences","D01065","(ACARS identification)",,"B02065","ACARS ground-receiving station","ACARS ground receiving station",,"Operational"
297.00,"01","Location and identification sequences","D01066","(ACARS location)",,"D01011","Year, month, day","Year, month, day",,"Operational"
298.00,"01","Location and identification sequences","D01066","(ACARS location)",,"D01013","Hour, minute, second","Hour, minute, second",,"Operational"
299.00,"01","Location and identification sequences","D01066","(ACARS location)",,"D01023","Latitude/longitude (coarse accuracy)","Latitude and longitude (coarse accuracy)",,"Operational"
300.00,"01","Location and identification sequences","D01066","(ACARS location)",,"B07004","Pressure","Pressure",,"Operational"
301.00,"01","Location and identification sequences","D01066","(ACARS location)",,"B02064","Aircraft roll angle quality","Aircraft roll angle quality",,"Operational"
302.00,"01","Location and identification sequences","D01066","(ACARS location)",,"B08004","Phase of aircraft flight","Phase of aircraft flight",,"Operational"
303.00,"01","Location and identification sequences","D01070","(Ozone instrumentation - Brewer spectrophotometer)",,"B02143","Ozone instrument type","Ozone instrument type",,"Operational"
304.00,"01","Location and identification sequences","D01070","(Ozone instrumentation - Brewer spectrophotometer)",,"B02142","Ozone instrument serial number/identification","Ozone instrument serial number or identifier",,"Operational"
305.00,"01","Location and identification sequences","D01070","(Ozone instrumentation - Brewer spectrophotometer)",,"B02144","Light source type for Brewer spectrophotometer","Light source type for Brewer",,"Operational"
306.00,"01","Location and identification sequences","D01071","(Satellite identifier/Generating resolution)",,"B01007","Satellite identifier","Satellite identifier",,"Operational"
307.00,"01","Location and identification sequences","D01071","(Satellite identifier/Generating resolution)",,"B01031","Identification of originating/generating centre","Generating centre",,"Operational"
308.00,"01","Location and identification sequences","D01071","(Satellite identifier/Generating resolution)",,"B02020","Satellite classification","Satellite classification",,"Operational"
309.00,"01","Location and identification sequences","D01071","(Satellite identifier/Generating resolution)",,"B02028","Segment size at nadir in x-direction","Segment size at nadir in X direction",,"Operational"
310.00,"01","Location and identification sequences","D01071","(Satellite identifier/Generating resolution)",,"B02029","Segment size at nadir in y-direction","Segment size at nadir in Y direction",,"Operational"
311.00,"01","Location and identification sequences","D01072","(Satellite identification)",,"D01071","Satellite identifier/Generating resolution","Satellite identification, Generation resolution",,"Operational"
312.00,"01","Location and identification sequences","D01072","(Satellite identification)",,"D01011","Year, month, day","Date",,"Operational"
313.00,"01","Location and identification sequences","D01072","(Satellite identification)",,"D01013","Hour, minute, second","Time",,"Operational"
314.00,"01","Location and identification sequences","D01072","(Satellite identification)",,"D01021","Latitude/longitude (high accuracy)","Latitude, longitude",,"Operational"
315.00,"01","Location and identification sequences","D01074","(Ozone instrumentation - Dobson spectrophotometer)",,"B02143","Ozone instrument type","Ozone instrument type",,"Operational"
316.00,"01","Location and identification sequences","D01074","(Ozone instrumentation - Dobson spectrophotometer)",,"B02142","Ozone instrument serial number/identification","Ozone instrument serial number/identification",,"Operational"
317.00,"01","Location and identification sequences","D01074","(Ozone instrumentation - Dobson spectrophotometer)",,"B02145","Wavelength setting for Dobson instruments","Wavelength setting for Dobson instrument",,"Operational"
318.00,"01","Location and identification sequences","D01074","(Ozone instrumentation - Dobson spectrophotometer)",,"B02146","Source conditions for Dobson instruments","Source conditions for Dobson instrument",,"Operational"
319.00,"01","Location and identification sequences","D01075","(Sounding identification)",,"D01001","WMO block and station numbers","WMO block number, WMO station number",,"Operational"
320.00,"01","Location and identification sequences","D01075","(Sounding identification)",,"B01015","Station or site name","Station or site name",,"Operational"
321.00,"01","Location and identification sequences","D01075","(Sounding identification)",,"D01024","Latitude/longitude (coarse accuracy), height of station","Latitude, longitude, height of station",,"Operational"
322.00,"01","Location and identification sequences","D01075","(Sounding identification)",,"B08021","Time significance","18 = launch time",,"Operational"
323.00,"01","Location and identification sequences","D01075","(Sounding identification)",,"D01011","Year, month, day","Year, month, day",,"Operational"
324.00,"01","Location and identification sequences","D01075","(Sounding identification)",,"D01012","Hour, minute","Hour, minute",,"Operational"
325.00,"01","Location and identification sequences","D01076","(Ozone sounding instrumentation)",,"B02011","Radiosonde type","Radiosonde type",,"Operational"
326.00,"01","Location and identification sequences","D01076","(Ozone sounding instrumentation)",,"B02143","Ozone instrument type","Ozone instrument type",,"Operational"
327.00,"01","Location and identification sequences","D01076","(Ozone sounding instrumentation)",,"B02142","Ozone instrument serial number/identification","Ozone instrument serial number or identifier",,"Operational"
328.00,"01","Location and identification sequences","D01089","(National station identification)",,"B01101","State identifier","State identifier",,"Operational"
329.00,"01","Location and identification sequences","D01089","(National station identification)",,"B01102","National station number","National station number",,"Operational"
330.00,"01","Location and identification sequences","D01090","(Surface station identification; time, horizontal and vertical coordinates)",,"D01004","Surface station identification","Surface station identification",,"Operational"
331.00,"01","Location and identification sequences","D01090","(Surface station identification; time, horizontal and vertical coordinates)",,"D01011","Year, month, day","Year, month, day",,"Operational"
332.00,"01","Location and identification sequences","D01090","(Surface station identification; time, horizontal and vertical coordinates)",,"D01012","Hour, minute","Hour, minute",,"Operational"
